доменов всего 2077, с 500+ кликами 1925

БОЛЬШЕ ВСЕГО БОТОВ
  домен               зона    день          кликов  ботов %  поиск %   прочих     рег   ФД
  casinocky.lol       lol     2026-09-13       501     96.6      0.0       17       0    0
  p3p.team            team    2026-09-13       550     95.8      0.5       20       0    0
  lrch.lol            lol     2026-09-13      1304     95.6      0.0       58       0    0
  7829.lol            lol     2026-09-18      1243     95.0      1.1       48       0    0
  casinoz7.lol        lol     2026-09-17      1100     94.6      0.0       59       0    0
  9614.lol            lol     2026-09-18       651     94.5      0.2       35       0    0
  tgwv.lol            lol     2026-09-18       713     94.5      0.0       39       0    0
  6106.lol            lol     2026-09-17      1378     93.5      1.2       73       0    0
  8352.team           team    2026-09-17      1076     93.3      0.7       64       0    0
  8959.lol            lol     2026-09-18       606     92.9      0.8       38       0    0
  casinoz3.lol        lol     2026-09-18       769     92.8      1.0       47       0    0
  0269.lol            lol     2026-09-18      1644     92.6      3.2       69       0    0
  casino6629.lol      lol     2026-09-09      2123     92.4      1.9      121       0    0
  pkbh.team           team    2026-09-17      1395     92.3      2.4       73       0    0
  t1g7.lol            lol     2026-09-18       789     92.3      1.5       49       0    0

МЕНЬШЕ ВСЕГО БОТОВ
  домен               зона    день          кликов  ботов %  поиск %   прочих     рег   ФД
  casino1209.casino   casino  2026-09-12      8157      6.4     90.1      281       1    0
  2489.team           team    2026-08-25     18728      6.2     86.2     1426       1    0
  2568.team           team    2026-08-21     25584      6.2     89.3     1132       2    0
  8640.team           team    2026-09-03      2450      6.2     88.0      142       0    0
  1908.team           team    2026-08-20     41440      5.4     89.2     2221       5    0
  1109casino.casino   casino  2026-09-11     12746      5.3     92.0      337       5    3
  7590.team           team    2026-09-02     23203      5.1      3.0    21317       0    0
  0336.lol            lol     2026-09-08      8390      4.8     93.8      119       0    0
  2955.team           team    2026-09-02     19289      3.7     26.6    13450       0    0
  1947.team           team    2026-08-21     49986      3.5     92.6     1924       6    0
  2424.team           team    2026-08-25     23288      3.4     93.3      758       0    0
  4863.team           team    2026-08-18     46172      3.4     68.2    13116       3    0
  2369.team           team    2026-09-03     25672      3.2     93.4      870       3    0
  3286.team           team    2026-08-24    800121      0.2      0.5   794096       1    0
  3615.team           team    2026-08-26   1276568      0.1      0.2  1273160       2    0

БОЛЬШЕ ВСЕГО РЕГИСТРАЦИЙ
  домен               зона    день          кликов  ботов %  поиск %   прочих     рег   ФД
  2334.team           team    2026-09-11      4425     11.0     76.9      535       7    2
  dwev.team           team    2026-08-22     18167     10.3     80.4     1675       6    0
  1947.team           team    2026-08-21     49986      3.5     92.6     1924       6    0
  1109casino.casino   casino  2026-09-11     12746      5.3     92.0      337       5    3
  qlmf.lol            lol     2026-09-09      9480     14.8     80.0      496       5    1
  5580.team           team    2026-09-02      8899      9.2     86.1      417       5    1
  3096.team           team    2026-08-22     36906      6.5     88.8     1754       5    1
  tgmb.team           team    2026-09-03      4532     24.1     55.6      920       5    0
  msvcasino.lol       lol     2026-09-09     16464      9.8     87.6      422       5    0
  1908.team           team    2026-08-20     41440      5.4     89.2     2221       5    0
  gwrl.casino         casino  2026-09-01      6599     40.0     44.8     1003       4    2
  ploo.team           team    2026-09-15      7684     16.2     75.8      613       4    2
  4994.lol            lol     2026-09-07      4188     26.0     52.6      898       4    0
  imic.team           team    2026-09-15      2781     25.3     70.6      115       4    0
  1682.team           team    2026-08-22     16888     10.6     82.0     1250       4    0

-> analysis/export/boty_po_domenam_21.09.csv
