бренд,сайтов,вышли в поиск,выход %,поисковых кликов,кликов на вышедший сайт,регистраций,ФД,рег на 100 сайтов,рег на 10 тыс. кликов,доля в остатке 56 %,зоны
Lucky Bird,1924,177,9.2,608,3.4,23,2,1.195,378.3,0.3,.team 57% .lol 33% .casino 6%
Leon,1925,363,18.9,14850,40.9,17,6,0.883,11.4,0.3,.team 57% .lol 33% .casino 6%
Martin,1924,337,17.5,23496,69.7,14,4,0.728,6.0,1.0,.team 57% .lol 33% .casino 6%
Pinco,1924,663,34.5,52828,79.7,11,1,0.572,2.1,0.2,.team 57% .lol 33% .casino 6%
Mellstroy,1924,475,24.7,27635,58.2,11,1,0.572,4.0,0.3,.team 57% .lol 33% .casino 6%
Shuffle,1924,262,13.6,2224,8.5,10,1,0.52,45.0,1.8,.team 57% .lol 33% .casino 6%
Eva,1844,385,20.9,31585,82.0,9,1,0.488,2.8,98.6,.team 58% .lol 31% .casino 6%
Dragon Money,1925,332,17.2,2802,8.4,9,0,0.468,32.1,0.3,.team 57% .lol 33% .casino 6%
Luckybear,1924,135,7.0,427,3.2,9,0,0.468,210.8,0.7,.team 57% .lol 33% .casino 6%
Cactus,1925,553,28.7,65729,118.9,8,1,0.416,1.2,0.2,.team 57% .lol 33% .casino 6%
Олимп,1924,330,17.2,2006,6.1,8,1,0.416,39.9,0.3,.team 57% .lol 33% .casino 6%
Vodka,1925,660,34.3,10599,16.1,7,1,0.364,6.6,0.7,.team 57% .lol 33% .casino 6%
Money X,1925,134,7.0,688,5.1,7,1,0.364,101.7,0.5,.team 57% .lol 33% .casino 6%
Fenix,1843,217,11.8,32343,149.0,6,2,0.326,1.9,98.9,.team 58% .lol 31% .casino 6%
R7,1924,343,17.8,14305,41.7,6,5,0.312,4.2,0.3,.team 56% .lol 33% .casino 6%
1xbet,1924,467,24.3,2138,4.6,6,0,0.312,28.1,0.3,.team 57% .lol 33% .casino 6%
Селектор,1924,391,20.3,16962,43.4,6,0,0.312,3.5,0.7,.team 57% .lol 33% .casino 6%
Like,1840,467,25.4,12752,27.3,5,0,0.272,3.9,99.1,.team 58% .lol 31% .casino 6%
Trix,1925,302,15.7,6040,20.0,5,2,0.26,8.3,0.6,.team 57% .lol 33% .casino 6%
Покердом,1924,1492,77.5,17767,11.9,5,0,0.26,2.8,0.5,.team 57% .lol 33% .casino 6%
Frank,1924,223,11.6,1626,7.3,5,2,0.26,30.8,0.6,.team 57% .lol 33% .casino 6%
Olympus-play,1840,31,1.7,68,2.2,4,0,0.217,588.2,99.0,.team 58% .lol 31% .casino 6%
Kush,1925,595,30.9,67488,113.4,4,1,0.208,0.6,0.2,.team 57% .lol 33% .casino 6%
Bounty,1925,651,33.8,6681,10.3,4,2,0.208,6.0,0.4,.team 57% .lol 33% .casino 6%
Goodwin,1925,287,14.9,6687,23.3,4,1,0.208,6.0,0.3,.team 57% .lol 33% .casino 6%
Twin,1924,82,4.3,2456,30.0,4,1,0.208,16.3,0.5,.team 57% .lol 33% .casino 6%
Spin City,1925,317,16.5,9487,29.9,4,0,0.208,4.2,0.4,.team 57% .lol 33% .casino 6%
Pin Up,1924,518,26.9,30219,58.3,4,0,0.208,1.3,0.3,.team 57% .lol 33% .casino 6%
Maxline,1923,118,6.1,830,7.0,4,0,0.208,48.2,0.9,.team 57% .lol 33% .casino 6%
Apex,1775,470,26.5,69460,147.8,3,0,0.169,0.4,99.6,.team 57% .lol 32% .casino 6%
Slotgames,1846,273,14.8,4231,15.5,3,1,0.163,7.1,87.6,.team 58% .lol 31% .casino 6%
Slott,1843,156,8.5,3938,25.2,3,0,0.163,7.6,94.8,.team 58% .lol 31% .casino 6%
Spinto,1844,621,33.7,11939,19.2,3,1,0.163,2.5,97.6,.team 58% .lol 31% .casino 6%
Winline,1844,87,4.7,525,6.0,3,1,0.163,57.1,98.9,.team 58% .lol 31% .casino 6%
