бренд,сайтов,вышли в поиск,выход %,поисковых кликов,кликов на вышедший сайт,регистраций,ФД,рег на 100 сайтов,рег на 10 тыс. кликов,E,oe,oe_lo,oe_hi,ФД на регистрацию,рег авг,рег сен,кликов авг,кликов сен,сайтов авг,сайтов сен,зоны,класс
Lucky Bird,2076,209,10.1,786,3.8,27,2,1.301,343.5,0.15,179.73,118.45,261.5,0.07,9,18,250,536,373,1703,team 1119 lol 762 casino 109 buzz 66,снайпер
Leon,2077,416,20.0,18561,44.6,20,7,0.963,10.8,3.55,5.64,3.44,8.71,0.35,7,13,5321,13240,373,1704,team 1119 lol 762 casino 110 buzz 66,объёмный
Martin,2076,390,18.8,31571,81.0,18,6,0.867,5.7,6.03,2.98,1.77,4.71,0.33,7,11,20998,10573,373,1703,team 1119 lol 761 casino 110 buzz 66,объёмный
Mellstroy,2076,537,25.9,34629,64.5,16,1,0.771,4.6,6.62,2.42,1.38,3.93,0.06,4,12,10088,24541,373,1703,team 1119 lol 762 casino 109 buzz 66,объёмный
Pinco,2076,832,40.1,72511,87.2,15,1,0.723,2.1,13.86,1.08,0.61,1.79,0.07,6,9,22054,50457,373,1703,team 1119 lol 761 casino 110 buzz 66,объёмный
Олимп,2076,359,17.3,2289,6.4,13,1,0.626,56.8,0.44,29.72,15.82,50.81,0.08,10,3,943,1346,373,1703,team 1119 lol 761 casino 110 buzz 66,снайпер
Cactus,2077,613,29.5,75845,123.7,11,1,0.53,1.5,14.5,0.76,0.38,1.36,0.09,4,7,34814,41031,373,1704,team 1119 lol 762 casino 110 buzz 66,объёмный
Luckybear,2076,154,7.4,492,3.2,11,0,0.53,223.6,0.09,116.98,58.4,209.31,0.0,5,6,297,195,373,1703,team 1119 lol 761 casino 110 buzz 66,снайпер
Shuffle,2076,298,14.4,2890,9.7,11,1,0.53,38.1,0.55,19.92,9.94,35.63,0.09,3,8,884,2006,373,1703,team 1119 lol 761 casino 110 buzz 66,снайпер
Eva,1955,476,24.3,44262,93.0,11,3,0.563,2.5,8.46,1.3,0.65,2.33,0.27,3,8,9805,34457,361,1594,team 1083 lol 676 casino 110 buzz 66,объёмный
Dragon Money,2077,380,18.3,3522,9.3,9,1,0.433,25.6,0.67,13.37,6.11,25.38,0.11,3,6,1212,2310,373,1704,team 1119 lol 762 casino 110 buzz 66,снайпер
Money X,2077,152,7.3,820,5.4,8,1,0.385,97.6,0.16,51.05,22.04,100.58,0.12,2,6,462,358,373,1704,team 1119 lol 762 casino 110 buzz 66,снайпер
Селектор,2076,437,21.1,24214,55.4,8,1,0.385,3.3,4.63,1.73,0.75,3.41,0.12,0,8,8969,15245,373,1703,team 1119 lol 761 casino 110 buzz 66,объёмный
Vodka,2075,795,38.3,15009,18.9,7,1,0.337,4.7,2.87,2.44,0.98,5.03,0.14,3,4,5631,9378,373,1702,team 1118 lol 761 casino 110 buzz 66,снайпер
Goodwin,2077,295,14.2,8436,28.6,7,1,0.337,8.3,1.61,4.34,1.75,8.95,0.14,1,6,3775,4661,373,1704,team 1119 lol 762 casino 110 buzz 66,снайпер
R7,2076,391,18.8,15924,40.7,6,5,0.289,3.8,3.04,1.97,0.72,4.29,0.83,2,4,3306,12618,373,1703,team 1118 lol 762 casino 110 buzz 66,объёмный
GetX,2077,411,19.8,14092,34.3,6,1,0.289,4.3,2.69,2.23,0.82,4.85,0.17,0,6,7173,6919,373,1704,team 1119 lol 762 casino 110 buzz 66,снайпер
1xbet,2075,566,27.3,2755,4.9,6,0,0.289,21.8,0.53,11.4,4.18,24.8,0.0,3,3,427,2328,373,1702,team 1119 lol 760 casino 110 buzz 66,снайпер
Fenix,1954,265,13.6,41461,156.5,6,2,0.307,1.4,7.92,0.76,0.28,1.65,0.33,2,4,7542,33919,361,1593,team 1083 lol 676 casino 109 buzz 66,объёмный
Iris,1953,113,5.8,7368,65.2,6,3,0.307,8.1,1.41,4.26,1.56,9.27,0.5,2,4,6897,471,359,1594,team 1081 lol 676 casino 110 buzz 66,снайпер
Like,1951,549,28.1,16113,29.3,6,0,0.308,3.7,3.08,1.95,0.72,4.24,0.0,2,4,4398,11715,357,1594,team 1080 lol 676 casino 110 buzz 65,объёмный
Kush,2077,697,33.6,94816,136.0,5,1,0.241,0.5,18.12,0.28,0.09,0.64,0.2,1,4,32914,61902,373,1704,team 1119 lol 762 casino 110 buzz 66,объёмный
Bounty,2077,709,34.1,8442,11.9,5,2,0.241,5.9,1.61,3.1,1.01,7.23,0.4,0,5,5227,3215,373,1704,team 1119 lol 762 casino 110 buzz 66,снайпер
Twin,2076,119,5.7,3156,26.5,5,2,0.241,15.8,0.6,8.29,2.69,19.34,0.4,3,2,2290,866,373,1703,team 1119 lol 762 casino 109 buzz 66,снайпер
Trix,2077,382,18.4,8696,22.8,5,3,0.241,5.7,1.66,3.01,0.98,7.02,0.6,3,2,3578,5118,373,1704,team 1119 lol 762 casino 110 buzz 66,снайпер
Spin City,2077,324,15.6,11362,35.1,5,0,0.241,4.4,2.17,2.3,0.75,5.37,0.0,4,1,7277,4085,373,1704,team 1119 lol 762 casino 110 buzz 66,снайпер
Покердом,2076,1530,73.7,20200,13.2,5,0,0.241,2.5,3.86,1.3,0.42,3.02,0.0,3,2,10390,9810,373,1703,team 1119 lol 761 casino 110 buzz 66,объёмный
Frank,2076,236,11.4,1752,7.4,5,2,0.241,28.5,0.33,14.93,4.85,34.85,0.4,1,4,887,865,373,1703,team 1119 lol 761 casino 110 buzz 66,снайпер
Winline,1956,108,5.5,641,5.9,5,1,0.256,78.0,0.12,40.81,13.25,95.24,0.2,1,4,446,195,361,1595,team 1084 lol 676 casino 110 buzz 66,снайпер
Brillx,2077,170,8.2,978,5.8,4,0,0.193,40.9,0.19,21.4,5.83,54.79,0.0,0,4,235,743,373,1704,team 1119 lol 762 casino 110 buzz 66,слабый
Вулкан Вегас,2077,1106,53.2,43906,39.7,4,0,0.193,0.9,8.39,0.48,0.13,1.22,0.0,3,1,39170,4736,373,1704,team 1119 lol 762 casino 110 buzz 66,слабый
Вулкан 24,2076,201,9.7,2516,12.5,4,0,0.193,15.9,0.48,8.32,2.27,21.3,0.0,0,4,1408,1108,372,1704,team 1118 lol 762 casino 110 buzz 66,слабый
Why,2077,233,11.2,522,2.2,4,1,0.193,76.6,0.1,40.09,10.92,102.66,0.25,0,4,26,496,373,1704,team 1119 lol 762 casino 110 buzz 66,слабый
Pin Up,2076,593,28.6,47973,80.9,4,0,0.193,0.8,9.17,0.44,0.12,1.12,0.0,4,0,15503,32470,373,1703,team 1119 lol 761 casino 110 buzz 66,слабый
Мелбет,2076,650,31.3,2284,3.5,4,0,0.193,17.5,0.44,9.16,2.5,23.46,0.0,0,4,330,1954,373,1703,team 1119 lol 761 casino 110 buzz 66,слабый
Maxline,2075,133,6.4,894,6.7,4,0,0.193,44.7,0.17,23.41,6.38,59.94,0.0,1,3,713,181,373,1702,team 1119 lol 761 casino 110 buzz 65,слабый
