# Конверсии 05-07.09.2026, выгрузка 6. Привязка к дню и группе запуска.
домен;регистраций;депозитов;день запуска;группа;бренды
2369.lol;3;1;03.09;NEW50_3 styled;bountyx2 clubvulkan luckybird
0509gg.casino;2;1;05.09;NEW21_12pages_withdate_styled_img;vulkanplatinumx2 turbo
411casino.lol;1;1;06.09;nabory411420_styled_img;krakenx2
casinonck.team;1;1;05.09;NEW21_7pages_nodate_styled_img;r7x2
7079.team;1;1;03.09;NEW50_3 styled;frankx2
t8n2.team;1;1;02.09;NEW50 · 12 страниц с датами · 02.09;kentx2
h6k8.team;1;1;02.09;Наборы 274283 · 02.09;bigsbetx2
j7n.team;0;1;31.08;nabor-244…253 · .net;fairspin
gwrl.casino;0;1;01.09;NEW50_12pages_withdate_01.09 · .casino;spinto
9124.lol;2;0;03.09;Generator_A4_staryy_stil;onion spinto
casino0509h.casino;2;0;05.09;NEW21_12pages_withdate_styled_img;slottx2
2097.lol;2;0;03.09;NEW50_3 styled;twin everum
unxn.casino;2;0;01.09;NEW50_12pages_withdate_01.09 · .casino;getxx2
xabd.team;1;0;24.08;Generator_11page_NOimg_24.08;vulkanvegas
ombr.team;1;0;04.09;Generator_346353_styled_img;eva
0409ds.casino;1;0;04.09;NEW20_12pages_nodate_styled_img;olimp
decasino.team;1;0;04.09;Generator_346353_styled_img;winline
7065.team;1;0;25.08;NEW33_12pages_withdate+img_25.08;leon
5580.team;1;0;02.09;NEW50 · 7 страниц без дат · 02.09;goodwin
5025.team;1;0;03.09;NEW50_3 styled;vulkan24
tgmb.team;1;0;02.09;NEW50 · 12 страниц с датами · 02.09;shuffle
qbkn.team;1;0;нет в реестре;списка не было;getx
0348.team;1;0;02.09;NEW50 · 7 страниц без дат · 02.09;mellstroy
3664.team;1;0;26.08;NEW17_img_withdate_26.08;goodwin
rvue.team;1;0;01.09;NEW50_7pages_withdate_01.09 · .team/.lol;fenix
7960.team;1;0;04.09;NEW20_12pages_withdate_styled_img;goldfishka
0665.team;1;0;02.09;NEW50_2 · 12 страниц с датами · 02.09;bounty
0409cas.casino;1;0;04.09;NEW20_12pages_nodate_styled_img;cactus
t2z.team;1;0;нет в реестре;списка не было;vodka
7395.team;1;0;02.09;NEW50_2 · 12 страниц с датами · 02.09;slott
tvuy.team;1;0;02.09;NEW50_2 · 12 страниц без дат · 02.09;vulkanplatinum
1795.team;1;0;31.08;nabor-244…253 · .net;sol
gt7.team;1;0;нет в реестре;списка не было;trix
