# Конверсии за всю историю 21.08–03.09, три выгрузки объединены и дедуплицированы
домен;регистраций;депозитов;группа;конфигурация;день запуска;ключей в Т10;сотня;лучшая позиция;бренды;первое событие;последнее
1893.team;12;1;7page_1…_11 (партия 27.08);7 стр, ?;27.08;;;;pincox4 bandax2 kentx1 motorx1 farox1 leonx1;2026-08-28 10:15;2026-08-31 18:15
1947.team;6;0;NEW50_5_12pages_withdate_21.08;12 стр, с датами;архив;71;213;1;mellstroyx2 r7x1 1gox1 vodkax1 vulkanstarsx1;2026-08-22 09:15;2026-08-25 15:15
dwev.team;6;0;не опознан;—;?;;;;pincox2 trixx1 zoomax1 vulkanpobedax1 newretrox1;2026-08-23 10:15;2026-08-24 22:15
3096.team;5;1;NEW50_5_12pages_nodate_21.08;12 стр, без дат;архив;100;308;1;twinx2 cactusx1 luckybearx1 nomadx1;2026-08-24 03:15;2026-08-24 19:15
1682.team;4;0;не опознан;—;?;;;;1xbetx1 fonbetx1 mostbetx1 pincox1;2026-08-24 09:15;2026-08-25 14:15
1908.team;4;0;12pages_withdate · Theme1;12 стр, с датами;архив;130;368;1;luckybirdx1 spincityx1 sweetx1 twinx1;2026-08-21 15:15;2026-08-23 16:15
4629.team;4;0;Generator_C_novyy_img (nabor-165…169);? стр, —;26-27.08;0;11;20;pinupx2 mellstroyx1 pincox1;2026-08-28 17:15;2026-08-31 19:15
ogax.team;3;1;7page_3_1 (id 1006);7 стр, ?;27.08;;;;fugux1 irisx1 cactusx1;2026-08-28 14:15;2026-08-31 01:15
2951.team;3;0;Generator_11page_test · .com;11 стр, ?;31.08;19;63;2;martinx2 pincox1;2026-09-01 02:15;2026-09-01 13:15
4173.lol;3;0;NEW50_5_12pages_nodate_21.08;12 стр, без дат;архив;27;148;1;casinoxx1 olimpx1 fonbetx1;2026-08-24 02:15;2026-08-26 16:15
bsfg.team;3;0;NEW33_12pages_nodate+img_25.08;12 стр, без дат;26-27.08;17;80;1;luckybearx1 dragonmoneyx1 luckybirdx1;2026-08-27 15:15;2026-08-28 00:15
gnxb.team;3;0;Generator_11page_21.08 + Generator_11page_2_21.08;11 стр, —;архив;14;52;2;shufflex1 luckybirdx1 luckybearx1;2026-08-22 10:15;2026-08-25 01:15
gwrl.casino;3;0;NEW50_12pages_withdate_01.09_11…_17 · .casino;12 стр, с датами;01.09;17;92;1;kentx1 spintox1 1gox1;2026-09-02 19:15;2026-09-03 13:15
