# Домены с регистрациями за 27.08–03.09 (выгрузка Book2)
# домен;рег;деп;группа;конфигурация;день запуска;Т10;сотня;лучшая позиция
1893.team;9;0;7page_1…_11 (партия 27.08);7 стр, ?;27.08;;;
4629.team;4;0;Generator_C_novyy_img (nabor-165…169);? стр, —, новый стиль + картинки;26-27.08;0;11;20
ogax.team;3;1;7page_3_1 (id 1006);7 стр, ?;27.08;;;
2951.team;3;0;Generator_11page_test · .com;11 стр, ?;31.08;19;63;2
8573.lol;3;0;Generator_11page_NOimg_24.08;11 стр, —, без картинок;24-25.08;0;9;40
bsfg.team;3;0;NEW33_12pages_nodate+img_25.08;12 стр, без дат, с картинками;26-27.08;17;80;1
gwrl.casino;3;0;NEW50_12pages_withdate_01.09_11…_17 · .casino;12 стр, с датами;01.09;17;92;1
hjsf.team;3;0;7page_1…_11 (партия 27.08);7 стр, ?;27.08;;;
reyn.team;3;0;NEW33_12pages_nodate+img_25.08;12 стр, без дат, с картинками;26-27.08;9;47;5
1795.team;2;1;nabor-244…253 · .net;не прислано стр, ?;31.08;84;229;1
fhqv.team;2;1;Generator_A_staryy_stil (nabor-155…159);? стр, —, старый стиль;26-27.08;31;99;1
2885.team;2;0;не опознан;;?;;;
3615.team;2;0;NEW17_img_withdate_26.08;? стр, с датами, с картинками;26-27.08;4;31;5
3628.team;2;0;Generator_11page_test · .com;11 стр, ?;31.08;36;96;1
bqvr.team;2;0;старая база (до 19.08);?;до 19.08;;;
m9tb.team;2;0;не опознан;;?;;;
wlxr.team;2;0;NEW33_12pages_withdate+img_25.08;12 стр, с датами, с картинками;26-27.08;16;62;2
4328.team;1;1;7page_1…_11 (партия 27.08);7 стр, ?;27.08;;;
7065.team;1;1;NEW33_12pages_withdate+img_25.08;12 стр, с датами, с картинками;26-27.08;7;17;5
bztk.team;1;1;nabor-244…253 · .net;не прислано стр, ?;31.08;29;126;1
c5vt.team;1;1;Generator_11page_old_27.08;11 стр, ?;27.08;;;
cktw.team;1;1;не опознан;;?;;;
0058.team;1;0;NEW33_12pages_nodate+img_25.08;12 стр, без дат, с картинками;26-27.08;4;66;3
1520.team;1;0;NEW17_img_withdate_26.08;? стр, с датами, с картинками;26-27.08;65;148;1
1749.team;1;0;Generator_11page_test · .com;11 стр, ?;31.08;18;55;2
2519.team;1;0;NEW33_12pages_nodate_25.08;12 стр, без дат, без картинок;25-26.08;69;228;1
3186.team;1;0;Generator_C_novyy_img (nabor-165…169);? стр, —, новый стиль + картинки;26-27.08;3;11;3
3242.team;1;0;NEW50_2 · 7 страниц с датами · 02.09;7 стр, с датами;02.09;1;11;8
3286.team;1;0;Generator_11page_NOimg_24.08;11 стр, —, без картинок;24-25.08;11;35;2
3592.team;1;0;старая база (до 19.08);?;до 19.08;;;
4235.team;1;0;NEW50_2 · 7 страниц с датами · 02.09;7 стр, с датами;02.09;20;135;2
4657.team;1;0;NEW33_12pages_withdate+img_25.08;12 стр, с датами, с картинками;26-27.08;11;35;2
5012.team;1;0;NEW17_NOimg_withdate_26.08;? стр, с датами, без картинок;26-27.08;6;25;4
5113.team;1;0;NEW33_12pages_nodate+img_25.08;12 стр, без дат, с картинками;26-27.08;0;23;18
5374.team;1;0;NEW50_5_7pages_nodate_21.08 _7…_17;7 стр, без дат, без картинок;25-26.08;50;126;1
7395.lol;1;0;NEW50_2 · 12 страниц без дат · 02.09;12 стр, без дат;02.09;3;33;4
8616.team;1;0;NEW33_12pages_nodate+img_25.08;12 стр, без дат, с картинками;26-27.08;0;0;
8825.team;1;0;Новые аккаунты (nabor-144…148);12 стр, —, —;25-26.08;11;72;3
9712.team;1;0;NEW33_12pages_nodate+img_25.08;12 стр, без дат, с картинками;26-27.08;39;107;1
9957.team;1;0;NEW50_2 · 12 страниц с датами · 02.09;12 стр, с датами;02.09;9;46;2
9yp.team;1;0;не опознан;;?;;;
a3d.team;1;0;NEW33_12pages_nodate+img_25.08;12 стр, без дат, с картинками;26-27.08;8;28;2
chrv.team;1;0;Вебмастера, блок 1 — СТАРЫЕ аккаунты;12 стр, —, —;24-25.08;22;84;2
dprz.team;1;0;7page_1…_11 (партия 27.08);7 стр, ?;27.08;;;
gjtz.team;1;0;Generator_A_staryy_stil (nabor-155…159);? стр, —, старый стиль;26-27.08;4;37;4
glhd.team;1;0;7page_1…_11 (партия 27.08);7 стр, ?;27.08;;;
gmhb.team;1;0;Generator_11page_test · .com;11 стр, ?;31.08;13;62;2
gwrn.team;1;0;не опознан;;?;;;
j9cw.team;1;0;не опознан;;?;;;
jlnd.team;1;0;Generator_B_novyy_bez_img (nabor-160…164);? стр, —, новый стиль, без картинок;26-27.08;0;5;46
k2n.team;1;0;7page_yandex (группа 1);7 стр, —, —;архив;8;52;2
k3f.team;1;0;не опознан;;?;;;
k6m.team;1;0;Generator_11page_old_27.08;11 стр, ?;27.08;;;
kzvn.casino;1;0;не опознан;;?;;;
ndvk.team;1;0;NEW17_img_withdate_26.08;? стр, с датами, с картинками;26-27.08;1;10;3
rtnm.team;1;0;старая база (до 19.08);?;до 19.08;;;
s6wb.team;1;0;NEW17_NOimg_withdate_26.08;? стр, с датами, без картинок;26-27.08;16;46;3
tghc.casino;1;0;NEW50_12pages_nodate_01.09 · .casino;12 стр, без дат;01.09;7;62;3
y8db.team;1;0;Вебмастера, блок 1 — СТАРЫЕ аккаунты;12 стр, —, —;24-25.08;2;17;7
