# Новая выгрузка конверсий (Book1, 01.09–04.09) с привязкой к группе запуска
домен;регистраций;депозитов;группа;день запуска;конфигурация;бренды;первое событие;последнее
gwrl.casino;4;1;NEW50_12pages_withdate_01.09_11…_17 · .casino;01.09;12 стр, с датами;1gox2 million spinto kent;2026-09-02 19:15;2026-09-03 16:15
2951.team;3;0;Generator_11page_test · .com;31.08;11 стр, ?;martinx2 pinco;2026-09-01 02:15;2026-09-01 13:15
7395.lol;3;0;NEW50_2 · 12 страниц без дат · 02.09;02.09;12 стр, без дат;legzo maxline like;2026-09-03 12:15;2026-09-04 01:15
1795.team;2;1;nabor-244…253 · .net;31.08;не прислано стр, ?;spintox2 vulkanvegas;2026-09-02 17:15;2026-09-03 09:15
5580.team;2;1;NEW50 · 7 страниц без дат · 02.09;02.09;7 стр, без дат;goodwinx2 dbbet;2026-09-03 15:15;2026-09-04 01:22
bztk.team;2;1;nabor-244…253 · .net;31.08;не прислано стр, ?;pinupx2 luckybear;2026-09-01 13:15;2026-09-03 21:15
3242.team;2;0;NEW50_2 · 7 страниц с датами · 02.09;02.09;7 стр, с датами;leonx2;2026-09-03 13:15;2026-09-04 11:15
3628.team;2;0;Generator_11page_test · .com;31.08;11 стр, ?;volta everum;2026-09-01 02:15;2026-09-01 09:15
gwrn.team;2;0;не опознан;?;—;dragonmoneyx2;2026-09-04 01:15;2026-09-04 12:15
6418.team;1;1;не опознан;?;—;r7x2;2026-09-03 17:15;2026-09-03 19:22
rvue.team;1;1;NEW50_7pages_withdate_01.09_1…_6 · .team/.lol;01.09;7 стр, с датами;olimpx2;2026-09-03 20:15;2026-09-03 22:22
tghc.casino;1;1;NEW50_12pages_nodate_01.09 · .casino;01.09;12 стр, без дат;fenixx2;2026-09-03 07:15;2026-09-03 13:22
1083.lol;1;0;NEW50_2 · 12 страниц без дат · 02.09;02.09;12 стр, без дат;eva;2026-09-03 16:23;2026-09-03 16:23
2369.team;1;0;NEW50 · 7 страниц без дат · 02.09;02.09;7 стр, без дат;volta;2026-09-03 19:15;2026-09-03 19:15
2418.team;1;0;nabor-244…253 · .net;31.08;не прислано стр, ?;riobet;2026-09-04 04:15;2026-09-04 04:15
2853.team;1;0;NEW50_3 styled;03.09;7/12 стр, styled;dragonmoney;2026-09-04 11:15;2026-09-04 11:15
2885.team;1;0;не опознан;?;—;moneyx;2026-09-01 03:15;2026-09-01 03:15
4235.team;1;0;NEW50_2 · 7 страниц с датами · 02.09;02.09;7 стр, с датами;rox;2026-09-03 04:15;2026-09-03 04:15
4330.team;1;0;NEW50_3 styled;03.09;7/12 стр, styled;slotgames;2026-09-04 04:15;2026-09-04 04:15
6902.team;1;0;не опознан;?;—;bounty;2026-09-03 18:15;2026-09-03 18:15
8474.lol;1;0;не опознан;?;—;dragonmoney;2026-09-03 21:15;2026-09-03 21:15
9957.team;1;0;NEW50_2 · 12 страниц с датами · 02.09;02.09;12 стр, с датами;zooma;2026-09-03 13:15;2026-09-03 13:15
h9mt.team;1;0;Generator_11page_test · .com;31.08;11 стр, ?;eva;2026-09-02 05:23;2026-09-02 05:23
k3f.team;1;0;не опознан;?;—;jetton;2026-09-02 22:15;2026-09-02 22:15
mrxc.team;1;0;не опознан;?;—;brillx;2026-09-03 19:15;2026-09-03 19:15
n2c.team;1;0;не опознан;?;—;bounty;2026-09-04 13:15;2026-09-04 13:15
t2z.team;1;0;не опознан;?;—;vodka;2026-09-04 13:15;2026-09-04 13:15
tgmb.team;1;0;NEW50 · 12 страниц с датами · 02.09;02.09;12 стр, с датами;jvspin;2026-09-03 23:15;2026-09-03 23:15
