# Лаг регистрация→депозит, пары связаны по clickid
домен;бренд;регистрация;депозит;лаг, минут
gwrl.casino;spinto;2026-09-03 06:15;2026-09-06 08:21;4446
j7n.team;fairspin;2026-09-04 23:15;2026-09-06 16:23;2468
tghc.casino;fenix;2026-09-03 07:15;2026-09-03 13:22;367
rvue.team;olimp;2026-09-03 20:15;2026-09-03 22:22;127
6418.team;r7;2026-09-03 17:15;2026-09-03 19:22;127
bztk.team;pinup;2026-09-01 13:15;2026-09-01 15:15;120
2369.lol;bounty;2026-09-06 17:15;2026-09-06 18:24;69
h6k8.team;bigsbet;2026-09-06 01:15;2026-09-06 02:22;67
gwrl.casino;1go;2026-09-03 13:15;2026-09-03 14:22;67
1083.lol;slotgames;2026-09-04 20:15;2026-09-04 20:29;14
2418.team;trix;2026-09-04 17:15;2026-09-04 17:26;11
0509gg.casino;vulkanplatinum;2026-09-06 21:15;2026-09-06 21:24;9
7079.team;frank;2026-09-06 13:15;2026-09-06 13:23;8
1795.team;spinto;2026-09-02 17:15;2026-09-02 17:23;8
411casino.lol;kraken;2026-09-07 15:15;2026-09-07 15:22;7
casinonck.team;r7;2026-09-07 10:15;2026-09-07 10:22;7
5580.team;goodwin;2026-09-04 01:15;2026-09-04 01:22;7
t8n2.team;kent;2026-09-06 05:15;2026-09-06 05:21;6
