домен;зона;эпоха;дата запуска;группа;название контента;id;создан;потолок /ru;источник контента;страниц;даты в тексте;картинки/стиль;аккаунты;тест;последний съём;Т3;Т10;Т30;Т100;брендов в Т10;лучшая позиция;страниц-поддоменов;заходов;посетителей;регистраций;депозитов
0058.team;.team;21–27.08;25.08;NEW33_12pages_nodate+img_25.08;NEW33_12pages_nodate+img_25.08_4;969;25.08 18:30;нет;чужой контент · NEW33;12;без дат;с картинками;—;ТЕСТ F;27.08 12:17;2;4;8;66;2;3;65;1167;1033;0;0
0302.team;.team;21–27.08;27.08;7page_27.08 · партия 1;7page_10_1;1013;27.08 17:40;да;7page (автор не указан);7;—;—;—;—;28.08 12:43;0;0;1;7;0;12;22;126;123;0;0
1052.team;.team;до 19.08 (старая база);;старые запуски (до 19.08);;;;нет;;;;;;;;;;;;;;37;801;781;0;0
1063.team;.team;до 19.08 (старая база);;старые запуски (до 19.08);;;;нет;;;;;;;;;;;;;;58;392;374;0;0
1073.team;.team;19–20.08;20.08;doregn.net 7 page (имена);pergamentnaya1;—;20.08;нет;именованные;7;—;—;—;—;21.08 12:06;0;0;0;2;0;43;56;404;349;0;0
1085.team;.team;19–20.08;19.08;Generator_11page_19.08 (группа 3);;695-699;19.08 16:56;нет;наш генератор;11;—;—;—;—;20.08 22:29;18;102;130;185;33;1;82;1098;1055;0;0
1106.team;.team;21–27.08;25.08;NEW50_5_7pages_nodate_21.08 _7…_17;NEW50_5_7pages_nodate_21.08_7;797;21.08 13:29;нет;чужой контент · NEW50_5;7;без дат;без картинок;—;КОНТРОЛЬ;26.08 12:41;4;19;23;64;8;3;52;3059;2426;0;0
1236.team;.team;19–20.08;20.08;12pages_withdate · Theme1;;758-765;20.08;нет;чужой контент;12;с датами;—;—;—;21.08 02:00;3;9;13;61;7;3;83;1475;1422;1;0
1237.team;.team;до 19.08 (старая база);;старые запуски (до 19.08);;;;нет;;;;;;;;;;;;;;121;429;376;0;0
1284.team;.team;19–20.08;20.08;doregn.net 7 page (имена);sinilnya1;—;20.08;нет;именованные;7;—;—;—;—;21.08 12:06;0;0;0;2;0;52;151;571;538;0;0
1305.team;.team;21–27.08;21.08;Generator_11page_21.08 + Generator_11page_2_21.08;;841-855;21.08;нет;наш генератор;11;—;—;—;—;22.08 11:19;1;2;3;19;2;3;82;2831;2729;1;0
1349.team;.team;до 19.08 (старая база);;старые запуски (до 19.08);;;;нет;;;;;;;;;;;;;;90;435;416;0;0
1409.team;.team;21–27.08;25.08;NEW33_12pages_nodate_25.08;NEW33_12pages_nodate_25.08_8;945;25.08 16:04;нет;чужой контент · NEW33;12;без дат;без картинок;—;ТЕСТ A;26.08 12:29;2;9;19;90;6;2;61;1612;1538;0;0
1428.team;.team;до 19.08 (старая база);;старые запуски (до 19.08);;;;нет;;;;;;;;;;;;;;113;445;389;0;0
1434.team;.team;21–27.08;25.08;NEW33_12pages_withdate_25.08;NEW33_12pages_withdate_25.08_2;947;25.08 16:05;нет;чужой контент · NEW33;12;с датами;без картинок;—;ТЕСТ A;26.08 12:31;2;7;14;83;6;1;40;539;429;0;0
