# Группы запуска и конверсии, 21.08-07.09.2026. Доля считается от всех доменов группы.
день;группа;страниц;даты;контент;доменов;с регистрациями;доля %;регистраций;депозитов;ключей в Т10;окно;зоны;домены с деньгами
?;Списка запуска не присылали;;;не указано;31;31;100.0;48;4;;нет дня;.team=27 .casino=2 .lol=1 .kz=1;5726.team(1р/1д) 6418.team(1р/1д) cktw.team(1р/1д) fnpk.team(1р/1д) dwev.team(6р) 1682.team(4р) gwrn.team(4р) 2885.team(2р) 3592.team(2р) 6902.team(2р) bqvr.team(2р) m9tb.team(2р) t2z.team(2р) 8474.lol(1р) 9yp.team(1р) bkzm.team(1р) gt7.team(1р) j9cw.team(1р) k3f.team(1р) kzvn.casino(1р) lmpt.team(1р) mrxc.team(1р) mwpr.team(1р) n2c.team(1р) qbkn.team(1р) rtnm.team(1р) s4zc.team(1р) vwkp.team(1р) wgmr.team(1р) wnkr.casino(1р) yandex.kz(1р)
27.08;7page (партия 2);7;;не указано;11;5;45.5;18;2;;закрыто;.team=11;1893.team(12р/1д) 4328.team(1р/1д) hjsf.team(3р) dprz.team(1р) glhd.team(1р)
21.08;NEW50_5_12pages_nodate_21.08;12;без дат;готовый пак;7;5;71.4;11;1;25.1;закрыто;.team=4 .lol=3;3096.team(5р/1д) 4173.lol(3р) 3506.lol(1р) f5nv.team(1р) fmwc.team(1р)
21.08;Generator_11page_21.08 + Generator_11page_2_21.08;11;;генератор;15;7;46.7;11;0;4.9;закрыто;.team=8 .lol=3 .casino=2 .cloud=1 .store=1;gnxb.team(3р) bnwk.casino(2р) smzk.lol(2р) 1305.team(1р) 5297-4.casino(1р) m2vc.team(1р) m5tv.store(1р)
25.08;NEW33_12pages_nodate+img_25.08;12;без дат;готовый пак;15;7;46.7;11;0;9.2;закрыто;.team=15;bsfg.team(3р) reyn.team(3р) 0058.team(1р) 5113.team(1р) 8616.team(1р) 9712.team(1р) a3d.team(1р)
21.08;NEW50_5_12pages_withdate_21.08;12;с датами;готовый пак;7;3;42.9;9;0;18.7;закрыто;.team=5 .lol=2;1947.team(6р) blsr.team(2р) 2214.team(1р)
31.08;nabor-244…253 · .net;;;наборы;10;4;40.0;9;4;27.4;закрыто;.team=10;1795.team(3р/1д) bztk.team(3р/1д) 2418.team(2р/1д) j7n.team(1р/1д)
02.09;NEW50_2 · 12 страниц без дат · 02.09;12;без дат;готовый пак;6;4;66.7;8;1;11.8;открыто;.lol=4 .team=2;1083.lol(3р/1д) 7395.lol(3р) 8829.lol(1р) tvuy.team(1р)
31.08;Generator_11page_test · .com;11;;генератор;9;5;55.6;8;0;15.0;закрыто;.team=9;2951.team(3р) 3628.team(2р) 1749.team(1р) gmhb.team(1р) h9mt.team(1р)
03.09;NEW50_3_12pages_withdate_styled;12;с датами;готовый пак;14;6;42.9;8;2;;открыто;.team=8 .lol=6;2369.lol(3р/1д) 7079.team(1р/1д) 2097.team(1р) 4330.team(1р) 5025.team(1р) mkmt.team(1р)
02.09;NEW50 · 7 страниц без дат · 02.09;7;без дат;готовый пак;14;3;21.4;7;1;7.7;открыто;.team=14;5580.team(4р/1д) 2369.team(2р) 0348.team(1р)
01.09;NEW50_12pages_withdate_01.09 · .casino;12;с датами;готовый пак;7;2;28.6;6;2;3.7;закрыто;.casino=7;gwrl.casino(4р/2д) unxn.casino(2р)
22.08;Generator_11page_img_22.08_5;11;;генератор;5;4;80.0;5;0;13.6;закрыто;.team=5;3457.team(2р) 2831.team(1р) 3719.team(1р) jqtz.team(1р)
02.09;NEW50 · 12 страниц с датами · 02.09;12;с датами;готовый пак;4;2;50.0;5;1;6.2;открыто;.team=4;t8n2.team(1р/1д) tgmb.team(4р)
26.08;NEW17_img_withdate_26.08;;с датами;готовый пак;9;4;44.4;5;0;12.0;закрыто;.team=9;3615.team(2р) 1520.team(1р) 3664.team(1р) ndvk.team(1р)
26.08;Generator_C_novyy_img (nabor-165…169);;;генератор;5;2;40.0;5;0;1.0;закрыто;.team=5;4629.team(4р) 3186.team(1р)
20.08;12pages_withdate · Theme1;12;с датами;готовый пак;8;2;25.0;5;0;20.9;усечено;.team=7 .buzz=1;1908.team(4р) 1236.team(1р)
21.08;NEW50_5_7pages_nodate_21.08;7;без дат;готовый пак;17;4;23.5;5;1;13.8;закрыто;.team=9 .lol=3 .work=1 .live=1 .click=1 .fun=1 .space=1;5374.team(2р/1д) ldtq.click(1р) wgxx.team(1р) wknc.team(1р)
25.08;NEW33_12pages_withdate+img_25.08;12;с датами;готовый пак;17;3;17.6;5;1;5.1;закрыто;.team=16 .lol=1;7065.team(2р/1д) wlxr.team(2р) 4657.team(1р)
20.08;Generation 50;;;не указано;50;3;6.0;5;0;0.9;усечено;.team=50;2650.team(2р) xdkr.team(2р) f2mw.team(1р)
26.08;Generator_A_staryy_stil (nabor-155…159);;;генератор;5;3;60.0;4;1;10.4;закрыто;.team=5;fhqv.team(2р/1д) cflw.team(1р) gjtz.team(1р)
05.09;NEW21_12pages_withdate_styled_img;12;с датами;готовый пак;4;2;50.0;4;1;;открыто;.casino=4;0509gg.casino(2р/1д) casino0509h.casino(2р)
24.08;Generator_11page_NOimg_24.08;11;;генератор;11;3;27.3;4;0;5.7;закрыто;.team=9 .lol=2;8573.lol(2р) 3286.team(1р) xabd.team(1р)
21.08;NEW50_5_7pages_withdate_21.08;7;с датами;готовый пак;12;3;25.0;4;0;10.3;закрыто;.team=4 .buzz=3 .casino=1 .online=1 .site=1 .shop=1 .lol=1;2568.team(2р) 3982.team(1р) bnkd.shop(1р)
02.09;NEW50_2 · 12 страниц с датами · 02.09;12;с датами;готовый пак;17;3;17.6;4;0;8.6;открыто;.team=14 .lol=3;0665.team(2р) 7395.team(1р) 9957.team(1р)
04.09;NEW20_12pages_nodate_styled_img;12;без дат;готовый пак;4;2;50.0;3;0;;открыто;.casino=4;0409cas.casino(2р) 0409ds.casino(1р)
02.09;NEW50_2 · 7 страниц с датами · 02.09;7;с датами;готовый пак;6;2;33.3;3;0;5.3;открыто;.team=6;3242.team(2р) 4235.team(1р)
04.09;Generator_346353_styled_img;;;генератор;8;2;25.0;3;0;;открыто;.team=8;decasino.team(2р) ombr.team(1р)
25.08;NEW33_12pages_nodate_25.08;12;без дат;готовый пак;8;2;25.0;3;0;25.8;закрыто;.team=8;2519.team(2р) 2489.team(1р)
21.08;Наборы nabor-53…62;;;наборы;10;2;20.0;3;1;11.8;закрыто;.team=5 .lol=5;hzvq.lol(2р/1д) fkrt.team(1р)
03.09;03.09;;;не указано;10;1;10.0;3;0;;открыто;.lol=10;9124.lol(3р)
27.08;7page_1_1;7;;не указано;10;1;10.0;3;1;;закрыто;.team=10;ogax.team(3р/1д)
03.09;NEW50_3_12pages_nodate_styled;12;без дат;готовый пак;11;1;9.1;3;0;;открыто;.lol=8 .team=3;2097.lol(3р)
20.08;12pages_nodate;12;без дат;готовый пак;5;2;40.0;2;0;15.0;усечено;.team=5;4085.team(1р) cfpm.team(1р)
20.08;dorgen.net 12 page (наборы 28-32);12;;наборы;5;2;40.0;2;0;9.4;усечено;.team=5;1596.team(1р) f7n.team(1р)
04.09;NEW20_12pages_withdate_styled_img;12;с датами;готовый пак;6;2;33.3;2;0;;открыто;.casino=3 .team=2 .lol=1;7960.team(1р) casino4934.lol(1р)
26.08;NEW17_NOimg_withdate_26.08;;с датами;готовый пак;7;2;28.6;2;0;7.0;закрыто;.team=6 .lol=1;5012.team(1р) s6wb.team(1р)
20.08;12pages_withdate · Theme2;12;с датами;готовый пак;10;2;20.0;2;0;8.4;усечено;.team=7 .lol=1 .sbs=1 .buzz=1;dhkt.team(1р) v5d.team(1р)
24.08;Вебмастера, блок 1 — СТАРЫЕ аккаунты;;;наборы;10;2;20.0;2;0;6.0;закрыто;.team=10;chrv.team(1р) y8db.team(1р)
25.08;Generator_11page_NOimg_25.08;11;;генератор;10;2;20.0;2;0;4.9;закрыто;.team=8 .lol=2;6881.team(1р) sfkk.team(1р)
25.08;Старые аккаунты (nabor-149…153);;;наборы;5;1;20.0;2;0;1.6;закрыто;.team=5;3839.team(2р)
27.08;Generator_11page_old_27.08;11;;генератор;10;2;20.0;2;1;;закрыто;.team=10;c5vt.team(1р/1д) k6m.team(1р)
01.09;NEW50_7pages_withdate_01.09 · .team/.lol;7;с датами;готовый пак;6;1;16.7;2;1;3.3;закрыто;.team=4 .lol=2;rvue.team(2р/1д)
31.08;12page (кастомный контент, 12 страниц);12;;не указано;2;1;50.0;1;0;;закрыто;.team=2;p8v.team(1р)
19.08;Generator_v5_19.08 (группа 5);;;генератор;5;1;20.0;1;0;2.4;усечено;.team=5;c5tw.team(1р)
25.08;Generator_11page_img_25.08;11;;генератор;5;1;20.0;1;0;8.8;закрыто;.team=5;6977.team(1р)
25.08;Новые аккаунты (nabor-144…148);;;наборы;5;1;20.0;1;0;3.2;закрыто;.team=5;8825.team(1р)
26.08;Generator_B_novyy_bez_img (nabor-160…164);;;генератор;5;1;20.0;1;0;0.2;закрыто;.team=5;jlnd.team(1р)
26.08;Generator_B2_novyy_bez_img (nabor-175…179);;;генератор;5;1;20.0;1;0;0.8;закрыто;.team=5;g7qd.team(1р)
01.09;NEW50_12pages_withdate_01.09 · .team/.lol;12;с датами;готовый пак;6;1;16.7;1;0;4.7;закрыто;.team=4 .lol=2;l5n.team(1р)
02.09;Наборы 274283 · 02.09;;;не указано;6;1;16.7;1;1;2.5;открыто;.lol=3 .team=3;h6k8.team(1р/1д)
05.09;NEW21_7pages_nodate_styled_img;7;без дат;готовый пак;6;1;16.7;1;1;;открыто;.team=5 .lol=1;casinonck.team(1р/1д)
01.09;NEW50_12pages_nodate_01.09 · .casino;12;без дат;готовый пак;8;1;12.5;1;1;4.6;закрыто;.casino=8;tghc.casino(1р/1д)
25.08;NEW33_12pages_withdate_25.08;12;с датами;готовый пак;8;1;12.5;1;0;8.9;закрыто;.team=8;4527.team(1р)
06.09;nabory411420_styled_img;;;наборы;10;1;10.0;1;1;;открыто;.team=5 .lol=5;411casino.lol(1р/1д)
19.08;7page_yandex (группа 1);7;;выдача;10;1;10.0;1;0;11.6;усечено;.team=6 .buzz=2 .quest=1 .bond=1;k2n.team(1р)
24.08;Вебмастера, блок 2 — НОВЫЕ аккаунты;;;наборы;10;1;10.0;1;0;8.4;закрыто;.team=10;nchg.team(1р)
24.08;Generator_11page_img_24.08;11;;генератор;11;1;9.1;1;0;2.9;закрыто;.team=9 .lol=2;4150.team(1р)
03.09;NEW50_3_7pages_withdate_styled;7;с датами;готовый пак;12;1;8.3;1;0;;открыто;.lol=9 .team=3;9158.team(1р)
03.09;NEW50_3_7pages_nodate_styled;7;без дат;готовый пак;13;1;7.7;1;0;;открыто;.team=8 .lol=5;2853.team(1р)
02.09;наборы, конфигурация неизвестна;;;не указано;15;1;6.7;1;0;;открыто;.lol=15;pjxu.lol(1р)
01.09;nabory264268_01.09 · .team;;;наборы;4;0;0.0;0;0;0.0;закрыто;.team=4;
02.09;NEW50 · 7 страниц с датами · 02.09;7;с датами;готовый пак;5;0;0.0;0;0;1.8;открыто;.team=5;
02.09;Наборы 294303 · 02.09;;;не указано;6;0;0.0;0;0;1.5;открыто;.team=3 .lol=3;
02.09;Наборы 284293 · 02.09;;;не указано;3;0;0.0;0;0;3.0;открыто;.lol=3;
04.09;kruzhevnayamasterskaya1html_1;;;не указано;1;0;0.0;0;0;;открыто;.team=1;
04.09;Generator_354359_styled_img;;;генератор;6;0;0.0;0;0;;открыто;.team=6;
04.09;NEW20_7pages_nodate_styled_img;7;без дат;готовый пак;6;0;0.0;0;0;;открыто;.team=4 .casino=2;
04.09;NEW20_7pages_withdate_styled_img;7;с датами;готовый пак;3;0;0.0;0;0;;открыто;.casino=3;
04.09;Generator_368369_styled_img;;;генератор;2;0;0.0;0;0;;открыто;.team=2;
04.09;trikomplekta;;;не указано;3;0;0.0;0;0;;открыто;.team=3;
04.09;Generator_A_staryy_stil_370371;;;генератор;2;0;0.0;0;0;;открыто;.team=2;
04.09;Generator_B_novyy_bez_img_372373;;;генератор;2;0;0.0;0;0;;открыто;.team=2;
04.09;Generator_370382_styled_img;;;генератор;13;0;0.0;0;0;;открыто;.team=13;
05.09;degtyarnya_1;;;не указано;1;0;0.0;0;0;;открыто;.team=1;
05.09;Generator_385390_styled_img;;;генератор;6;0;0.0;0;0;;открыто;.team=5 .lol=1;
05.09;trikomplektaB;;;не указано;3;0;0.0;0;0;;открыто;.team=2 .lol=1;
05.09;NEW21_7pages_withdate_styled_img;7;с датами;готовый пак;5;0;0.0;0;0;;открыто;.casino=5;
05.09;NEW21_12pages_nodate_styled_img;12;без дат;готовый пак;6;0;0.0;0;0;;открыто;.casino=6;
05.09;nabor391_1;;;наборы;1;0;0.0;0;0;;открыто;.team=1;
05.09;tesemochnaya1_1;;;не указано;1;0;0.0;0;0;;открыто;.team=1;
05.09;shponnayarezka1_1;;;не указано;1;0;0.0;0;0;;открыто;.team=1;
05.09;Generator_392396_styled_img;;;генератор;5;0;0.0;0;0;;открыто;.team=5;
06.09;drobilnyydvor1_1;;;не указано;1;0;0.0;0;0;;открыто;.lol=1;
06.09;bortnichiydvor1_1;;;не указано;1;0;0.0;0;0;;открыто;.team=1;
06.09;NEW20_3_7pages_withdate_styled_img;7;с датами;готовый пак;4;0;0.0;0;0;;открыто;.team=4;
06.09;NEW20_3_12pages_nodate_styled_img;12;без дат;готовый пак;5;0;0.0;0;0;;открыто;.casino=4 .lol=1;
06.09;NEW20_3_12pages_withdate_styled_img;12;с датами;готовый пак;5;0;0.0;0;0;;открыто;.lol=5;
06.09;nabory400410_styled_img, полный);;;наборы;11;0;0.0;0;0;;открыто;.lol=7 .team=4;
06.09;struktura8x7;;;не указано;8;0;0.0;0;0;;открыто;.team=8;
06.09;solodovnya1_1;;;не указано;1;0;0.0;0;0;;открыто;.team=1;
06.09;NEW20_3_7pages_nodate_styled_img;7;без дат;готовый пак;6;0;0.0;0;0;;открыто;.team=5 .lol=1;
06.09;troykaC;;;не указано;3;0;0.0;0;0;;открыто;.team=3;
06.09;nabory421425_styled_img;;;наборы;5;0;0.0;0;0;;открыто;.lol=3 .team=2;
07.09;Выдача_06.09_7стр;7;;выдача;2;0;0.0;0;0;;открыто;.team=1 .lol=1;
