набор контента,доменов,сайтов,дни запуска,зоны,окно 3 суток закрыто у сайтов,в индексе за 3 суток,в индексе за 3 суток %,в индексе всего,в индексе всего %,не в индексе,поисковых кликов,кликов на сайт,кликов на вышедший сайт,регистраций,ФД,регистраций в окне 3 суток,ФД в окне,рег на 100 сайтов,рег на 10 тыс. кликов
content-2026-09-14c-12str-oform,4,824,09-15 09-16,team:824,824,281,34.1,285,34.6,539,28798,34.95,101.0,5,2,5,2,0.607,1.7
nabory-621-630,10,2059,09-18 09-19 09-20,lol:2059,1835,523,28.5,588,28.6,1471,14663,7.12,24.9,3,0,3,0,0.146,2.0
content-2026-09-19-12str,3,618,09-20 09-21,lol:618,0,,,167,27.0,451,3556,5.75,21.3,0,0,0,0,0.0,0.0
content-2026-09-14c-7str-oform-1,45,9270,09-15 09-16 09-17,team:5562 lol:3708,9270,2064,22.3,2118,22.8,7152,116426,12.56,55.0,11,2,9,2,0.119,0.9
content-2026-09-14c-7str-oform-2,44,9064,09-15 09-16 09-17,lol:4532 team:4532,9064,1984,21.9,2046,22.6,7018,107577,11.87,52.6,18,3,15,3,0.199,1.7
content-2026-09-17-7str-oform-1,50,10299,09-20 09-21 09-22,lol:8857 team:1442,0,,,2290,22.2,8009,64350,6.25,28.1,11,1,11,1,0.107,1.7
nabory-631-640,10,2060,09-18 09-19 09-20 09-21,lol:2060,1218,266,21.8,427,20.7,1633,8608,4.18,20.2,2,0,2,0,0.097,2.3
content-2026-09-17b-7str-oform,41,8446,09-18 09-19 09-20 09-21,lol:8446,6332,1322,20.9,1629,19.3,6817,29180,3.45,17.9,7,1,7,1,0.083,2.4
nabory-661-669,9,1350,09-22,team:750 lol:600,0,,,255,18.9,1095,3804,2.82,14.9,1,0,1,0,0.074,2.6
nabory-641-650,10,2060,09-19 09-20 09-21,lol:2060,600,177,29.5,379,18.4,1681,11234,5.45,29.6,0,0,0,0,0.0,0.0
NEW20_3_12pages_withdate_styled_img,1,206,09-06 09-07,lol:206,206,32,15.5,38,18.4,168,706,3.43,18.6,0,0,0,0,0.0,0.0
nabory-555-564_styled_img,10,2060,09-16 09-17,lol:1030 team:1030,2060,360,17.5,365,17.7,1695,10854,5.27,29.7,3,0,3,0,0.146,2.8
nabory-535-544_styled_img,10,2060,09-16 09-17,lol:1442 team:618,2060,356,17.3,361,17.5,1699,15465,7.51,42.8,1,0,1,0,0.049,0.6
nabory-545-554_styled_img,10,1948,09-16 09-17,lol:1948,1948,336,17.2,338,17.4,1610,12984,6.67,38.4,0,0,0,0,0.0,0.0
content-2026-09-17-7str-oform-2,56,11536,09-18 09-19 09-20 09-21,lol:7004 team:4532,9216,1515,16.4,1993,17.3,9543,69782,6.05,35.0,18,2,18,2,0.156,2.6
nabory-651-660,10,2060,09-19 09-20 09-21,lol:2060,300,82,27.3,357,17.3,1703,5765,2.8,16.1,1,0,1,0,0.049,1.7
content-2026-09-17-12str-oform,2,412,09-20 09-21,lol:412,0,,,70,17.0,342,936,2.27,13.4,0,0,0,0,0.0,0.0
content-2026-09-14-12str-oform,16,3296,09-14 09-15,team:2060 lol:1236,3296,483,14.7,545,16.5,2751,11231,3.41,20.6,2,0,2,0,0.061,1.8
content-2026-09-14b-7str-oform-1,51,9330,09-17 09-18 09-19 09-21 09-22,team:4796 lol:4534,3412,350,10.3,1524,16.3,7806,38393,4.12,25.2,9,1,8,1,0.096,2.3
content-2026-09-14b-7str-oform-2,51,9889,09-15 09-16 09-17,team:7435 lol:2454,9889,1474,14.9,1536,15.5,8353,56535,5.72,36.8,7,3,4,2,0.071,1.2
content-2026-09-16-12str,6,900,09-17,team:600 lol:300,900,134,14.9,134,14.9,766,3873,4.3,28.9,0,0,0,0,0.0,0.0
не записан,993,202874,09-01 09-02 09-03 09-04 09-05 09-06 09-07 09-08 09-09 09-10 09-11 09-12 09-13 09-14 09-15,team:99284 lol:70243 casino:22018 buzz:11329,202874,23490,11.6,28220,13.9,174654,895025,4.41,31.7,194,40,150,30,0.096,2.2
content-2026-09-16-7str,42,6581,09-17 09-18 09-19,team:3507 lol:3074,6581,901,13.7,911,13.8,5670,26940,4.09,29.6,4,1,4,1,0.061,1.5
content-2026-09-15-7str-oform-2,50,10300,09-16 09-17,team:5974 lol:4326,10300,1377,13.4,1410,13.7,8890,58374,5.67,41.4,4,1,4,1,0.039,0.7
nabory-565-580,16,3295,09-16 09-17,lol:1648 team:1647,3295,451,13.7,452,13.7,2843,13281,4.03,29.4,0,0,0,0,0.0,0.0
content-2026-09-14-7str-oform-9,39,7754,09-15 09-16 09-21 09-22,team:5712 lol:2042,5974,705,11.8,981,12.7,6773,22780,2.94,23.2,4,1,1,1,0.052,1.8
content-2026-09-14-7str-oform-8,40,7848,09-14 09-15 09-16 09-21 09-22,lol:5994 team:1854,5150,461,9.0,864,11.0,6984,12374,1.58,14.3,1,1,1,1,0.013,0.8
nabory-591-600,10,1500,09-17,team:1050 lol:450,1500,155,10.3,156,10.4,1344,7287,4.86,46.7,0,0,0,0,0.0,0.0
nabory-581-590,10,1556,09-16 09-17,team:1256 lol:300,1556,157,10.1,157,10.1,1399,2810,1.81,17.9,0,0,0,0,0.0,0.0
content-2026-09-15-7str-oform-1,50,8508,09-16 09-17 09-18,lol:5098 team:3410,8508,838,9.8,853,10.0,7655,19926,2.34,23.4,6,1,6,1,0.071,3.0
content-2026-09-21-7str-oform-3,25,3750,09-22,lol:2250 team:1500,0,,,362,9.7,3388,4475,1.19,12.4,1,0,1,0,0.027,2.2
nabory-601-610,10,1556,09-17 09-18,team:956 lol:600,1556,145,9.3,146,9.4,1410,4879,3.14,33.4,2,1,2,1,0.129,4.1
content-2026-09-21b-12str,6,900,09-22,team:600 lol:300,0,,,81,9.0,819,212,0.24,2.6,0,0,0,0,0.0,0.0
content-2026-09-14-7str-oform-1,9,1854,09-15 09-16,lol:1030 team:824,1854,151,8.1,161,8.7,1693,2437,1.31,15.1,1,0,1,0,0.054,4.1
nabory-515-524_styled_img,10,2060,09-14 09-15 09-16,team:2060,2060,161,7.8,177,8.6,1883,4846,2.35,27.4,0,0,0,0,0.0,0.0
NEW20_7pages_nodate_оформлено,1,206,09-07 09-08,team:206,206,14,6.8,16,7.8,190,96,0.47,6.0,0,0,0,0,0.0,0.0
NEW21_7pages_nodate_styled_img,1,206,09-05 09-06,lol:206,206,12,5.8,15,7.3,191,96,0.47,6.4,0,0,0,0,0.0,0.0
nabory-611-620,10,1784,09-17 09-18 09-19,team:922 lol:862,1784,126,7.1,127,7.1,1657,2925,1.64,23.0,0,0,0,0,0.0,0.0
content-2026-09-15-12str-oform,3,450,09-17,team:300 lol:150,450,30,6.7,31,6.9,419,228,0.51,7.4,0,0,0,0,0.0,0.0
nabory-525-534_styled_img,10,2060,09-15 09-16,lol:1442 team:618,2060,127,6.2,134,6.5,1926,1090,0.53,8.1,0,0,0,0,0.0,0.0
content-2026-09-21b-7str-2,14,2100,09-22,team:1350 lol:750,0,,,87,4.1,2013,193,0.09,2.2,0,0,0,0,0.0,0.0
NEW100-оформлено,12,1800,09-22,team:1050 lol:750,0,,,13,0.7,1787,18,0.01,1.4,0,0,0,0,0.0,0.0
