НАБОРЫ КОНТЕНТА, ЗАПУСКИ 2026-09-01 – 2026-09-22 (клики по 2026-09-22 включительно)
наборов 42, доменов 1810, сайтов 358689
в индексе 52799 (14.7%), не в индексе 305890 (85.3%)
поисковых кликов 1695012, регистраций 316, ФД 61; 0.088 рег на 100 сайтов, 1.86 рег на 10 тыс. кликов

набор                                     дом  сайтов  индекс 3с  индекс всего  кл/сайт  рег  ФД  рег/100  рег/10тыс
--------------------------------------------------------------------------------------------------------------------
content-2026-09-14c-12str-oform             4     824      34.1%         34.6%    34.95    5   2    0.607        1.7
nabory-621-630                             10    2059      28.5%         28.6%     7.12    3   0    0.146        2.0
content-2026-09-19-12str                    3     618          —         27.0%     5.75    0   0      0.0        0.0
content-2026-09-14c-7str-oform-1           45    9270      22.3%         22.8%    12.56   11   2    0.119        0.9
content-2026-09-14c-7str-oform-2           44    9064      21.9%         22.6%    11.87   18   3    0.199        1.7
content-2026-09-17-7str-oform-1            50   10299          —         22.2%     6.25   11   1    0.107        1.7
nabory-631-640                             10    2060      21.8%         20.7%     4.18    2   0    0.097        2.3
content-2026-09-17b-7str-oform             41    8446      20.9%         19.3%     3.45    7   1    0.083        2.4
nabory-661-669                              9    1350          —         18.9%     2.82    1   0    0.074        2.6
nabory-641-650                             10    2060      29.5%         18.4%     5.45    0   0      0.0        0.0
NEW20_3_12pages_withdate_styled_img         1     206      15.5%         18.4%     3.43    0   0      0.0        0.0
nabory-555-564_styled_img                  10    2060      17.5%         17.7%     5.27    3   0    0.146        2.8
nabory-535-544_styled_img                  10    2060      17.3%         17.5%     7.51    1   0    0.049        0.6
nabory-545-554_styled_img                  10    1948      17.2%         17.4%     6.67    0   0      0.0        0.0
content-2026-09-17-7str-oform-2            56   11536      16.4%         17.3%     6.05   18   2    0.156        2.6
nabory-651-660                             10    2060      27.3%         17.3%      2.8    1   0    0.049        1.7
content-2026-09-17-12str-oform              2     412          —         17.0%     2.27    0   0      0.0        0.0
content-2026-09-14-12str-oform             16    3296      14.7%         16.5%     3.41    2   0    0.061        1.8
content-2026-09-14b-7str-oform-1           51    9330      10.3%         16.3%     4.12    9   1    0.096        2.3
content-2026-09-14b-7str-oform-2           51    9889      14.9%         15.5%     5.72    7   3    0.071        1.2
content-2026-09-16-12str                    6     900      14.9%         14.9%      4.3    0   0      0.0        0.0
не записан                                993  202874      11.6%         13.9%     4.41  194  40    0.096        2.2
content-2026-09-16-7str                    42    6581      13.7%         13.8%     4.09    4   1    0.061        1.5
content-2026-09-15-7str-oform-2            50   10300      13.4%         13.7%     5.67    4   1    0.039        0.7
nabory-565-580                             16    3295      13.7%         13.7%     4.03    0   0      0.0        0.0
content-2026-09-14-7str-oform-9            39    7754      11.8%         12.7%     2.94    4   1    0.052        1.8
content-2026-09-14-7str-oform-8            40    7848       9.0%         11.0%     1.58    1   1    0.013        0.8
nabory-591-600                             10    1500      10.3%         10.4%     4.86    0   0      0.0        0.0
nabory-581-590                             10    1556      10.1%         10.1%     1.81    0   0      0.0        0.0
content-2026-09-15-7str-oform-1            50    8508       9.8%         10.0%     2.34    6   1    0.071        3.0
content-2026-09-21-7str-oform-3            25    3750          —          9.7%     1.19    1   0    0.027        2.2
nabory-601-610                             10    1556       9.3%          9.4%     3.14    2   1    0.129        4.1
content-2026-09-21b-12str                   6     900          —          9.0%     0.24    0   0      0.0        0.0
content-2026-09-14-7str-oform-1             9    1854       8.1%          8.7%     1.31    1   0    0.054        4.1
nabory-515-524_styled_img                  10    2060       7.8%          8.6%     2.35    0   0      0.0        0.0
NEW20_7pages_nodate_оформлено               1     206       6.8%          7.8%     0.47    0   0      0.0        0.0
NEW21_7pages_nodate_styled_img              1     206       5.8%          7.3%     0.47    0   0      0.0        0.0
nabory-611-620                             10    1784       7.1%          7.1%     1.64    0   0      0.0        0.0
content-2026-09-15-12str-oform              3     450       6.7%          6.9%     0.51    0   0      0.0        0.0
nabory-525-534_styled_img                  10    2060       6.2%          6.5%     0.53    0   0      0.0        0.0
content-2026-09-21b-7str-2                 14    2100          —          4.1%     0.09    0   0      0.0        0.0
NEW100-оформлено                           12    1800          —          0.7%     0.01    0   0      0.0        0.0
