набор,баз,сайтов,свежих,дней,зоны,вышли в поиск,поисковых кликов,регистраций,ФД,кликов на регистрацию,ожидалось регистраций,вердикт
ПАК НЕИЗВЕСТЕН,380,76259,168,24,team:59456/lol:9880/buzz:2125,14679,907142,129,10,7032,141.9,как ожидалось
NEW102оформленосдатой,18,3708,0,3,team:1442/casino:1442/lol:824,776,39253,18,5,2181,4.3,лучше ожидаемого в 4.2 раза
content-2026-09-14c-7str-oform-2,44,9064,9064,3,lol:4532/team:4532,1947,51077,15,3,3405,8.3,лучше ожидаемого в 1.8 раза
archive412_unique12оформлено,12,2471,0,2,lol:1236/buzz:1235,809,36332,15,2,2422,3.5,лучше ожидаемого в 4.2 раза
NEW50_12pages_withdate_01.09,17,3502,0,4,team:1648/casino:1442/lol:412,903,17803,12,3,1484,6.4,лучше ожидаемого в 1.9 раза
NEW33_12pages_nodate+img,15,3090,0,3,team:3090,634,38121,12,1,3177,5.8,лучше ожидаемого в 2.1 раза
NEW50_7pages_nodate_01.09,14,2884,0,3,team:2884,703,48167,11,1,4379,5.1,лучше ожидаемого в 2.2 раза
clean7_part1_50оформлено,50,10300,0,4,lol:4738/team:4532/casino:1030,1303,39056,10,1,3906,11.8,как ожидалось
NEW102оформленобездаты,42,8652,336,4,casino:3502/team:2678/lol:2472,1486,45378,10,2,4538,9.4,как ожидалось
content-2026-09-14c-7str-oform-1,45,9270,9270,3,team:5562/lol:3708,1973,54868,9,2,6096,6.2,как ожидалось
NEW50_3_12pages_withdate_styled,14,2884,0,2,team:1648/lol:1236,706,29134,9,2,3237,4.5,лучше ожидаемого в 2.0 раза
archive37строформленоv2часть3,45,9270,0,4,lol:5150/buzz:2472/team:1236,833,29091,8,2,3636,8.2,как ожидалось
Generator_11page_test_1…_9 (dorgen com,9,1854,0,2,team:1854,784,59798,8,0,7475,6.7,как ожидалось
NEW50_2_12pages_nodate_02.09,6,1236,0,2,lol:824/team:412,353,10403,8,1,1300,2.5,лучше ожидаемого в 3.1 раза
