группа контента                              доменов  индекс  рег  ФД |     casino      |      team       |       lol       |      buzz      
Generator_11page_test_1…_9 (dorgen com             9   33.1%    3   0 |        —        |  33.1% (  9 д.) |        —        |        —       
kruzhevnayamasterskaya1html                        1   31.1%    0   0 |        —        |  31.1% (  1 д.) |        —        |        —       
nabory-621-630                                    10   30.9%    2   0 |        —        |        —        |  30.9% ( 10 д.) |        —       
content-2026-09-14c-12str-oform                    4   30.6%    6   2 |        —        |  30.6% (  4 д.) |        —        |        —       
nabory-641-650                                     4   29.5%    0   0 |        —        |        —        |  29.5% (  4 д.) |        —       
NEW20_3_12pages_nodate_styled_img                  4   28.8%    0   0 |  28.8% (  4 д.) |        —        |        —        |        —       
NEW21_12pages_withdate_styled_img                  4   28.7%    4   1 |  28.7% (  4 д.) |        —        |        —        |        —       
nabory-651-660                                     2   27.4%    0   0 |        —        |        —        |  27.4% (  2 д.) |        —       
NEW50_2_12pages_nodate_02.09                       6   26.9%    8   2 |        —        |  23.6% (  2 д.) |  28.5% (  4 д.) |        —       
NEW50_12pages_nodate_01.09                         8   26.6%    1   1 |  26.6% (  8 д.) |        —        |        —        |        —       
NEW50_2_12pages_withdate_02.09                    17   26.0%    5   0 |        —        |  25.6% ( 14 д.) |  27.5% (  3 д.) |        —       
archive412_unique12оформлено                      12   25.4%   16   2 |        —        |        —        |  32.8% (  6 д.) |  18.0% (  6 д.)
NEW20_12pages_nodate_styled_img                    4   23.7%    3   0 |  23.7% (  4 д.) |        —        |        —        |        —       
NEW50_12pages_withdate_01.09                      17   23.6%   12   3 |  27.2% (  7 д.) |  21.5% (  8 д.) |  19.7% (  2 д.) |        —       
NEW50_3_12pages_withdate_styled                   14   23.2%    9   2 |        —        |  23.8% (  8 д.) |  22.4% (  6 д.) |        —       
nabory461463_styled_img                            3   22.2%    1   0 |  22.2% (  3 д.) |        —        |        —        |        —       
clean12_unique11оформлено                         11   22.0%    4   1 |        —        |  23.0% (  9 д.) |  17.7% (  2 д.) |        —       
content-2026-09-17b-7str-oform                    33   21.7%    5   1 |        —        |        —        |  21.7% ( 33 д.) |        —       
NEW50_2_7pages_withdate                            6   21.1%    4   1 |        —        |  21.1% (  6 д.) |        —        |        —       
NEW50_7pages_nodate_01.09                         14   20.8%   11   1 |        —        |  20.8% ( 14 д.) |        —        |        —       
nabory-631-640                                     6   20.7%    2   0 |        —        |        —        |  20.7% (  6 д.) |        —       
NEW20_3_7pages_nodate_styled_img                   6   20.7%    0   0 |        —        |  22.6% (  5 д.) |  10.7% (  1 д.) |        —       
content-2026-09-14c-7str-oform-1                  45   20.6%   11   2 |        —        |  21.6% ( 27 д.) |  19.2% ( 18 д.) |        —       
NEW20_3_7pages_withdate_styled_img                 4   20.6%    1   0 |        —        |  20.6% (  4 д.) |        —        |        —       
content-2026-09-14c-7str-oform-2                  44   20.0%   18   3 |        —        |  22.1% ( 22 д.) |  17.8% ( 22 д.) |        —       
NEW20_3_12pages_withdate_styled_img                5   19.9%    0   0 |        —        |        —        |  19.9% (  5 д.) |        —       
NEW20_4_12pages_withdate                           3   19.4%    5   0 |        —        |        —        |  19.4% (  3 д.) |        —       
content-2026-09-17-7str-oform-2                   48   18.6%   14   0 |        —        |  26.1% ( 18 д.) |  14.2% ( 30 д.) |        —       
NEW20_12pages_withdate_styled_img                  6   18.6%    2   0 |  14.2% (  3 д.) |  18.9% (  2 д.) |  31.1% (  1 д.) |        —       
NEW50_7pages_withdate_01.09                       11   18.4%    4   1 |        —        |  19.1% (  9 д.) |  15.1% (  2 д.) |        —       
NEW50_3_12pages_nodate_styled                     11   18.2%    3   0 |        —        |  16.2% (  3 д.) |  18.9% (  8 д.) |        —       
NEW20_12pages_nodate_оформлено                     6   17.9%    1   0 |        —        |  22.5% (  3 д.) |  13.4% (  3 д.) |        —       
NEW20_4_12pages_nodate                             6   17.5%    3   1 |        —        |  16.5% (  4 д.) |  19.4% (  2 д.) |        —       
NEW21_12pages_nodate_styled_img                    6   17.0%    0   0 |  17.0% (  6 д.) |        —        |        —        |        —       
tesemochnaya1                                      1   16.5%    0   0 |        —        |  16.5% (  1 д.) |        —        |        —       
trikomplekta                                       3   16.4%    0   0 |        —        |  16.4% (  3 д.) |        —        |        —       
nabory421425_styled_img                            5   16.3%    2   1 |        —        |  17.0% (  2 д.) |  15.9% (  3 д.) |        —       
struktura8x7                                       8   15.9%    0   0 |        —        |  15.9% (  8 д.) |        —        |        —       
nabory-555-564_styled_img                         10   15.8%    3   0 |        —        |  18.1% (  5 д.) |  13.6% (  5 д.) |        —       
NEW20_12pages_withdate_оформлено                   4   15.4%    0   0 |        —        |  17.0% (  2 д.) |  13.8% (  2 д.) |        —       
NEW102оформленосдатой                             18   15.2%   18   7 |  19.1% (  7 д.) |  12.2% (  7 д.) |  13.7% (  4 д.) |        —       
bortnichiydvor1                                    1   15.0%    0   0 |        —        |  15.0% (  1 д.) |        —        |        —       
nabory-535-544_styled_img                         10   14.9%    1   0 |        —        |  17.0% (  3 д.) |  14.0% (  7 д.) |        —       
content-2026-09-14-12str-oform                    16   14.9%    2   0 |        —        |  11.4% ( 10 д.) |  20.8% (  6 д.) |        —       
nabory470472_styled_img                            3   14.1%    1   0 |        —        |  14.1% (  3 д.) |        —        |        —       
nabory-545-554_styled_img                         10   13.9%    0   0 |        —        |        —        |  13.9% ( 10 д.) |        —       
NEW50_3_7pages_withdate_styled                    12   13.9%    1   0 |        —        |  22.2% (  3 д.) |  11.1% (  9 д.) |        —       
Content_script_12page_08.09                       11   13.8%    6   0 |        —        |  12.2% (  4 д.) |  14.7% (  7 д.) |        —       
nabory481483_styled_img_dark                       3   13.7%    0   0 |        —        |  13.7% (  3 д.) |        —        |        —       
Выдача_06.09_12стр                                 8   13.6%    3   0 |        —        |  16.2% (  3 д.) |  12.0% (  5 д.) |        —       
content-2026-09-14b-7str-oform-2                  51   13.4%    7   3 |        —        |  13.0% ( 38 д.) |  14.6% ( 13 д.) |        —       
NEW102оформленобездаты                            42   12.9%   10   2 |  14.3% ( 17 д.) |  13.9% ( 13 д.) |  10.0% ( 12 д.) |        —       
Generator_346353_styled_img                        8   12.4%    3   0 |        —        |  12.4% (  8 д.) |        —        |        —       
content-2026-09-16-12str                           6   12.3%    0   0 |        —        |  13.2% (  4 д.) |  10.5% (  2 д.) |        —       
nabory431435_styled_img                            5   12.3%    0   0 |        —        |  14.4% (  3 д.) |   9.0% (  2 д.) |        —       
content-2026-09-16-7str                           42   12.2%    5   1 |        —        |  14.2% ( 23 д.) |   9.7% ( 19 д.) |        —       
content-2026-09-15-7str-oform-2                   50   12.2%    5   2 |        —        |  11.8% ( 29 д.) |  12.6% ( 21 д.) |        —       
nabory411420_styled_img                           10   12.0%    2   2 |        —        |  16.1% (  5 д.) |   7.9% (  5 д.) |        —       
NEW20_4_7pages_withdate                            5   11.9%    1   1 |        —        |  14.8% (  2 д.) |  10.0% (  3 д.) |        —       
NEW20_7pages_nodate_styled_img                     6   11.7%    0   0 |   7.7% (  2 д.) |  13.7% (  4 д.) |        —        |        —       
NEW50_3_7pages_nodate_styled                      13   11.6%    1   0 |        —        |  10.3% (  8 д.) |  13.6% (  5 д.) |        —       
nabory274283                                      10   11.5%    3   1 |        —        |  18.3% (  3 д.) |   8.7% (  7 д.) |        —       
nabory-565-580                                    16   11.3%    0   0 |        —        |  13.4% (  8 д.) |   9.1% (  8 д.) |        —       
NEW21_7pages_nodate_styled_img                     6   11.2%    1   1 |        —        |  12.3% (  5 д.) |   5.8% (  1 д.) |        —       
content-2026-09-14-7str-oform-9                   29   11.1%    4   1 |        —        |  10.9% ( 25 д.) |  12.2% (  4 д.) |        —       
nabory294303                                      10   10.9%    0   0 |        —        |  17.5% (  3 д.) |   8.1% (  7 д.) |        —       
trikomplektaB                                      3   10.7%    1   1 |        —        |  10.9% (  2 д.) |  10.2% (  1 д.) |        —       
Generator_392396_styled_img                        5   10.3%    0   0 |        —        |  10.3% (  5 д.) |        —        |        —       
troykaC                                            3   10.0%    0   0 |        —        |  10.0% (  3 д.) |        —        |        —       
clean7_part1_50оформлено                          50    9.9%   10   1 |  15.4% (  5 д.) |  11.3% ( 22 д.) |   7.3% ( 23 д.) |        —       
nabory264268_01.09                                 4    9.8%    0   0 |        —        |   9.8% (  4 д.) |        —        |        —       
nabory484486_styled_img                            3    9.7%    0   0 |        —        |   9.7% (  3 д.) |        —        |        —       
content-2026-09-14b-7str-oform-1                  22    9.6%    0   0 |        —        |  11.7% (  9 д.) |   8.0% ( 13 д.) |        —       
script_yandex_12page                              21    9.6%    4   0 |   8.9% ( 16 д.) |  14.2% (  4 д.) |   1.9% (  1 д.) |        —       
nabory436440_styled_img                            5    9.3%    0   0 |        —        |   9.3% (  5 д.) |        —        |        —       
NEW20_7pages_withdate_оформлено                    5    9.2%    1   0 |        —        |   8.7% (  4 д.) |  11.2% (  1 д.) |        —       
КОНТЕНТ НЕ ЗАПИСАН                                73    9.1%    7   1 |   2.9% (  1 д.) |   8.5% ( 43 д.) |  10.2% ( 29 д.) |        —       
content-2026-09-14-7str-oform-8                   25    9.0%    0   0 |        —        |   9.4% (  8 д.) |   8.8% ( 17 д.) |        —       
Выдача_06.09_7стр                                  2    9.0%    0   0 |        —        |   1.0% (  1 д.) |  17.0% (  1 д.) |        —       
nabory-591-600                                    10    9.0%    0   0 |        —        |  10.4% (  7 д.) |   5.7% (  3 д.) |        —       
NEW21_7pages_withdate_styled_img                   5    8.7%    0   0 |   8.7% (  5 д.) |        —        |        —        |        —       
content-2026-09-15-7str-oform-1                   50    8.6%    7   2 |        —        |  10.6% ( 19 д.) |   7.4% ( 31 д.) |        —       
archive47_unique119оформленочасть1                40    8.3%    6   2 |  16.3% (  4 д.) |   3.0% ( 20 д.) |  12.9% ( 16 д.) |        —       
nabory400410_styled_img                           11    8.3%    0   0 |        —        |   8.9% (  4 д.) |   8.0% (  7 д.) |        —       
nabory-581-590                                    10    8.3%    0   0 |        —        |   8.0% (  8 д.) |   9.5% (  2 д.) |        —       
NEW20_7pages_nodate_оформлено                      5    8.3%    0   0 |        —        |   8.3% (  5 д.) |        —        |        —       
nabory447451_styled_img                            5    8.1%    0   0 |        —        |        —        |   3.6% (  2 д.) |  11.0% (  3 д.)
nabory-601-610                                    10    8.0%    2   1 |        —        |   7.5% (  6 д.) |   8.9% (  4 д.) |        —       
content-2026-09-14-7str-oform-1                    9    7.7%    1   0 |        —        |   6.2% (  4 д.) |   8.9% (  5 д.) |        —       
NEW20_4_7pages_nodate                              5    7.6%    0   0 |        —        |   8.7% (  4 д.) |   2.9% (  1 д.) |        —       
nabory-515-524_styled_img                         10    7.4%    0   0 |        —        |   7.4% ( 10 д.) |        —        |        —       
drobilnyydvor1                                     1    7.3%    0   0 |        —        |        —        |   7.3% (  1 д.) |        —       
shponnayarezka1                                    1    7.3%    0   0 |        —        |   7.3% (  1 д.) |        —        |        —       
nabory-490-494_styled_img                          5    7.3%    0   0 |  16.5% (  1 д.) |   5.0% (  4 д.) |        —        |        —       
nabory-611-620                                    10    7.1%    0   0 |        —        |   6.7% (  5 д.) |   7.4% (  5 д.) |        —       
archive37строформленоv2часть3                     45    6.8%    8   2 |  27.0% (  2 д.) |   7.5% (  6 д.) |   6.4% ( 25 д.) |   3.9% ( 12 д.)
content-2026-09-12-7str-oform-2                   41    6.6%    3   2 |        —        |   6.5% ( 26 д.) |   6.8% ( 15 д.) |        —       
nabory-495-499_styled_img                          5    6.4%    0   0 |        —        |   6.8% (  4 д.) |   4.9% (  1 д.) |        —       
archive37строформленоv2часть1                     45    6.4%    5   2 |        —        |   8.7% ( 13 д.) |   5.8% ( 24 д.) |   4.2% (  8 д.)
nabory284293                                      10    6.3%    0   0 |        —        |        —        |   6.3% ( 10 д.) |        —       
Generator_368369_styled_img                        2    6.3%    0   0 |        —        |   6.3% (  2 д.) |        —        |        —       
nabory441443_styled_img                            3    6.3%    0   0 |        —        |   6.3% (  3 д.) |        —        |        —       
content-2026-09-12-7str-oform-1                   41    6.1%    3   0 |   6.3% (  4 д.) |   6.4% ( 24 д.) |   5.4% ( 13 д.) |        —       
content-2026-09-12-7str-oform-3                   39    5.9%    2   0 |        —        |   6.5% ( 17 д.) |   5.4% ( 22 д.) |        —       
archive47_unique119оформленочасть2                24    5.9%    2   0 |  11.7% (  1 д.) |   4.7% ( 20 д.) |  11.7% (  3 д.) |        —       
nabory464466                                       3    5.8%    0   0 |        —        |   5.8% (  3 д.) |        —        |        —       
content-2026-09-15-12str-oform                     3    5.7%    0   0 |        —        |   8.3% (  2 д.) |   0.5% (  1 д.) |        —       
NEW20_7pages_withdate_styled_img                   3    5.7%    0   0 |   5.7% (  3 д.) |        —        |        —        |        —       
nabory-525-534_styled_img                         10    5.6%    0   0 |        —        |   5.7% (  3 д.) |   5.5% (  7 д.) |        —       
archive37строформленоv2часть2                     45    5.5%    2   1 |        —        |        —        |   6.2% ( 19 д.) |   5.0% ( 26 д.)
Generator_354359_styled_img                        6    5.3%    0   0 |        —        |   5.3% (  6 д.) |        —        |        —       
Generator_B_novyy_bez_img                          2    5.1%    0   0 |        —        |   5.1% (  2 д.) |        —        |        —       
Generator_A_staryy_stil                            2    5.1%    0   0 |        —        |   5.1% (  2 д.) |        —        |        —       
Generator_385390_styled_img                        6    4.5%    0   0 |        —        |   4.8% (  5 д.) |   3.4% (  1 д.) |        —       
degtyarnya                                         1    3.9%    0   0 |        —        |   3.9% (  1 д.) |        —        |        —       
Generator_370382_styled_img                       13    3.2%    0   0 |        —        |   3.2% ( 13 д.) |        —        |        —       
nabor391                                           1    2.9%    0   0 |        —        |   2.9% (  1 д.) |        —        |        —       
nabory455457_styled_img                            3    2.3%    0   0 |        —        |        —        |   2.3% (  3 д.) |        —       
nabory-500-509_styled_img                         10    1.5%    0   0 |        —        |   1.6% (  9 д.) |   0.5% (  1 д.) |        —       
content-2026-09-12-12str-oform                     3    1.3%    0   0 |        —        |        —        |   1.3% (  3 д.) |        —       
nabory-510-514_styled_img                          5    0.7%    0   0 |        —        |   0.7% (  5 д.) |        —        |        —       

Зона против своей группы (группы, где зона стоит рядом хотя бы с одной другой):
   .casino  групп  13, доменов   70: индекс к своей группе 1.18×; выше своей группы в 9 из 13
   .team    групп  67, доменов  649: индекс к своей группе 1.04×; выше своей группы в 44 из 67
   .lol     групп  68, доменов  561: индекс к своей группе 0.95×; выше своей группы в 23 из 68
   .buzz    групп   5, доменов   55: индекс к своей группе 0.78×; выше своей группы в 1 из 5
