content,domains,sites,index,reg,fd,cost,income,profit,profit_exp,per_domain,per_domain_exp,cost_per_reg,cost_per_fd
NEW20_4_12pages_withdate,3,618,19.4,5,0,3.0,0,-3.0,37.5,-1.0,12.51,0.6,
content-2026-09-14c-12str-oform,4,824,30.6,6,2,8.0,80,72.0,40.6,18.0,10.16,1.33,4.0
NEW50_2_12pages_nodate_02.09,6,1236,26.9,8,2,8.0,80,72.0,56.9,12.0,9.48,1.0,4.0
archive412_unique12оформлено,12,2471,25.4,16,2,24.0,80,56.0,105.7,4.67,8.81,1.5,11.99
NEW102оформленосдатой,18,3708,15.2,18,7,67.0,280,213.0,78.9,11.83,4.38,3.72,9.57
NEW50_7pages_nodate_01.09,14,2884,20.8,11,1,28.0,40,12.0,61.2,0.86,4.37,2.55,28.0
NEW50_3_12pages_withdate_styled,14,2884,23.2,9,2,22.0,80,58.0,51.0,4.14,3.64,2.44,11.0
NEW50_2_7pages_withdate,6,1236,21.1,4,1,12.0,40,28.0,20.4,4.67,3.4,3.0,12.0
Content_script_12page_08.09,11,2266,13.8,6,0,15.0,0,-15.0,33.6,-1.36,3.06,2.5,
NEW20_4_12pages_nodate,6,1236,17.5,3,1,10.0,40,30.0,14.3,5.0,2.39,3.33,10.0
Generator_11page_test_1…_9 (dorgen com,9,504,33.1,3,0,4.9,0,-4.9,19.4,-0.54,2.16,1.63,
nabory-631-640,6,900,20.7,2,0,4.4,0,-4.4,11.8,-0.73,1.97,2.18,
nabory421425_styled_img,5,1029,16.3,2,1,7.0,40,33.0,9.2,6.6,1.84,3.5,7.0
content-2026-09-14c-7str-oform-2,44,9064,20.0,18,3,66.0,120,54.0,79.9,1.23,1.82,3.67,22.0
NEW50_12pages_withdate_01.09,17,3502,23.6,12,3,67.0,120,53.0,30.3,3.12,1.78,5.58,22.33
Выдача_06.09_12стр,8,1648,13.5,3,0,11.0,0,-11.0,13.3,-1.38,1.66,3.67,
content-2026-09-17-7str-oform-2,48,7256,18.6,14,0,48.3,0,-48.3,65.2,-1.01,1.36,3.45,
NEW50_7pages_withdate_01.09,11,2266,18.4,4,1,20.0,40,20.0,12.4,1.82,1.13,5.0,20.0
nabory274283,10,2060,11.6,3,1,13.0,40,27.0,11.3,2.7,1.13,4.33,13.0
clean12_unique11оформлено,11,2266,22.0,4,1,20.0,40,20.0,12.4,1.82,1.13,5.0,20.0
