корень,день,набор,баз,сайтов,вышли в поиск,выход %,кликов в окне,регистраций,ФД,рег на 100 сайтов,дата,страниц,оформление,картинки,нарезка
NEW102,2026-09-11,NEW102оформленобездаты,36,5118,733,14.3,17848,3,0,0.059,без даты,,оформлено,,
NEW102,2026-09-11,NEW102оформленосдатой,18,2512,481,19.1,26103,14,4,0.557,с датой,,оформлено,,
NEW102,2026-09-12,NEW102оформленобездаты,39,2748,351,12.8,17148,3,2,0.109,без даты,,оформлено,,
NEW102,2026-09-12,NEW102оформленосдатой,16,896,92,10.3,2408,1,1,0.112,с датой,,оформлено,,
NEW17 26.08,2026-08-26,NEW17_img_withdate_26.08,9,1350,231,17.1,16268,3,0,0.222,с датой,,,с картинками,
NEW17 26.08,2026-08-26,NEW17_NOimg_withdate_26.08,7,1050,133,12.7,9027,2,0,0.19,с датой,,,без картинок,
NEW20,2026-09-04,NEW20_12pages_withdate_styled_img,6,900,183,20.3,3696,2,0,0.222,с датой,12,styled_img,,
NEW20,2026-09-04,NEW20_7pages_nodate_styled_img,6,900,134,14.9,1221,0,0,0.0,без даты,7,styled_img,,
NEW21,2026-09-05,NEW21_12pages_nodate_styled_img,6,900,180,20.0,3978,0,0,0.0,без даты,12,styled_img,,
NEW21,2026-09-05,NEW21_7pages_nodate_styled_img,6,900,122,13.6,2116,1,1,0.111,без даты,7,styled_img,,
NEW33 25.08,2026-08-26,NEW33_12pages_withdate+img_25.08,17,2550,371,14.5,19659,4,2,0.157,с датой,12,,,
NEW33 25.08,2026-08-26,NEW33_12pages_nodate+img_25.08,14,2100,450,21.4,21515,4,0,0.19,без даты,12,,,
NEW33 25.08,2026-08-27,NEW33_12pages_withdate+img_25.08,17,950,90,9.5,4545,0,0,0.0,с датой,12,,,
NEW33 25.08,2026-08-27,NEW33_12pages_nodate+img_25.08,15,934,128,13.7,3814,4,0,0.428,без даты,12,,,
NEW50 01.09,2026-09-01,NEW50_12pages_withdate_01.09,12,1800,481,26.7,7319,4,1,0.222,с датой,12,,,
NEW50 01.09,2026-09-01,NEW50_12pages_nodate_01.09,8,1200,357,29.8,10459,0,0,0.0,без даты,12,,,
NEW50 01.09,2026-09-02,NEW50_7pages_nodate_01.09,6,900,222,24.7,5885,2,1,0.222,без даты,7,,,
NEW50 01.09,2026-09-02,NEW50_12pages_withdate_01.09,13,822,146,17.8,2914,1,0,0.122,с датой,12,,,
