баз 1922, сайтов 389498, вышли в поиск 51370 (13.2%)
пулов «пак + день» по пять и больше баз: 122, в них баз 1782

content-2026-09-12-7str-oform · 2026-09-12 · баз 78 · сайтов 16067 · выход3 6.5% · рег 6
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  rzacasino.lol      lol          206   20.4%      407        56     0
  1081.team          team         206   18.4%     4541        56     0
  mhpl.lol           lol          206   17.0%     1063        56     0
  9051.team          team         206   17.0%     1228        56     2
  casinoar.team      team         206   14.6%      620        56     0
  casinob3.lol       lol          206   14.1%      635        56     2
  yxuk.team          team         206   13.1%      367        56     0
  zgin.team          team         206   13.1%      849        56     0
  t8s4.lol           lol          206   13.1%      214        56     1
  wssi.team          team         206   11.7%      310        56     0
  0417.team          team         206   10.7%      338        56     0
  0328.team          team         206   10.7%      456        56     0
  1209ss.casino      casino       206   10.7%      215        56     0
  brlu.team          team         206   10.2%      518        56     1
  7969.team          team         206    9.7%      425        56     0
  casino8915.lol     lol          206    9.2%      230        56     0
  casino378.lol      lol          206    8.7%     1249        56     0
  42casino.lol       lol          206    8.7%      244        56     0
  n9t.team           team         206    8.7%      242        56     0
  2250.team          team         206    8.7%      353        56     0
  g3p0.lol           lol          206    8.7%      204        56     0
  0574.team          team         206    8.3%      100        56     0
  3002.lol           lol          206    8.3%      549        56     0
  casinojih.lol      lol          206    8.3%      386        56     0
  v2b.team           team         206    8.3%      172        56     0
  h8v.team           team         206    8.3%      106        56     0
  3885casino.team    team         206    7.8%      627        56     0
  2120.team          team         206    7.8%       89        56     0
  21casino.team      team         206    7.8%      232        56     0
  9263casino.team    team         206    7.8%       76        56     0
  1209dd.casino      casino       206    7.8%      202        56     0
  npj.lol            lol          206    7.3%      518        56     0
  xwbw.team          team         206    7.3%      214        56     0
  0148.team          team         206    7.3%       72        56     0
  ovucasino.team     team         206    6.8%      314        56     0
  watc.team          team         206    6.3%       79        56     0
  615casino.team     team         206    6.3%      127        56     0
  o0n4.lol           lol          206    5.8%      145        56     0
  tuoa.team          team         206    5.3%      369        56     0
  7728.team          team         206    5.3%      243        56     0
  5740.team          team         206    5.3%      116        56     0
  khev.lol           lol          206    5.3%      232        56     0
  casino5829.team    team         206    4.9%      353        56     0
  8491.team          team         206    4.9%      111        56     0
  5046.team          team         206    4.9%       35        56     0
  3001.lol           lol          206    4.9%       73        56     0
  3508.lol           lol          206    4.4%       35        56     0
  8436casino.lol     lol          206    4.4%       57        56     0
  hfhf.team          team         206    3.9%       66        56     0
  casino1209s.casino casino       206    3.9%      216        56     0
  vngr.team          team         206    3.9%       19        56     0
  7410.team          team         206    3.9%       77        56     0
  tiff.team          team         206    3.4%      186        56     0
  u5k4.team          team         206    3.4%       50        56     0
  1970.team          team         206    3.4%       34        56     0
  378casino.team     team         206    3.4%      845        56     0
  oopf.team          team         206    2.9%       13        56     0
  rplcasino.lol      lol          206    2.9%       14        56     0
  6581casino.team    team         206    2.9%       41        56     0
  1373.lol           lol          206    2.9%      137        56     0
  022casino.team     team         206    2.9%       74        56     0
  casino4614.team    team         206    2.9%      176        56     0
  uqg.lol            lol          206    2.4%       10        56     0
  evcasino.team      team         206    2.4%       61        56     0
  2532.team          team         206    2.4%       20        56     0
  hdvg.casino        casino       206    2.4%      204        56     0
  vitt.lol           lol          206    2.4%       60        56     0
  4489.lol           lol          206    2.4%       38        56     0
  2273.team          team         205    2.0%       20        55     0
  8347.team          team         206    1.9%      196        56     0
  casino806.lol      lol          206    1.9%      100        56     0
  8374casino.lol     lol          206    1.5%        7        56     0
  4253.team          team         206    1.5%       30        56     0
  0784.team          team         206    1.5%        5        56     0
  5076casino.lol     lol          206    1.5%       10        56     0
  itrv.team          team         206    1.0%       12        56     0
  qcfi.team          team         206    0.5%       11        56     0
  casinorlj.team     team         206    0.0%        7        56     0

ПАК НЕИЗВЕСТЕН · 2026-08-20 · баз 77 · сайтов 15526 · выход3 14.1% · рег 22
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  1908.team          team         199   59.8%    36917        49     5
