content,rep,rep_zone,rep_day,orig,orig_zone,orig_day,rep_i24,rep_ctl24,orig_i24,orig_ctl24,rep_i48,rep_ctl48,orig_i48,orig_ctl48,rep_i72,rep_ctl72,orig_i72,orig_ctl72,rep_reg,rep_fd,orig_reg,orig_fd,set_n,set_rel24
content-2026-09-17b-7str-oform_25,0790.team,team,2026-09-24,l3c7.lol,lol,2026-09-19,5.3,4.8,28.6,23.4,7.3,,30.6,26.3,,,33.0,27.5,0,0,2,1,40,1.23
content-2026-09-14c-7str-oform-2_13,1463.team,team,2026-09-24,5713.lol,lol,2026-09-15,11.3,4.8,8.3,8.1,15.3,,12.6,11.6,,,16.0,14.4,0,0,1,1,44,1.32
content-2026-09-14c-12str-oform_2,3226.team,team,2026-09-24,ploo.team,team,2026-09-15,8.7,4.8,29.1,10.3,12.0,,35.4,13.9,,,39.3,17.0,0,0,3,2,4,2.17
content-2026-09-14b-7str-oform-2_37,4654.team,team,2026-09-24,2837.team,team,2026-09-15,21.3,4.8,3.4,10.3,30.7,,5.3,13.9,,,9.7,17.0,0,0,1,1,51,0.91
content-2026-09-14c-7str-oform-2_3,5324.team,team,2026-09-24,0749.team,team,2026-09-15,6.0,4.8,12.6,10.3,12.0,,21.4,13.9,,,24.8,17.0,0,0,1,1,44,1.32
content-2026-09-14b-7str-oform-2_21,5496.team,team,2026-09-24,vecasino.lol,lol,2026-09-15,6.0,4.8,22.3,8.1,7.3,,27.2,11.6,,,30.1,14.4,2,1,0,0,51,0.91
content-2026-09-14c-7str-oform-2_17,57casino.team,team,2026-09-24,imic.team,team,2026-09-15,12.0,4.8,23.8,10.3,16.7,,32.0,13.9,,,35.0,17.0,1,0,4,0,44,1.32
content-2026-09-17-7str-oform-1_34,6119.team,team,2026-09-24,ckcasino.lol,lol,2026-09-20,2.7,4.8,30.1,18.0,3.3,,33.0,20.7,,,33.5,21.8,1,0,1,1,50,1.2
content-2026-09-15-7str-oform-2_23,8306.team,team,2026-09-24,6874.team,team,2026-09-16,2.7,4.8,10.7,9.1,4.0,,13.1,12.5,,,14.1,13.8,0,0,1,0,50,0.89
content-2026-09-16-7str_23,9332.team,team,2026-09-24,2815.team,team,2026-09-17,12.0,4.8,9.2,6.7,16.0,,13.6,9.5,,,14.6,10.7,0,0,1,1,42,1.3
content-2026-09-17-7str-oform-2_28,casino74.team,team,2026-09-24,qucasino.team,team,2026-09-20,4.0,4.8,29.6,20.6,5.3,,37.4,23.9,,,39.3,24.8,0,0,2,1,56,1.11
content-2026-09-14c-7str-oform-2_24,casinobkm.team,team,2026-09-24,2600.team,team,2026-09-15,4.7,4.8,24.3,10.3,6.7,,29.6,13.9,,,32.5,17.0,1,1,3,0,44,1.32
content-2026-09-14b-7str-oform-2_20,casinok2.team,team,2026-09-24,itym.team,team,2026-09-15,2.7,4.8,17.5,10.3,5.3,,21.8,13.9,,,25.2,17.0,0,0,1,1,51,0.91
content-2026-09-14c-7str-oform-2_25,dnkj.team,team,2026-09-24,itsr.team,team,2026-09-15,4.0,4.8,29.6,10.3,6.0,,38.8,13.9,,,43.2,17.0,0,0,2,0,44,1.32
content-2026-09-17-7str-oform-2_42,dvgc.team,team,2026-09-24,k6x.team,team,2026-09-18,4.0,4.8,42.7,6.6,6.0,,52.7,8.8,,,52.7,8.9,0,0,1,0,56,1.11
content-2026-09-14-7str-oform-9_3,e7k.team,team,2026-09-24,r6a3.lol,lol,2026-09-15,3.3,4.8,11.2,8.1,,,15.5,11.6,,,19.9,14.4,0,0,1,1,36,0.61
content-2026-09-14c-7str-oform-1_22,k3j4.team,team,2026-09-24,1206.lol,lol,2026-09-15,4.0,4.8,16.5,8.1,,,20.9,11.6,,,24.8,14.4,0,0,1,1,45,1.32
content-2026-09-17-7str-oform-2_34,kgmx.team,team,2026-09-24,2596.team,team,2026-09-18,5.3,4.8,25.3,6.6,,,33.3,8.8,,,34.7,8.9,0,0,1,0,56,1.11
content-2026-09-14c-7str-oform-1_38,lnncasino.team,team,2026-09-24,casinocr.lol,lol,2026-09-16,3.3,4.8,16.5,9.2,,,25.2,13.0,,,27.2,14.3,0,0,1,1,45,1.32
content-2026-09-14c-7str-oform-2_2,o7c.team,team,2026-09-24,7492.lol,lol,2026-09-15,3.3,4.8,13.6,8.1,,,19.4,11.6,,,20.4,14.4,0,0,1,1,44,1.32
content-2026-09-14b-7str-oform-1_19,r1k8.team,team,2026-09-24,5656.team,team,2026-09-21,2.0,4.8,36.7,23.0,,,44.0,27.5,,,49.3,28.9,0,0,2,1,46,1.05
content-2026-09-15-7str-oform-1_43,rwjz.team,team,2026-09-24,5779.team,team,2026-09-17,0.0,4.8,13.1,6.7,,,16.0,9.5,,,18.0,10.7,0,0,3,1,50,0.85
content-2026-09-15-7str-oform-2_48,vwzj.team,team,2026-09-24,casinosz.lol,lol,2026-09-16,0.0,4.8,18.9,9.2,,,28.6,13.0,,,32.0,14.3,0,0,1,0,50,0.89
