at,event,site,launch,age,content,clicks_7_10,clicks_all
2026-09-01 00:15,reg,leon.9yp.team,до 11.08,,,,117
2026-09-01 02:15,reg,dragonmoney.gwrn.team,до 11.08,,,,203
2026-09-02 22:15,reg,jetton.k3f.team,до 11.08,,,,5886
2026-09-03 19:15,reg,brillx.mrxc.team,до 11.08,,,,118
2026-09-04 01:15,reg,dragonmoney.gwrn.team,до 11.08,,,,203
2026-09-04 12:15,reg,dragonmoney.gwrn.team,до 11.08,,,,203
2026-09-04 13:15,reg,bounty.n2c.team,до 11.08,,,,8
2026-09-04 13:15,reg,vodka.t2z.team,до 11.08,,,,1254
2026-09-05 00:15,reg,dragonmoney.gwrn.team,до 11.08,,,,203
2026-09-05 19:15,reg,trix.gt7.team,до 11.08,,,,1235
2026-09-05 23:15,reg,vodka.t2z.team,до 11.08,,,,1254
2026-09-06 15:15,reg,goodwin.3664.team,2026-08-26,11,NEW17_img_withdate_26.08,0,65
2026-09-07 00:15,reg,leon.7065.team,2026-08-26,12,NEW33_12pages_withdate+img_25.08,1,130
2026-09-07 14:15,reg,vulkanvegas.xabd.team,2026-08-24,14,ТЕСТ B Generator_11page_NOimg_24.08,27,205
2026-09-09 13:23,reg,eva.mtbf.team,2026-08-19,21,КОНТЕНТ НЕ ЗАПИСАН,125,951
2026-09-09 14:20,fd,eva.mtbf.team,2026-08-19,21,КОНТЕНТ НЕ ЗАПИСАН,125,951
2026-09-09 15:15,reg,leon.7065.team,2026-08-26,14,NEW33_12pages_withdate+img_25.08,1,130
2026-09-10 01:15,reg,marathon.bcqr.team,2026-08-20,21,КОНТЕНТ НЕ ЗАПИСАН,2,37
2026-09-10 17:15,reg,casinox.3592.team,до 11.08,,,,504
2026-09-12 23:16,fd,dragonmoney.bsfg.team,2026-08-26,17,NEW33_12pages_nodate+img_25.08,0,4
2026-09-13 05:15,reg,arkada.sblv.team,2026-08-24,20,КОНТЕНТ НЕ ЗАПИСАН,5,82
2026-09-13 10:15,reg,luckybird.5113.team,2026-08-26,18,NEW33_12pages_nodate+img_25.08,0,7
2026-09-15 13:15,reg,onlybets.5580.team,2026-09-02,13,NEW50_7pages_nodate_01.09,1,127
2026-09-15 14:16,reg,kush.w4rz.team,2026-08-20,26,КОНТЕНТ НЕ ЗАПИСАН,0,907
2026-09-16 09:15,reg,pinco.ciye.team,2026-09-02,14,NEW50_7pages_nodate_01.09,112,850
2026-09-17 05:15,reg,iris.casinofsd.lol,2026-09-07,10,nabory421425_styled_img,3,4
2026-09-17 07:21,fd,iris.casinofsd.lol,2026-09-07,10,nabory421425_styled_img,3,4
2026-09-19 09:15,reg,martin.5298.team,2026-09-05,14,trikomplektaB,0,1
2026-09-19 09:22,fd,martin.5298.team,2026-09-05,14,trikomplektaB,0,1
2026-09-19 16:15,reg,vodka.t2z.team,до 11.08,,,,1254
2026-09-19 17:23,fd,vodka.t2z.team,до 11.08,,,,1254
2026-09-20 11:15,reg,dune.3664.team,2026-08-27,24,NEW17_img_withdate_26.08,1,115
2026-09-20 14:15,reg,1win.rvue.team,2026-09-02,18,NEW50_7pages_withdate_01.09,2928,17654
2026-09-20 16:15,reg,leon.3242.team,2026-09-02,18,NEW50_2_7pages_withdate,0,219
2026-09-20 16:23,fd,leon.3242.team,2026-09-02,18,NEW50_2_7pages_withdate,0,219
2026-09-20 17:15,reg,why.0665.team,2026-09-02,18,NEW50_2_12pages_withdate_02.09,1,17
2026-09-21 18:24,fd,slotgames.1083.lol,2026-09-03,18,NEW50_2_12pages_nodate_02.09,0,89
2026-09-21 22:15,reg,honeymoney.s3zr.team,до 11.08,,,,3
