группа контента,зона,аккаунт,блок часа,баз,сайтов,вышли в поиск,выход %,кликов в окне,регистраций,ФД,рег на 100 сайтов
Content_script_12page_08.09,lol,свежий,06-11,7,1050,194,18.5,11597,3,0,0.286
Content_script_12page_08.09,team,свежий,06-11,4,600,95,15.8,7288,2,0,0.333
Content_script_12page_08.09,lol,свежий,00-05,7,392,50,12.8,2953,1,0,0.255
Content_script_12page_08.09,team,свежий,00-05,4,224,16,7.1,307,0,0,0.0
Generator_11page_NOimg_25.08,team,свежий,12-17,8,1200,215,17.9,13328,2,0,0.167
Generator_11page_NOimg_25.08,team,свежий,00-05,8,448,36,8.0,1083,0,0,0.0
Generator_11page_NOimg_25.08,lol,свежий,12-17,2,300,27,9.0,1773,0,0,0.0
Generator_11page_NOimg_25.08,lol,свежий,00-05,2,112,4,3.6,243,0,0,0.0
Generator_11page_img_25.08,team,свежий,12-17,5,750,126,16.8,3687,1,0,0.133
Generator_11page_img_25.08,team,свежий,00-05,5,280,21,7.5,345,0,0,0.0
Generator_11page_test_1…_9 (dorgen com,team,свежий,12-17,9,1350,608,45.0,44206,5,0,0.37
Generator_11page_test_1…_9 (dorgen com,team,свежий,00-05,9,504,167,33.1,12282,3,0,0.595
Generator_346353_styled_img,team,свежий,12-17,8,1200,178,14.8,4480,1,0,0.083
Generator_346353_styled_img,team,свежий,00-05,8,448,29,6.5,1317,2,0,0.446
Generator_354359_styled_img,team,свежий,18-23,6,900,58,6.4,993,0,0,0.0
Generator_354359_styled_img,team,свежий,00-05,6,335,8,2.4,71,0,0,0.0
Generator_368369_styled_img,team,свежий,18-23,2,300,20,6.7,353,0,0,0.0
Generator_368369_styled_img,team,свежий,00-05,2,112,6,5.4,74,0,0,0.0
Generator_370382_styled_img,team,свежий,00-05,13,1478,49,3.3,231,0,0,0.0
Generator_370382_styled_img,team,свежий,06-11,8,1200,39,3.2,334,0,0,0.0
Generator_385390_styled_img,team,свежий,12-17,5,750,48,6.4,377,0,0,0.0
Generator_385390_styled_img,team,свежий,00-05,5,280,0,0.0,0,0,0,0.0
Generator_385390_styled_img,lol,свежий,12-17,1,150,5,3.3,212,0,0,0.0
Generator_385390_styled_img,lol,свежий,00-05,1,56,2,3.6,12,0,0,0.0
Generator_392396_styled_img,team,свежий,06-11,5,750,94,12.5,5579,0,0,0.0
Generator_392396_styled_img,team,свежий,00-05,5,280,20,7.1,424,0,0,0.0
Generator_A_staryy_stil,team,свежий,18-23,2,300,16,5.3,52,0,0,0.0
Generator_A_staryy_stil,team,свежий,00-05,2,112,5,4.5,65,0,0,0.0
Generator_B_novyy_bez_img,team,свежий,18-23,2,300,15,5.0,68,0,0,0.0
Generator_B_novyy_bez_img,team,свежий,00-05,2,112,5,4.5,10,0,0,0.0
NEW102оформленобездаты,lol,свежий,12-17,11,1650,178,10.8,2568,1,0,0.061
NEW102оформленобездаты,casino,свежий,00-05,17,1402,208,14.8,10426,0,0,0.0
NEW102оформленобездаты,casino,свежий,18-23,9,1350,215,15.9,9823,1,0,0.074
NEW102оформленобездаты,team,свежий,12-17,7,1050,194,18.5,4736,1,0,0.095
NEW102оформленобездаты,team,свежий,00-05,13,1028,92,8.9,2491,1,1,0.097
NEW102оформленобездаты,lol,свежий,00-05,12,672,54,8.0,2250,0,0,0.0
NEW102оформленобездаты,casino,свежий,12-17,4,600,91,15.2,2258,1,0,0.167
NEW102оформленобездаты,team,свежий,18-23,2,300,35,11.7,997,0,0,0.0
NEW102оформленобездаты,team,свежий,06-11,2,300,60,20.0,1382,1,1,0.333
NEW102оформленобездаты,lol,свежий,06-11,1,150,26,17.3,239,0,0,0.0
NEW102оформленобездаты,casino,свежий,06-11,1,150,21,14.0,165,0,0,0.0
NEW102оформленосдатой,casino,свежий,00-05,7,1142,257,22.5,14472,7,3,0.613
NEW102оформленосдатой,team,свежий,00-05,7,842,103,12.2,4290,5,1,0.594
NEW102оформленосдатой,lol,свежий,00-05,4,374,64,17.1,1596,3,1,0.802
NEW102оформленосдатой,team,свежий,06-11,2,300,59,19.7,3501,0,0,0.0
NEW102оформленосдатой,lol,свежий,06-11,1,150,11,7.3,2289,0,0,0.0
NEW102оформленосдатой,team,свежий,18-23,1,150,20,13.3,1813,0,0,0.0
NEW102оформленосдатой,team,свежий,12-17,1,150,6,4.0,936,0,0,0.0
NEW102оформленосдатой,lol,свежий,18-23,1,150,40,26.7,971,0,0,0.0
NEW102оформленосдатой,lol,свежий,12-17,1,150,5,3.3,9,0,0,0.0
NEW102оформленосдатой,casino,свежий,12-17,1,150,28,18.7,447,0,0,0.0
NEW102оформленосдатой,casino,свежий,18-23,1,150,20,13.3,108,0,0,0.0
NEW17_NOimg_withdate_26.08,team,свежий,12-17,6,900,125,13.9,8081,2,0,0.222
NEW17_NOimg_withdate_26.08,team,свежий,00-05,6,334,35,10.5,860,0,0,0.0
NEW17_NOimg_withdate_26.08,lol,свежий,12-17,1,150,8,5.3,946,0,0,0.0
NEW17_NOimg_withdate_26.08,lol,свежий,00-05,1,56,2,3.6,5,0,0,0.0
NEW17_img_withdate_26.08,team,свежий,12-17,8,1200,170,14.2,9118,2,0,0.167
NEW17_img_withdate_26.08,team,свежий,00-05,8,447,44,9.8,1598,1,0,0.224
NEW17_img_withdate_26.08,team,повторный,12-17,1,150,61,40.7,7150,1,0,0.667
NEW17_img_withdate_26.08,team,повторный,00-05,1,55,20,36.4,1761,0,0,0.0
NEW20_12pages_nodate_styled_img,casino,свежий,18-23,4,600,153,25.5,8112,3,0,0.5
NEW20_12pages_nodate_styled_img,casino,свежий,00-05,4,224,42,18.8,3415,0,0,0.0
NEW20_12pages_nodate_оформлено,lol,свежий,18-23,3,450,63,14.0,454,0,0,0.0
NEW20_12pages_nodate_оформлено,team,свежий,18-23,3,450,115,25.6,1116,1,0,0.222
NEW20_12pages_nodate_оформлено,lol,свежий,00-05,3,168,17,10.1,214,0,0,0.0
NEW20_12pages_nodate_оформлено,team,свежий,00-05,3,168,24,14.3,187,0,0,0.0
NEW20_12pages_withdate_styled_img,casino,свежий,18-23,3,450,65,14.4,1348,0,0,0.0
NEW20_12pages_withdate_styled_img,team,свежий,18-23,2,300,63,21.0,700,1,0,0.333
NEW20_12pages_withdate_styled_img,casino,свежий,00-05,3,168,23,13.7,1120,0,0,0.0
NEW20_12pages_withdate_styled_img,lol,свежий,18-23,1,150,55,36.7,1648,1,0,0.667
NEW20_12pages_withdate_styled_img,team,свежий,00-05,2,112,15,13.4,368,0,0,0.0
NEW20_12pages_withdate_styled_img,lol,свежий,00-05,1,56,7,12.5,230,0,0,0.0
NEW20_12pages_withdate_оформлено,lol,свежий,18-23,2,300,42,14.0,878,0,0,0.0
NEW20_12pages_withdate_оформлено,team,свежий,18-23,2,300,61,20.3,525,0,0,0.0
NEW20_12pages_withdate_оформлено,lol,свежий,00-05,2,112,14,12.5,375,0,0,0.0
NEW20_12pages_withdate_оформлено,team,свежий,00-05,2,112,8,7.1,13,0,0,0.0
NEW20_3_12pages_nodate_styled_img,casino,свежий,12-17,4,600,197,32.8,3940,0,0,0.0
NEW20_3_12pages_nodate_styled_img,casino,свежий,00-05,4,224,52,23.2,1606,0,0,0.0
NEW20_3_12pages_withdate_styled_img,lol,свежий,12-17,5,750,171,22.8,2863,0,0,0.0
NEW20_3_12pages_withdate_styled_img,lol,свежий,00-05,5,280,43,15.4,1592,0,0,0.0
NEW20_3_7pages_nodate_styled_img,team,свежий,18-23,5,750,205,27.3,2487,0,0,0.0
NEW20_3_7pages_nodate_styled_img,team,свежий,00-05,5,280,29,10.4,442,0,0,0.0
NEW20_3_7pages_nodate_styled_img,lol,свежий,18-23,1,150,17,11.3,817,0,0,0.0
NEW20_3_7pages_nodate_styled_img,lol,свежий,00-05,1,55,3,5.5,6,0,0,0.0
NEW20_3_7pages_withdate_styled_img,team,свежий,12-17,4,600,141,23.5,2817,1,0,0.167
NEW20_3_7pages_withdate_styled_img,team,свежий,00-05,4,224,35,15.6,1287,0,0,0.0
NEW20_4_12pages_nodate,team,свежий,12-17,4,600,120,20.0,1636,2,1,0.333
NEW20_4_12pages_nodate,lol,свежий,12-17,2,300,68,22.7,5489,1,0,0.333
NEW20_4_12pages_nodate,team,свежий,00-05,4,224,28,12.5,152,0,0,0.0
NEW20_4_12pages_nodate,lol,свежий,00-05,2,112,16,14.3,204,0,0,0.0
NEW20_4_12pages_withdate,lol,свежий,12-17,3,450,108,24.0,1766,4,0,0.889
NEW20_4_12pages_withdate,lol,свежий,00-05,3,168,23,13.7,648,0,0,0.0
NEW20_4_7pages_nodate,team,свежий,12-17,2,300,18,6.0,669,0,0,0.0
NEW20_4_7pages_nodate,team,свежий,18-23,2,300,47,15.7,329,0,0,0.0
NEW20_4_7pages_nodate,team,свежий,00-05,4,224,9,4.0,286,0,0,0.0
NEW20_4_7pages_nodate,lol,свежий,12-17,1,150,6,4.0,177,0,0,0.0
NEW20_4_7pages_nodate,lol,свежий,00-05,1,56,0,0.0,0,0,0,0.0
NEW20_4_7pages_withdate,lol,свежий,12-17,2,300,29,9.7,471,0,0,0.0
NEW20_4_7pages_withdate,lol,свежий,00-05,3,168,9,5.4,65,0,0,0.0
NEW20_4_7pages_withdate,lol,свежий,18-23,1,150,25,16.7,165,0,0,0.0
NEW20_4_7pages_withdate,team,свежий,18-23,1,150,27,18.0,201,0,0,0.0
NEW20_4_7pages_withdate,team,свежий,12-17,1,150,26,17.3,181,1,1,0.667
NEW20_4_7pages_withdate,team,свежий,00-05,2,112,6,5.4,28,0,0,0.0
NEW20_7pages_nodate_styled_img,team,свежий,18-23,4,600,103,17.2,990,0,0,0.0
NEW20_7pages_nodate_styled_img,casino,свежий,18-23,2,300,31,10.3,231,0,0,0.0
NEW20_7pages_nodate_styled_img,team,свежий,00-05,4,224,10,4.5,21,0,0,0.0
NEW20_7pages_nodate_styled_img,casino,свежий,00-05,2,112,0,0.0,0,0,0,0.0
NEW20_7pages_nodate_оформлено,team,свежий,18-23,5,750,76,10.1,807,0,0,0.0
NEW20_7pages_nodate_оформлено,team,свежий,00-05,5,280,8,2.9,414,0,0,0.0
NEW20_7pages_withdate_styled_img,casino,свежий,18-23,3,450,32,7.1,208,0,0,0.0
NEW20_7pages_withdate_styled_img,casino,свежий,00-05,3,168,3,1.8,5,0,0,0.0
NEW20_7pages_withdate_оформлено,team,свежий,18-23,4,600,59,9.8,653,0,0,0.0
NEW20_7pages_withdate_оформлено,team,свежий,00-05,4,224,12,5.4,73,0,0,0.0
NEW20_7pages_withdate_оформлено,lol,свежий,18-23,1,150,20,13.3,140,1,0,0.667
NEW20_7pages_withdate_оформлено,lol,свежий,00-05,1,56,4,7.1,23,0,0,0.0
NEW21_12pages_nodate_styled_img,casino,свежий,12-17,5,750,171,22.8,3959,0,0,0.0
NEW21_12pages_nodate_styled_img,casino,свежий,00-05,6,336,35,10.4,2575,0,0,0.0
NEW21_12pages_nodate_styled_img,casino,свежий,18-23,1,150,9,6.0,19,0,0,0.0
NEW21_12pages_withdate_styled_img,casino,свежий,12-17,3,450,150,33.3,3053,2,1,0.444
NEW21_12pages_withdate_styled_img,casino,свежий,00-05,4,224,47,21.0,6087,2,0,0.893
NEW21_12pages_withdate_styled_img,casino,свежий,18-23,1,150,49,32.7,1017,0,0,0.0
NEW21_7pages_nodate_styled_img,team,свежий,18-23,5,750,111,14.8,2043,1,1,0.133
NEW21_7pages_nodate_styled_img,team,свежий,00-05,5,280,15,5.4,470,0,0,0.0
NEW21_7pages_nodate_styled_img,lol,свежий,18-23,1,150,11,7.3,73,0,0,0.0
NEW21_7pages_nodate_styled_img,lol,свежий,00-05,1,56,1,1.8,2,0,0,0.0
NEW21_7pages_withdate_styled_img,casino,свежий,18-23,5,750,72,9.6,886,0,0,0.0
NEW21_7pages_withdate_styled_img,casino,свежий,00-05,5,280,15,5.4,1772,0,0,0.0
NEW33_12pages_nodate+img_25.08,team,свежий,18-23,13,1950,417,21.4,18608,4,0,0.205
NEW33_12pages_nodate+img_25.08,team,свежий,00-05,15,840,110,13.1,3621,3,0,0.357
NEW33_12pages_nodate+img_25.08,team,свежий,12-17,2,300,54,18.0,3204,1,0,0.333
NEW33_12pages_withdate+img_25.08,team,свежий,12-17,16,2400,360,15.0,19398,4,2,0.167
NEW33_12pages_withdate+img_25.08,team,свежий,00-05,16,894,88,9.8,4409,0,0,0.0
NEW33_12pages_withdate+img_25.08,lol,свежий,12-17,1,150,11,7.3,261,0,0,0.0
NEW33_12pages_withdate+img_25.08,lol,свежий,00-05,1,56,2,3.6,136,0,0,0.0
NEW33_12pages_withdate_25.08,team,свежий,18-23,8,1200,205,17.1,11001,0,0,0.0
NEW33_12pages_withdate_25.08,team,свежий,00-05,8,447,54,12.1,1897,1,0,0.224
NEW50_12pages_nodate_01.09,casino,свежий,18-23,6,900,291,32.3,8209,0,0,0.0
NEW50_12pages_nodate_01.09,casino,свежий,00-05,8,448,90,20.1,3147,1,1,0.223
NEW50_12pages_nodate_01.09,casino,свежий,12-17,2,300,66,22.0,2250,0,0,0.0
NEW50_12pages_withdate_01.09,casino,свежий,18-23,4,600,203,33.8,4123,3,1,0.5
NEW50_12pages_withdate_01.09,team,свежий,06-11,4,600,170,28.3,3196,4,1,0.667
NEW50_12pages_withdate_01.09,team,свежий,00-05,8,598,99,16.6,1572,0,0,0.0
NEW50_12pages_withdate_01.09,casino,свежий,12-17,3,450,110,24.4,1245,0,0,0.0
NEW50_12pages_withdate_01.09,team,свежий,18-23,3,450,101,22.4,1165,1,0,0.222
NEW50_12pages_withdate_01.09,casino,свежий,00-05,7,392,75,19.1,1428,1,0,0.255
NEW50_12pages_withdate_01.09,lol,свежий,18-23,2,300,67,22.3,786,0,0,0.0
NEW50_12pages_withdate_01.09,lol,свежий,00-05,2,112,12,10.7,626,0,0,0.0
NEW50_2_12pages_nodate_02.09,lol,свежий,18-23,4,600,184,30.7,4249,3,0,0.5
NEW50_2_12pages_nodate_02.09,team,свежий,18-23,2,300,80,26.7,844,1,0,0.333
NEW50_2_12pages_nodate_02.09,lol,свежий,00-05,4,224,51,22.8,2338,4,1,1.786
NEW50_2_12pages_nodate_02.09,team,свежий,00-05,2,112,16,14.3,246,0,0,0.0
NEW50_2_12pages_withdate_02.09,team,свежий,18-23,14,2100,614,29.2,13576,2,0,0.095
NEW50_2_12pages_withdate_02.09,team,свежий,00-05,14,783,126,16.1,2311,1,0,0.128
NEW50_2_12pages_withdate_02.09,lol,свежий,18-23,3,450,138,30.7,3814,0,0,0.0
NEW50_2_12pages_withdate_02.09,lol,свежий,00-05,3,168,31,18.5,1279,0,0,0.0
NEW50_2_7pages_withdate,team,свежий,18-23,6,900,218,24.2,4031,3,0,0.333
NEW50_2_7pages_withdate,team,свежий,00-05,6,336,40,11.9,617,0,0,0.0
NEW50_3_12pages_nodate_styled,lol,свежий,18-23,8,1200,238,19.8,14277,3,0,0.25
NEW50_3_12pages_nodate_styled,team,свежий,18-23,3,450,78,17.3,1812,0,0,0.0
NEW50_3_12pages_nodate_styled,lol,свежий,00-05,8,448,71,15.8,2865,0,0,0.0
NEW50_3_12pages_nodate_styled,team,свежий,00-05,3,168,23,13.7,609,0,0,0.0
NEW50_3_12pages_withdate_styled,team,свежий,18-23,8,1200,321,26.8,12134,4,1,0.333
NEW50_3_12pages_withdate_styled,lol,свежий,18-23,6,900,225,25.0,6103,3,1,0.333
NEW50_3_12pages_withdate_styled,team,свежий,00-05,8,448,66,14.7,1925,1,0,0.223
NEW50_3_12pages_withdate_styled,lol,свежий,00-05,6,336,50,14.9,1451,0,0,0.0
NEW50_3_7pages_nodate_styled,team,свежий,18-23,8,1200,144,12.0,1640,1,0,0.083
NEW50_3_7pages_nodate_styled,lol,свежий,18-23,5,750,122,16.3,1014,0,0,0.0
NEW50_3_7pages_nodate_styled,team,свежий,00-05,8,448,19,4.2,773,0,0,0.0
NEW50_3_7pages_nodate_styled,lol,свежий,00-05,5,280,16,5.7,186,0,0,0.0
NEW50_3_7pages_withdate_styled,lol,свежий,18-23,9,1350,177,13.1,2646,0,0,0.0
NEW50_3_7pages_withdate_styled,lol,свежий,00-05,9,504,23,4.6,668,0,0,0.0
NEW50_3_7pages_withdate_styled,team,свежий,18-23,3,450,124,27.6,2462,1,0,0.222
NEW50_3_7pages_withdate_styled,team,свежий,00-05,3,168,12,7.1,361,0,0,0.0
NEW50_7pages_nodate_01.09,team,свежий,06-11,8,1200,320,26.7,16897,0,0,0.0
NEW50_7pages_nodate_01.09,team,свежий,18-23,6,900,222,24.7,5885,2,1,0.222
NEW50_7pages_nodate_01.09,team,свежий,00-05,14,784,81,10.3,4673,2,0,0.255
NEW50_7pages_withdate_01.09,team,свежий,00-05,9,954,197,20.6,11932,2,1,0.21
NEW50_7pages_withdate_01.09,team,свежий,06-11,5,750,140,18.7,4456,0,0,0.0
NEW50_7pages_withdate_01.09,lol,свежий,00-05,2,412,64,15.5,489,0,0,0.0
NEW50_7pages_withdate_01.09,team,свежий,18-23,1,150,29,19.3,3410,0,0,0.0
archive37строформленоv2часть1,lol,свежий,12-17,12,1800,167,9.3,3397,0,0,0.0
archive37строформленоv2часть1,lol,свежий,00-05,24,1643,78,4.7,2652,1,0,0.061
archive37строформленоv2часть1,lol,свежий,18-23,10,1500,52,3.5,572,0,0,0.0
archive37строформленоv2часть1,team,свежий,12-17,7,1050,147,14.0,3178,1,0,0.095
archive37строформленоv2часть1,team,свежий,00-05,13,1028,38,3.7,1225,1,1,0.097
archive37строформленоv2часть1,buzz,свежий,12-17,5,750,49,6.5,1027,0,0,0.0
archive37строформленоv2часть1,buzz,свежий,18-23,3,450,8,1.8,52,0,0,0.0
archive37строформленоv2часть1,team,свежий,18-23,3,450,43,9.6,708,0,0,0.0
archive37строформленоv2часть1,buzz,свежий,00-05,8,448,14,3.1,434,0,0,0.0
archive37строформленоv2часть1,team,свежий,06-11,1,150,8,5.3,74,0,0,0.0
archive37строформленоv2часть2,buzz,свежий,12-17,26,3900,235,6.0,3463,1,1,0.026
archive37строформленоv2часть2,lol,свежий,12-17,16,2400,189,7.9,2217,0,0,0.0
archive37строформленоv2часть2,buzz,свежий,00-05,26,1456,30,2.1,346,0,0,0.0
archive37строформленоv2часть2,lol,свежий,00-05,19,1064,40,3.8,364,0,0,0.0
archive37строформленоv2часть2,lol,свежий,18-23,3,450,19,4.2,471,1,0,0.222
archive37строформленоv2часть3,lol,свежий,18-23,15,2250,120,5.3,3031,1,0,0.044
archive37строформленоv2часть3,buzz,свежий,18-23,12,1800,82,4.6,619,1,0,0.056
archive37строформленоv2часть3,lol,свежий,00-05,25,1400,33,2.4,533,0,0,0.0
archive37строформленоv2часть3,lol,свежий,06-11,7,1050,135,12.9,2522,1,0,0.095
archive37строформленоv2часть3,buzz,свежий,00-05,12,672,9,1.3,76,0,0,0.0
archive37строформленоv2часть3,team,свежий,12-17,4,600,77,12.8,3254,0,0,0.0
archive37строформленоv2часть3,lol,свежий,12-17,3,450,46,10.2,379,0,0,0.0
archive37строформленоv2часть3,team,свежий,00-05,6,336,9,2.7,68,0,0,0.0
archive37строформленоv2часть3,casino,свежий,06-11,2,300,106,35.3,5737,2,1,0.667
archive37строформленоv2часть3,team,свежий,18-23,2,300,5,1.7,30,0,0,0.0
archive37строформленоv2часть3,casino,свежий,00-05,2,112,17,15.2,2412,2,1,1.786
archive412_unique12оформлено,lol,свежий,12-17,6,900,357,39.7,13267,12,2,1.333
archive412_unique12оформлено,buzz,свежий,12-17,6,900,185,20.6,3667,0,0,0.0
archive412_unique12оформлено,lol,свежий,00-05,6,336,74,22.0,4505,1,0,0.298
archive412_unique12оформлено,buzz,свежий,00-05,6,335,51,15.2,739,0,0,0.0
archive47_unique119оформленочасть1,team,свежий,18-23,20,3000,108,3.6,1487,0,0,0.0
archive47_unique119оформленочасть1,lol,свежий,18-23,12,1800,269,14.9,4096,1,1,0.056
archive47_unique119оформленочасть1,team,свежий,00-05,20,1120,17,1.5,198,0,0,0.0
archive47_unique119оформленочасть1,lol,свежий,00-05,16,896,71,7.9,1161,2,1,0.223
archive47_unique119оформленочасть1,lol,свежий,12-17,4,600,76,12.7,989,0,0,0.0
archive47_unique119оформленочасть1,casino,свежий,06-11,4,600,127,21.2,4274,1,0,0.167
archive47_unique119оформленочасть1,casino,свежий,00-05,4,224,24,10.7,745,0,0,0.0
archive47_unique119оформленочасть2,team,свежий,18-23,20,3000,164,5.5,4437,0,0,0.0
archive47_unique119оформленочасть2,team,свежий,00-05,20,1119,32,2.9,295,0,0,0.0
archive47_unique119оформленочасть2,lol,свежий,12-17,3,450,61,13.6,488,1,0,0.222
archive47_unique119оформленочасть2,lol,свежий,00-05,3,168,12,7.1,108,0,0,0.0
archive47_unique119оформленочасть2,casino,свежий,18-23,1,150,17,11.3,596,0,0,0.0
archive47_unique119оформленочасть2,casino,свежий,00-05,1,56,5,8.9,77,0,0,0.0
bortnichiydvor1,team,свежий,12-17,1,100,19,19.0,84,0,0,0.0
bortnichiydvor1,team,свежий,00-05,1,56,3,5.4,95,0,0,0.0
bortnichiydvor1,team,свежий,06-11,1,50,10,20.0,189,0,0,0.0
clean12_unique11оформлено,team,свежий,18-23,9,1350,339,25.1,6447,1,0,0.074
clean12_unique11оформлено,team,свежий,00-05,9,504,81,16.1,1513,0,0,0.0
clean12_unique11оформлено,lol,свежий,18-23,2,300,57,19.0,709,1,1,0.333
clean12_unique11оформлено,lol,свежий,00-05,2,112,13,11.6,154,0,0,0.0
clean7_part1_50оформлено,lol,свежий,06-11,14,2100,229,10.9,7095,1,0,0.048
clean7_part1_50оформлено,lol,свежий,00-05,23,2038,71,3.5,1647,0,0,0.0
clean7_part1_50оформлено,team,свежий,00-05,22,1982,141,7.1,2633,4,0,0.202
clean7_part1_50оформлено,team,свежий,06-11,12,1800,276,15.3,7992,2,1,0.111
clean7_part1_50оформлено,casino,свежий,12-17,4,600,114,19.0,3045,1,0,0.167
clean7_part1_50оформлено,team,свежий,12-17,3,450,93,20.7,4036,1,0,0.222
clean7_part1_50оформлено,lol,свежий,12-17,2,300,29,9.7,666,0,0,0.0
clean7_part1_50оформлено,lol,свежий,18-23,2,300,25,8.3,672,0,0,0.0
clean7_part1_50оформлено,team,свежий,18-23,2,300,27,9.0,272,0,0,0.0
clean7_part1_50оформлено,casino,свежий,00-05,5,280,17,6.1,1264,0,0,0.0
clean7_part1_50оформлено,casino,свежий,18-23,1,150,35,23.3,716,0,0,0.0
content-2026-09-12-12str-oform,lol,свежий,00-05,3,318,3,0.9,3,0,0,0.0
content-2026-09-12-12str-oform,lol,свежий,06-11,1,150,0,0.0,0,0,0,0.0
content-2026-09-12-12str-oform,lol,свежий,12-17,1,150,4,2.7,7,0,0,0.0
content-2026-09-12-7str-oform,team,свежий,12-17,53,7950,629,7.9,17836,2,1,0.025
content-2026-09-12-7str-oform,lol,свежий,12-17,29,4350,300,6.9,4883,1,0,0.023
content-2026-09-12-7str-oform,team,свежий,00-05,67,3751,95,2.5,2205,0,0,0.0
content-2026-09-12-7str-oform,lol,свежий,00-05,50,3550,80,2.3,2269,0,0,0.0
content-2026-09-12-7str-oform,team,свежий,18-23,14,2100,157,7.5,1914,1,0,0.048
content-2026-09-12-7str-oform,lol,свежий,18-23,12,1800,175,9.7,2369,3,0,0.167
content-2026-09-12-7str-oform,lol,свежий,06-11,4,600,22,3.7,250,0,0,0.0
content-2026-09-12-7str-oform,casino,свежий,18-23,2,300,11,3.7,199,0,0,0.0
content-2026-09-12-7str-oform,casino,свежий,12-17,2,300,36,12.0,299,0,0,0.0
content-2026-09-12-7str-oform,casino,свежий,00-05,4,224,8,3.6,176,0,0,0.0
content-2026-09-14-12str-oform,team,свежий,18-23,7,1050,121,11.5,1701,0,0,0.0
content-2026-09-14-12str-oform,lol,свежий,18-23,4,600,143,23.8,1531,0,0,0.0
content-2026-09-14-12str-oform,team,свежий,00-05,10,560,38,6.8,213,0,0,0.0
content-2026-09-14-12str-oform,team,свежий,12-17,3,450,70,15.6,444,2,0,0.444
content-2026-09-14-12str-oform,lol,свежий,00-05,6,336,57,17.0,526,0,0,0.0
content-2026-09-14-12str-oform,lol,свежий,12-17,2,300,53,17.7,927,0,0,0.0
content-2026-09-14-7str-oform-1,lol,свежий,00-05,4,824,60,7.3,195,0,0,0.0
content-2026-09-14-7str-oform-1,team,свежий,00-05,3,618,23,3.7,507,1,0,0.162
content-2026-09-14-7str-oform-1,team,повторный,00-05,1,206,28,13.6,404,0,0,0.0
content-2026-09-14-7str-oform-1,lol,повторный,00-05,1,206,35,17.0,197,0,0,0.0
content-2026-09-14-7str-oform-8,lol,свежий,18-23,10,1399,113,8.1,436,0,0,0.0
content-2026-09-14-7str-oform-8,team,свежий,18-23,8,1200,128,10.7,686,0,0,0.0
content-2026-09-14-7str-oform-8,lol,повторный,00-05,6,1029,115,11.2,1297,0,0,0.0
content-2026-09-14-7str-oform-8,lol,свежий,00-05,11,867,65,7.5,1125,0,0,0.0
content-2026-09-14-7str-oform-8,team,свежий,00-05,8,448,23,5.1,51,0,0,0.0
content-2026-09-14-7str-oform-8,lol,повторный,06-11,2,207,10,4.8,678,0,0,0.0
content-2026-09-14-7str-oform-9,team,повторный,00-05,19,3353,360,10.7,5786,0,0,0.0
content-2026-09-14-7str-oform-9,team,повторный,06-11,11,767,55,7.2,213,0,0,0.0
content-2026-09-14-7str-oform-9,team,свежий,00-05,5,750,131,17.5,2356,0,0,0.0
content-2026-09-14-7str-oform-9,lol,повторный,00-05,4,524,52,9.9,360,0,0,0.0
content-2026-09-14-7str-oform-9,lol,повторный,06-11,2,300,54,18.0,523,1,1,0.333
content-2026-09-14-7str-oform-9,team,свежий,06-11,5,274,35,12.8,262,0,0,0.0
content-2026-09-14-7str-oform-9,team,свежий,12-17,1,6,3,50.0,6,0,0,0.0
content-2026-09-14b-7str-oform-1,team,повторный,18-23,6,1086,126,11.6,1891,0,0,0.0
content-2026-09-14b-7str-oform-1,lol,повторный,18-23,5,880,56,6.4,624,0,0,0.0
