дата,время,событие,сайт,база,бренд,зона,набор контента,день запуска базы,"возраст базы, дней",вложенность,раздел,страна,clickid
2026-09-20,00:15,reg,stake.3785.lol,3785.lol,Stake,lol,content-2026-09-17b-7str-oform_38,2026-09-18,2,,,DE,bcc4048b7e21c6df
2026-09-20,00:15,reg,kraken.1462.team,1462.team,Kraken,team,нет в реестре,—,,,,FI,440fc02150350648
2026-09-20,01:15,reg,million.kicasino.team,kicasino.team,Million,team,content-2026-09-17-7str-oform-2_56,2026-09-19,1,,,EE,e0c10253716fcd8c
2026-09-20,01:15,reg,clubvulkan.casinoasg.lol,casinoasg.lol,Клуб Вулкан,lol,nabory-621-630_4,2026-09-19,1,,,FI,d2670c79cba2c647
2026-09-20,04:15,reg,mellstroy.iitm.team,iitm.team,Mellstroy,team,content-2026-09-17-7str-oform-2_52,2026-09-19,1,,,NL,d61ebb3b2ff5b701
2026-09-20,11:15,reg,dune.3664.team,3664.team,Dune,team,NEW17_img_withdate_26.08,2026-08-26,25,,,BG,c338b11c5e8d0613
2026-09-20,11:15,reg,mellstroy.hch.lol,hch.lol,Mellstroy,lol,content-2026-09-17-7str-oform-2_47,2026-09-19,1,,,FI,a7b5b4cc90658043
2026-09-20,12:15,reg,spinto.fvqcasino.lol,fvqcasino.lol,Spinto,lol,nabory-621-630_2,2026-09-19,1,,,LV,a026e5a7a5c2b998
2026-09-20,14:15,reg,1win.rvue.team,rvue.team,1win,team,NEW50_7pages_withdate_01.09,2026-09-02,18,,,NL,1e8c746eea174093
2026-09-20,15:15,reg,888.wujcasino.lol,wujcasino.lol,888,lol,content-2026-09-17b-7str-oform_21,2026-09-20,0,,,RU,b328ffaf4ae69513
2026-09-20,15:15,reg,gizbo.qucasino.team,qucasino.team,Gizbo,team,content-2026-09-17-7str-oform-2_28,2026-09-20,0,,,FR,8044d3b1b0aa1b32
2026-09-20,15:15,reg,friends.j9x4.lol,j9x4.lol,Friends,lol,nabory-651-660_5,2026-09-20,0,,,NL,768b4ed75d54d0cb
2026-09-20,16:15,reg,leon.3242.team,3242.team,Leon,team,NEW50_2_7pages_withdate,2026-09-02,18,,,NL,0a651a9efd3353e2
2026-09-20,16:23,fd,leon.3242.team,3242.team,Leon,team,NEW50_2_7pages_withdate,2026-09-02,18,,,NL,0a651a9efd3353e2
2026-09-20,17:15,reg,why.0665.team,0665.team,Why,team,NEW50_2_12pages_withdate_02.09,2026-09-02,18,,,PL,90213a538c4301fe
2026-09-20,19:15,reg,luckybird.v1t.team,v1t.team,Lucky Bird,team,content-2026-09-17-7str-oform-2_32,2026-09-20,0,,,NL,31fd1c826da41eda
2026-09-20,20:15,reg,drip.casino792.lol,casino792.lol,Drip,lol,content-2026-09-17-7str-oform-1_28,2026-09-20,0,,,RU,5b513e294cd7bc82
2026-09-20,22:15,reg,getx.6081.lol,6081.lol,GetX,lol,content-2026-09-17-7str-oform-1_22,2026-09-20,0,,,UA,5f835ec093fb794a
2026-09-21,03:15,reg,irwin.qucasino.team,qucasino.team,Irwin,team,content-2026-09-17-7str-oform-2_28,2026-09-20,1,,,PL,5c1a0f95e537d22a
2026-09-21,03:15,reg,aurora.aulcasino.team,aulcasino.team,Aurora Casino,team,content-2026-09-14c-7str-oform-1_13,2026-09-16,5,,,DE,e3bd71a009eb5215
2026-09-21,03:22,fd,irwin.qucasino.team,qucasino.team,Irwin,team,content-2026-09-17-7str-oform-2_28,2026-09-20,1,,,PL,5c1a0f95e537d22a
2026-09-21,04:15,reg,1xbet.2596.team,2596.team,1xbet,team,content-2026-09-17-7str-oform-2_34,2026-09-18,3,,,RO,9673381a8fb6e7b0
2026-09-21,04:15,reg,moneyx.ofhy.lol,ofhy.lol,Money X,lol,content-2026-09-17-7str-oform-1_44,2026-09-20,1,,,DE,2135fc0d9f2384c8
2026-09-21,05:15,reg,melbet.fvqcasino.lol,fvqcasino.lol,Мелбет,lol,nabory-621-630_2,2026-09-19,2,,,FI,33d7e542eb556552
2026-09-21,06:15,reg,why.vecasino.lol,vecasino.lol,Why,lol,content-2026-09-14b-7str-oform-2_21,2026-09-15,6,,,RU,b2fcf9655c3953c2
2026-09-21,06:21,fd,why.vecasino.lol,vecasino.lol,Why,lol,content-2026-09-14b-7str-oform-2_21,2026-09-15,6,,,RU,b2fcf9655c3953c2
2026-09-21,09:15,reg,bwin.ckcasino.lol,ckcasino.lol,Bwin,lol,content-2026-09-17-7str-oform-1_34,2026-09-20,1,,,NL,92ee07b1aa551e6c
2026-09-21,10:22,fd,bwin.ckcasino.lol,ckcasino.lol,Bwin,lol,content-2026-09-17-7str-oform-1_34,2026-09-20,1,,,NL,92ee07b1aa551e6c
2026-09-21,13:15,reg,enomo.agcr.team,agcr.team,Enomo,team,content-2026-09-14b-7str-oform-1_11,2026-09-21,0,,,UZ,93368ff0fb2ae34b
2026-09-21,13:15,reg,getx.5656.team,5656.team,GetX,team,content-2026-09-14b-7str-oform-1_19,2026-09-21,0,,,FI,6a453dff9731ca28
2026-09-21,17:15,reg,fairspin.casinok9.team,casinok9.team,Fairspin,team,content-2026-09-17-7str-oform-2_27,2026-09-18,3,,,NL,ea10f17b723a228c
2026-09-21,17:15,reg,luckybird.6147.team,6147.team,Lucky Bird,team,content-2026-09-17-7str-oform-1_6,2026-09-21,0,,,DE,16bde21017e35006
2026-09-21,17:23,fd,getx.5656.team,5656.team,GetX,team,content-2026-09-14b-7str-oform-1_19,2026-09-21,0,,,FI,6a453dff9731ca28
2026-09-21,18:24,fd,slotgames.1083.lol,1083.lol,Slotgames,lol,NEW50_2_12pages_nodate_02.09,2026-09-02,19,,,RU,49ed15a02fb0bf0a
2026-09-21,20:15,reg,aurora.1014.lol,1014.lol,Aurora Casino,lol,content-2026-09-14b-7str-oform-2_28,2026-09-15,6,,,HK,1f939992bf61e81b
2026-09-21,21:15,reg,mellstroy.5656.team,5656.team,Mellstroy,team,content-2026-09-14b-7str-oform-1_19,2026-09-21,0,,,SE,166148b2bbb164f6
2026-09-21,21:15,reg,pokerok.1244.lol,1244.lol,Pokerok,lol,content-2026-09-17-7str-oform-1_27,2026-09-20,1,,,DE,272c35ffb5a91ec8
2026-09-21,22:15,reg,fenix.z6p5.lol,z6p5.lol,Fenix,lol,content-2026-09-14b-7str-oform-1_18,2026-09-21,0,,,PL,a74222245599a74a
2026-09-21,22:15,reg,mellstroy.2749.team,2749.team,Mellstroy,team,content-2026-09-17-7str-oform-1_1,2026-09-21,0,,,NL,d9d643ae0c9fb055
2026-09-21,22:15,reg,r7.casinooat.lol,casinooat.lol,R7,lol,nabory-631-640_1,2026-09-19,2,,,SE,726b6223a5ba76b0
2026-09-21,22:15,reg,honeymoney.s3zr.team,s3zr.team,Honey Money,team,нет в реестре,—,,,,RU,50a44cd2f721cbf2
2026-09-21,23:15,reg,marathon.xlqd.team,xlqd.team,Marathon,team,content-2026-09-14c-7str-oform-2_14,2026-09-15,6,,,RU,4d53ba18adae6101
2026-09-21,23:15,reg,marathon.ltfa.team,ltfa.team,Marathon,team,content-2026-09-14b-7str-oform-1_22,2026-09-21,0,,,FR,8b4252c429130e58
2026-09-22,00:15,reg,arkada.h1g.team,h1g.team,Arkada,team,content-2026-09-17-7str-oform-2_55,2026-09-19,3,,,RU,c4e88dadc0b2acaa
2026-09-22,01:15,reg,1win.ltfa.team,ltfa.team,1win,team,content-2026-09-14b-7str-oform-1_22,2026-09-21,1,,,DE,ddd4e1e60642143d
2026-09-22,03:15,reg,martin.0749.team,0749.team,Martin,team,content-2026-09-14c-7str-oform-2_3,2026-09-15,7,18,ru,DK,1362e7cbc9915caf
2026-09-22,04:15,reg,fontan.45casino.lol,45casino.lol,Fontan,lol,content-2026-09-17-7str-oform-1_11,2026-09-21,1,20,ru,FR,d99bea90f670ae46
