домен,зона,день запуска,последний день,дней,окно закрыто,набор контента,семейство,наборов на домене,страниц,оформление,шаблон,паттерн имени,длина метки,аккаунт вебмастера,который раз аккаунт,аккаунт: баз всего,аккаунт свежий,cf-аккаунт,час запуска,блок часа,день недели,"ночью, сайтов","в выходной, сайтов",сайтов,сайтов в окне,брендов,сайтов в 1-й волне,сайтов во 2-й волне,ошибок верификации,кликов всего,ботов,ботов %,из поиска,из поиска %,прочих,прочих %,сайтов с поиском,доля сайтов с поиском %,вышли за 1 сутки,вышли за 3 суток,вышли за 7 суток,выход 3 суток %,"задержка до поиска, медиана",кликов на сайт с поиском,регистраций,ФД,рег на 10 тыс. поисковых,кликов на регистрацию,брендов с конверсией,какие бренды конвертили
2334.team,team,2026-09-11,2026-09-12,2,да,NEW102оформленосдатой,NEW,1,,оформлено,Theme1,numeric,4,923,1,1,да,147,0,00-05,5,206,0,206,206,206,150,56,0,4425,485,11.0,3405,76.9,535,12.1,68,33.0,44,50,59,24.3,0.0,50.1,7,2,20.6,486,4,"Martin (5), Twin (2), Jetton (1), Spin City (1)"
1947.team,team,2026-08-21,2026-08-22,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,numeric,4,158,1,2,да,178,19,18-23,5,0,0,206,206,206,150,56,0,49986,1755,3.5,46307,92.6,1924,3.8,121,58.7,97,112,116,54.4,1.0,382.7,6,0,1.3,7717,5,"Mellstroy (2), Vodka (1), R7 (1), 1Go (1), Вулкан Старс (1)"
dwev.team,team,2026-08-22,2026-08-23,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,alpha_other,4,178,1,2,да,171,14,12-17,6,0,206,206,206,206,150,56,0,18167,1879,10.3,14613,80.4,1675,9.2,94,45.6,78,84,84,40.8,0.0,155.5,6,0,4.1,2435,5,"Pinco (2), New Retro (1), Zooma (1), Trix (1), Vulkan Pobeda (1)"
1908.team,team,2026-08-20,2026-08-21,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,numeric,4,86,1,2,да,66,12,12-17,4,0,0,199,199,199,150,49,0,41440,2257,5.4,36962,89.2,2221,5.4,135,67.8,112,119,119,59.8,0,273.8,5,0,1.4,7392,5,"Lucky Bird (1), Twin (1), Spin City (1), Sol (1), Sweet (1)"
3096.team,team,2026-08-22,2026-08-23,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,numeric,4,189,1,2,да,182,20,18-23,6,0,206,206,206,206,150,56,0,36906,2381,6.5,32771,88.8,1754,4.8,121,58.7,97,120,120,58.3,1.0,270.8,5,1,1.5,6554,4,"Twin (3), Cactus (1), Nomad (1), Luckybear (1)"
msvcasino.lol,lol,2026-09-09,2026-09-10,2,да,archive412_unique12оформлено,archive,1,,оформлено,Theme1,casino_infix,9,794,1,1,да,440,13,12-17,3,0,0,206,206,206,150,56,0,16464,1618,9.8,14424,87.6,422,2.6,122,59.2,85,91,103,44.2,1.0,118.2,5,0,3.5,2884,4,"Mellstroy (2), Lucky Bird (1), Martin (1), Eva (1)"
1109casino.casino,casino,2026-09-11,2026-09-12,2,да,NEW102оформленосдатой,NEW,1,,оформлено,Theme1,casino_infix,10,919,1,1,да,117,0,00-05,5,206,0,206,206,206,150,56,0,12746,677,5.3,11732,92.0,337,2.6,85,41.3,57,63,74,30.6,0,138.0,5,3,4.3,2346,5,"Stake (2), Trix (2), Fenix (2), Vodka (1), Mellstroy (1)"
5580.team,team,2026-09-02,2026-09-03,2,да,NEW50_7pages_nodate_01.09,NEW,1,7,без оформления,Theme1,numeric,4,404,1,2,да,428,20,18-23,3,0,0,206,206,206,150,56,0,8899,822,9.2,7660,86.1,417,4.7,50,24.3,34,42,45,20.4,1.0,153.2,5,1,6.5,1532,4,"Goodwin (3), Dbbet (1), Onlybets (1), Like (1)"
qlmf.lol,lol,2026-09-09,2026-09-10,2,да,archive412_unique12оформлено,archive,1,,оформлено,Theme1,alpha_other,4,795,1,1,да,422,13,12-17,3,0,0,206,206,206,150,56,0,9480,1399,14.8,7585,80.0,496,5.2,95,46.1,66,70,79,34.0,1,79.8,5,1,6.6,1517,4,"Brillx (2), Leebet (2), Bounty (1), Lucky Bird (1)"
tgmb.team,team,2026-09-03,2026-09-04,2,да,NEW50_12pages_withdate_01.09,NEW,1,12,без оформления,Theme1,alpha_other,4,466,1,2,да,477,9,06-11,4,0,0,206,206,206,150,56,0,4532,1094,24.1,2518,55.6,920,20.3,93,45.1,67,76,79,36.9,0,27.1,5,0,19.9,503,4,"Shuffle (2), Vivaro (1), Beef (1), Jvspin (1)"
1682.team,team,2026-08-22,2026-08-23,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,numeric,4,180,1,2,да,177,16,12-17,6,0,206,206,206,206,150,56,0,16888,1782,10.6,13856,82.0,1250,7.4,66,32.0,44,63,64,30.6,1.0,209.9,4,0,2.9,3464,4,"MostBet Bookmaker (1), Pinco (1), 1xbet (1), Fonbet (1)"
ploo.team,team,2026-09-15,2026-09-16,2,да,content-2026-09-14c-12str-oform_2,content-дата,1,12,оформлено,Theme1,alpha_other,4,3,4,4,нет,794,12,12-17,2,0,0,206,206,206,150,56,0,7684,1243,16.2,5828,75.8,613,8.0,95,46.1,69,86,86,41.7,1.0,61.3,4,2,6.9,1457,4,"GetX (2), Marathon (2), Lucky Bird (1), Eva (1)"
gwrl.casino,casino,2026-09-01,2026-09-02,2,да,NEW50_12pages_withdate_01.09,NEW,1,12,без оформления,Theme1,alpha_other,4,360,1,2,да,384,18,18-23,2,0,0,206,206,206,150,56,0,6599,2640,40.0,2956,44.8,1003,15.2,84,40.8,72,82,82,39.8,1.0,35.2,4,2,13.5,739,4,"1Go (2), Spinto (2), Kent (1), Million (1)"
4994.lol,lol,2026-09-07,2026-09-08,2,да,NEW20_4_12pages_withdate,NEW,1,12,без оформления,Theme1,numeric,4,593,1,1,да,246,15,12-17,1,0,0,206,206,206,150,56,0,4188,1087,26.0,2203,52.6,898,21.4,81,39.3,64,70,71,34.0,1.0,27.2,4,0,18.2,550,4,"Vodka (1), Dragon Money (1), GetX (1), Spinwin (1)"
imic.team,team,2026-09-15,2026-09-16,2,да,content-2026-09-14c-7str-oform-2_17,content-дата,1,7,оформлено,Theme1,alpha_other,4,140,2,2,нет,769,15,12-17,2,0,0,206,206,206,150,56,0,2781,703,25.3,1963,70.6,115,4.1,83,40.3,60,76,76,36.9,1.0,23.7,4,0,20.4,490,3,"Lucky Bird (2), Leon (1), Bigsbet (1)"
4863.team,team,2026-08-18,2026-08-19,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,numeric,4,17,1,3,да,28,20,18-23,2,0,0,184,184,184,150,34,0,46172,1570,3.4,31486,68.2,13116,28.4,98,53.3,88,96,97,52.2,1,321.3,3,0,1.0,10495,2,"Pinco (2), Pin Up (1)"
2369.team,team,2026-09-03,2026-09-04,2,да,NEW50_7pages_nodate_01.09,NEW,1,7,без оформления,Theme1,numeric,4,453,1,2,да,47,6,06-11,4,0,0,206,206,206,150,56,0,25672,824,3.2,23978,93.4,870,3.4,65,31.6,54,55,59,26.7,0,368.9,3,0,1.3,7992,3,"Shuffle (1), Volta (1), Fenix (1)"
rvue.team,team,2026-09-02,2026-09-03,2,да,NEW50_7pages_withdate_01.09,NEW,1,7,без оформления,Theme1,alpha_other,4,379,1,2,да,401,0,00-05,3,206,0,206,206,206,150,56,0,24052,2543,10.6,20072,83.5,1437,6.0,90,43.7,71,77,77,37.4,0.0,223.0,3,1,1.5,6690,3,"Олимп (2), 1win (1), Fenix (1)"
gnxb.team,team,2026-08-21,2026-08-22,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,alpha_other,4,146,1,2,да,173,18,18-23,5,0,0,206,206,206,150,56,0,14771,1317,8.9,12016,81.3,1438,9.7,77,37.4,72,73,73,35.4,1,156.1,3,0,2.5,4005,3,"Lucky Bird (1), Luckybear (1), Shuffle (1)"
2097.lol,lol,2026-09-03,2026-09-04,2,да,NEW50_3_12pages_nodate_styled,NEW,1,12,без оформления,Theme1,numeric,4,471,1,2,да,37,18,18-23,4,0,0,206,206,206,150,56,0,13953,1737,12.4,11144,79.9,1072,7.7,82,39.8,70,78,79,37.9,1,135.9,3,0,2.7,3714,3,"Brillx (1), Twin (1), Эверум (1)"
2951.team,team,2026-08-31,2026-09-01,2,да,Generator_11page_test_1…_9 (dorgen com,Generator,1,11,,Theme1,numeric,4,341,1,2,да,367,17,12-17,1,0,0,206,206,206,150,56,0,10241,1686,16.5,7694,75.1,861,8.4,105,51.0,94,99,99,48.1,1,73.3,3,0,3.9,2564,2,"Martin (2), Pinco (1)"
3237.lol,lol,2026-09-08,2026-09-09,2,да,Content_script_12page_08.09,script,1,12,,Theme1,numeric,4,665,1,1,да,332,10,06-11,2,0,0,206,206,206,150,56,0,7981,655,8.2,7126,89.3,200,2.5,42,20.4,30,32,32,15.5,0,169.7,3,0,4.2,2375,3,"Kush (1), Cactus (1), Like (1)"
4173.lol,lol,2026-08-22,2026-08-23,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,numeric,4,184,1,2,да,200,20,18-23,6,0,206,206,206,206,150,56,0,8754,2706,30.9,4661,53.2,1387,15.8,80,38.8,61,78,80,37.9,1.0,58.3,3,0,6.4,1553,3,"Casino X (1), Олимп (1), Fonbet (1)"
2369.lol,lol,2026-09-03,2026-09-04,2,да,NEW50_3_12pages_withdate_styled,NEW,1,12,без оформления,Theme1,numeric,4,473,1,2,да,54,18,18-23,4,0,0,206,206,206,150,56,0,6396,1296,20.3,4203,65.7,897,14.0,75,36.4,63,72,73,35.0,1,56.0,3,1,7.1,1401,3,"Bounty (2), Lucky Bird (1), Клуб Вулкан (1)"
reyn.team,team,2026-08-26,2026-08-27,2,да,NEW33_12pages_nodate+img_25.08,NEW,1,12,без оформления,Theme1,alpha_other,4,309,1,2,да,345,18,18-23,3,0,0,206,206,206,150,56,0,5952,967,16.2,3946,66.3,1039,17.5,67,32.5,40,55,61,26.7,1,58.9,3,0,7.6,1315,2,"Metelitsa (2), Parimatch (1)"
cfpm.team,team,2026-08-20,2026-08-21,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,alpha_other,4,96,1,2,да,48,12,12-17,4,0,0,199,199,199,150,49,0,6755,1554,23.0,3756,55.6,1445,21.4,83,41.7,60,67,67,33.7,0.0,45.3,3,0,8.0,1252,3,"Dragon Money (1), Luckybear (1), Like (1)"
7395.lol,lol,2026-09-02,2026-09-03,2,да,NEW50_2_12pages_nodate_02.09,NEW,1,12,без оформления,Theme1,numeric,4,391,1,2,да,425,18,18-23,3,0,0,206,206,206,150,56,0,5069,823,16.2,3620,71.4,626,12.3,72,35.0,56,63,70,30.6,1.0,50.3,3,0,8.3,1206,3,"Legzo (1), Maxline (1), Like (1)"
4232.team,team,2026-09-15,2026-09-16,2,да,content-2026-09-14c-7str-oform-1_36,content-дата,1,7,оформлено,Theme1,numeric,4,148,2,2,нет,854,19,18-23,2,0,0,206,206,206,150,56,0,4194,943,22.5,2907,69.3,344,8.2,57,27.7,33,51,55,24.8,1,51.0,3,0,10.3,969,1,Mellstroy (3)
bsfg.team,team,2026-08-26,2026-08-27,2,да,NEW33_12pages_nodate+img_25.08,NEW,1,12,без оформления,Theme1,alpha_other,4,306,1,2,да,326,18,18-23,3,0,0,206,206,206,150,56,0,4961,1357,27.4,2662,53.7,942,19.0,75,36.4,68,73,73,35.4,1,35.5,3,1,11.3,887,3,"Dragon Money (2), Lucky Bird (1), Luckybear (1)"
0665.team,team,2026-09-02,2026-09-03,2,да,NEW50_2_12pages_withdate_02.09,NEW,1,12,без оформления,Theme1,numeric,4,419,1,2,да,442,22,18-23,3,0,0,205,205,205,150,55,0,5430,1941,35.7,2487,45.8,1002,18.5,73,35.6,48,66,70,32.2,1,34.1,3,0,12.1,829,3,"Bounty (1), Lucky Bird (1), Why (1)"
7065.team,team,2026-08-26,2026-08-27,2,да,NEW33_12pages_withdate+img_25.08,NEW,1,12,без оформления,Theme1,numeric,4,278,1,2,да,270,14,12-17,3,0,0,206,206,206,150,56,0,4627,1307,28.2,2473,53.4,847,18.3,32,15.5,20,27,29,13.1,1,77.3,3,1,12.1,824,2,"R7 (2), Leon (2)"
ogax.team,team,2026-08-27,2026-08-28,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,alpha_other,4,337,1,2,да,323,19,18-23,4,0,0,206,206,206,150,56,0,3535,923,26.1,2390,67.6,222,6.3,36,17.5,28,35,36,17.0,1.0,66.4,3,1,12.6,796,3,"Fugu (2), Cactus (1), Iris (1)"
xpba.lol,lol,2026-09-09,2026-09-10,2,да,archive412_unique12оформлено,archive,1,,оформлено,Theme1,alpha_other,4,797,1,1,да,436,13,12-17,3,0,0,206,206,206,150,56,0,4426,1674,37.8,2213,50.0,539,12.2,81,39.3,59,67,69,32.5,1,27.3,3,1,13.6,737,2,"Leon (3), Pinco (1)"
7055.team,team,2026-09-11,2026-09-12,2,да,NEW102оформленобездаты,NEW,1,,оформлено,Theme1,numeric,4,970,1,1,да,142,16,12-17,5,0,0,206,206,206,150,56,0,3177,626,19.7,2131,67.1,420,13.2,58,28.2,36,40,54,19.4,1,36.7,3,0,14.1,710,3,"Bounty (1), Вулкан Вегас (1), Leovegas (1)"
2129.lol,lol,2026-09-11,2026-09-12,2,да,NEW102оформленосдатой,NEW,1,,оформлено,Theme1,numeric,4,922,1,1,да,171,0,00-05,5,206,0,206,206,206,150,56,0,2941,630,21.4,1875,63.8,436,14.8,59,28.6,35,39,50,18.9,0,31.8,3,1,16.0,625,3,"Slotozal (2), Boost (1), Frank (1)"
1083.lol,lol,2026-09-02,2026-09-03,2,да,NEW50_2_12pages_nodate_02.09,NEW,1,12,без оформления,Theme1,numeric,4,386,1,2,да,426,18,18-23,3,0,0,206,206,206,150,56,0,4090,1510,36.9,1781,43.5,799,19.5,71,34.5,63,70,70,34.0,1.0,25.1,3,1,16.8,593,2,"Slotgames (3), Eva (1)"
2600.team,team,2026-09-15,2026-09-16,2,да,content-2026-09-14c-7str-oform-2_24,content-дата,1,7,оформлено,Theme1,numeric,4,120,2,2,нет,801,14,12-17,2,0,0,206,206,206,150,56,0,2392,763,31.9,1448,60.5,181,7.6,78,37.9,57,69,71,33.5,0,18.6,3,0,20.7,482,3,"Олимп (1), Лутран (1), Shuffle (1)"
1530.team,team,2026-09-15,2026-09-16,2,да,content-2026-09-14-7str-oform-9_39,content-дата,1,7,оформлено,Theme1,numeric,4,1180,1,1,да,712,1,00-05,2,206,0,206,206,206,150,56,0,2818,1254,44.5,1442,51.2,122,4.3,51,24.8,37,41,43,19.9,0,28.3,3,0,20.8,480,3,"Вулкан 24 (1), Winline (1), Realslots (1)"
9124.lol,lol,2026-09-04,2026-09-05,2,да,КОНТЕНТ НЕ ЗАПИСАН,не записан,1,,,Theme1,numeric,4,534,1,2,да,94,14,12-17,5,0,0,206,206,206,150,56,0,2128,804,37.8,869,40.8,455,21.4,32,15.5,25,30,30,14.6,1,27.2,3,0,34.5,289,3,"Onion (1), Lucky Bird (1), Spinto (1)"
2596.team,team,2026-09-18,2026-09-18,1,да,content-2026-09-17-7str-oform-2_34,content-дата,1,7,оформлено,Theme1,numeric,4,466,2,2,нет,705,2,00-05,5,150,0,150,150,150,150,0,0,1142,458,40.1,621,54.4,63,5.5,52,34.7,49,52,52,34.7,0.0,11.9,3,0,48.3,207,3,"1xSlots (1), 1xbet (1), Maxline (1)"
3242.team,team,2026-09-02,2026-09-03,2,да,NEW50_2_7pages_withdate,NEW,1,7,без оформления,Theme1,numeric,4,401,1,2,да,431,20,18-23,3,0,0,206,206,206,150,56,0,1897,910,48.0,611,32.2,376,19.8,42,20.4,34,38,38,18.4,1.0,14.5,3,1,49.1,203,1,Leon (4)
5779.team,team,2026-09-17,2026-09-18,2,да,content-2026-09-15-7str-oform-1_43,content-дата,1,7,оформлено,Theme1,numeric,4,301,2,2,нет,579,1,00-05,4,206,0,206,206,206,150,56,0,1975,1227,62.1,545,27.6,203,10.3,46,22.3,35,39,39,18.9,0,11.8,3,1,55.0,181,3,"Frank (2), Mellstroy (1), Luckybear (1)"
