пак (заполнить),домен базы,день переобхода,зона,сайтов,брендов,вышли в поиск за 3 суток,выход3 %,поисковых кликов,регистраций,ФД
,4827s.team,2026-08-11,team,166,166,2,1.2,72,0,0
,cokd4.team,2026-08-17,team,174,174,28,16.1,979,1,1
,hg98da.buzz,2026-08-17,buzz,174,174,0,0.0,0,0,0
,1052.team,2026-08-18,team,184,184,83,45.1,5638,0,0
,1794.team,2026-08-18,team,184,184,51,27.7,835,1,0
,2385.team,2026-08-18,team,184,184,91,49.5,10065,2,0
,2916.team,2026-08-18,team,184,184,66,35.9,1858,0,0
,4519.team,2026-08-18,team,184,184,59,32.1,2066,0,0
,4863.team,2026-08-18,team,184,184,96,52.2,29373,3,0
,4899da.online,2026-08-18,online,184,184,52,28.3,447,0,0
,5074.team,2026-08-18,team,184,184,59,32.1,579,0,0
,6135.team,2026-08-18,team,184,184,43,23.4,1502,0,0
,6948.team,2026-08-18,team,184,184,49,26.6,1881,0,0
,837f.team,2026-08-18,team,184,184,6,3.3,64,0,0
,b5wt.team,2026-08-18,team,184,184,27,14.7,211,0,0
,bdqv.team,2026-08-18,team,184,184,85,46.2,2432,0,0
,c3qm.team,2026-08-18,team,184,184,73,39.7,2731,0,0
,cgnr.team,2026-08-18,team,184,184,99,53.8,4390,0,0
,d8nk.team,2026-08-18,team,184,184,38,20.7,681,0,0
,dhpw.team,2026-08-18,team,184,184,65,35.3,1510,0,0
,f7zr.team,2026-08-18,team,184,184,37,20.1,447,0,0
,fkmz.team,2026-08-18,team,184,184,120,65.2,17859,1,1
,g4pb.team,2026-08-18,team,184,184,39,21.2,978,0,0
,gbf5.team,2026-08-18,team,184,184,6,3.3,53,0,0
,gltb.team,2026-08-18,team,184,184,125,67.9,11223,1,0
,h2vd.team,2026-08-18,team,184,184,45,24.5,1250,0,0
,hnvc.team,2026-08-18,team,184,184,55,29.9,2982,0,0
,j9cw.team,2026-08-18,team,184,184,41,22.3,9899,1,0
,jpsd.team,2026-08-18,team,184,184,33,17.9,510,0,0
,k6ms.team,2026-08-18,team,184,184,47,25.5,914,0,0
,kmwq.team,2026-08-18,team,184,184,66,35.9,7351,0,0
,l4nq.team,2026-08-18,team,184,184,40,21.7,233,0,0
,lrzn.team,2026-08-18,team,184,184,89,48.4,4876,0,0
,m8dt.team,2026-08-18,team,184,184,21,11.4,1377,0,0
,mtbf.team,2026-08-18,team,184,184,90,48.9,9518,2,1
,n2rf.team,2026-08-18,team,184,184,88,47.8,3899,0,0
,nnn7.team,2026-08-18,team,184,184,4,2.2,119,0,0
,nvgp.team,2026-08-18,team,184,184,63,34.2,2447,0,0
,p6kv.team,2026-08-18,team,184,184,63,34.2,3683,0,0
,1085.team,2026-08-19,team,186,186,96,51.6,7328,0,0
,1908by.buzz,2026-08-19,buzz,185,185,22,11.9,216,0,0
,1908jd.buzz,2026-08-19,buzz,184,184,16,8.7,64,0,0
,1908po.buzz,2026-08-19,buzz,184,184,41,22.3,437,0,0
,1908xc.buzz,2026-08-19,buzz,184,184,15,8.2,149,0,0
,2008qw.buzz,2026-08-19,buzz,198,198,10,5.1,47,0,0
,2153.team,2026-08-19,team,185,185,60,32.4,3119,0,0
,2470.team,2026-08-19,team,198,198,46,23.2,671,0,0
,2691.team,2026-08-19,team,185,185,45,24.3,2239,0,0
,3019.team,2026-08-19,team,198,198,56,28.3,2391,0,0
,3247.team,2026-08-19,team,184,184,48,26.1,1946,0,0
,3584.team,2026-08-19,team,198,198,15,7.6,405,0,0
,3608.team,2026-08-19,team,184,184,41,22.3,2327,0,0
,4392.team,2026-08-19,team,186,186,101,54.3,3885,1,0
,5148.team,2026-08-19,team,198,198,25,12.6,388,0,0
,5726.team,2026-08-19,team,184,184,51,27.7,3291,1,1
,5867.team,2026-08-19,team,198,198,21,10.6,370,0,0
,6204.team,2026-08-19,team,184,184,19,10.3,162,0,0
,7592.team,2026-08-19,team,184,184,72,39.1,14559,0,0
,b2kn.team,2026-08-19,team,184,184,9,4.9,268,0,0
,b8t.team,2026-08-19,team,184,184,27,14.7,1608,0,0
,bdwn.team,2026-08-19,team,186,186,112,60.2,18946,2,0
,c5tw.team,2026-08-19,team,198,198,30,15.2,465,1,0
,d9mq.team,2026-08-19,team,198,198,25,12.6,135,0,0
,dlnb.team,2026-08-19,team,198,198,45,22.7,917,0,0
,dwb7.top,2026-08-19,top,184,184,8,4.3,45,0,0
,g7ld.team,2026-08-19,team,198,198,26,13.1,104,0,0
,gjpz.team,2026-08-19,team,185,185,62,33.5,1180,0,0
,gkrd.team,2026-08-19,team,186,186,101,54.3,4852,1,0
,h3ns.team,2026-08-19,team,198,198,29,14.6,1054,0,0
,h7zb.quest,2026-08-19,quest,184,184,8,4.3,38,0,0
,hlwm.team,2026-08-19,team,185,185,58,31.4,775,0,0
,im8tq.icu,2026-08-19,icu,184,184,6,3.3,55,0,0
,ip4nd.cyou,2026-08-19,cyou,198,198,16,8.1,379,0,0
,j8vp.team,2026-08-19,team,198,198,19,9.6,43,0,0
,jkzq.team,2026-08-19,team,198,198,48,24.2,1125,0,0
,k2n.team,2026-08-19,team,185,185,75,40.5,3833,2,0
,k5cr.team,2026-08-19,team,198,198,36,18.2,1091,0,0
,l9tb.team,2026-08-19,team,185,185,25,13.5,1180,0,0
,m2wf.team,2026-08-19,team,184,184,16,8.7,1795,0,0
,mpdg.team,2026-08-19,team,186,186,84,45.2,3215,1,0
,n4kd.team,2026-08-19,team,184,184,18,9.8,119,0,0
,pqcl.team,2026-08-19,team,184,184,72,39.1,1933,0,0
,r7mc.team,2026-08-19,team,184,184,33,17.9,486,0,0
,rwdk.team,2026-08-19,team,184,184,86,46.7,8498,0,0
,tvmk7.bond,2026-08-19,bond,184,184,11,6.0,38,0,0
,1236.team,2026-08-20,team,199,199,43,21.6,1923,1,0
,1467.team,2026-08-20,team,199,199,56,28.1,14329,0,0
,1908.team,2026-08-20,team,199,199,119,59.8,36917,5,0
,2008jd.buzz,2026-08-20,buzz,199,199,40,20.1,874,0,0
,2008vu.buzz,2026-08-20,buzz,199,199,22,11.1,393,0,0
,2328.team,2026-08-20,team,202,202,19,9.4,189,0,0
,2650.team,2026-08-20,team,205,205,27,13.2,1694,2,0
,2872.team,2026-08-20,team,205,205,12,5.9,64,0,0
,3164.team,2026-08-20,team,205,205,11,5.4,76,0,0
,3405.team,2026-08-20,team,204,204,17,8.3,72,0,0
,3726.team,2026-08-20,team,199,199,60,30.2,2401,0,0
,3728.team,2026-08-20,team,204,204,49,24.0,7852,0,0
,3961.team,2026-08-20,team,204,204,3,1.5,43,0,0
,4085.team,2026-08-20,team,199,199,40,20.1,992,1,0
,4213.team,2026-08-20,team,203,203,9,4.4,60,0,0
,4586.team,2026-08-20,team,204,204,8,3.9,94,0,0
,4671.team,2026-08-20,team,199,199,42,21.1,751,0,0
,4839.team,2026-08-20,team,202,202,21,10.4,217,0,0
,5027.team,2026-08-20,team,204,204,34,16.7,1269,0,0
,5273r.cfd,2026-08-20,cfd,199,199,6,3.0,31,0,0
,5364.team,2026-08-20,team,204,204,15,7.4,71,0,0
,5390.team,2026-08-20,team,199,199,47,23.6,6857,0,0
,5719.team,2026-08-20,team,202,202,35,17.3,2173,0,0
,5942.team,2026-08-20,team,202,202,31,15.3,1091,0,0
,6158.team,2026-08-20,team,204,204,5,2.5,28,0,0
,6473.team,2026-08-20,team,204,204,8,3.9,836,0,0
,6820.team,2026-08-20,team,202,202,9,4.5,87,0,0
,9536.lol,2026-08-20,lol,199,199,59,29.6,3297,0,0
,b3nq.team,2026-08-20,team,204,204,13,6.4,54,0,0
,b6t.team,2026-08-20,team,202,202,14,6.9,117,0,0
,bcqr.team,2026-08-20,team,199,199,68,34.2,1813,1,0
,c6vr.team,2026-08-20,team,202,202,6,3.0,40,0,0
,c9m.team,2026-08-20,team,203,203,26,12.8,630,0,0
,cfpm.team,2026-08-20,team,199,199,67,33.7,3691,3,0
,cgvz.team,2026-08-20,team,199,199,46,23.1,1363,0,0
,cqrw.rest,2026-08-20,rest,199,199,29,14.6,611,0,0
,d4v.team,2026-08-20,team,203,203,15,7.4,76,0,0
,d9tk.team,2026-08-20,team,204,204,4,2.0,57,0,0
,dhkt.team,2026-08-20,team,199,199,60,30.2,2507,1,0
,f2mw.team,2026-08-20,team,204,204,14,6.9,33,1,0
,f6bz.team,2026-08-20,team,199,199,23,11.6,268,0,0
,fgqw.team,2026-08-20,team,199,199,21,10.6,67,0,0
,fhmv.team,2026-08-20,team,199,199,47,23.6,1257,1,0
,fjnv.team,2026-08-20,team,206,206,17,8.3,152,0,0
,g5pb.team,2026-08-20,team,204,204,10,4.9,139,0,0
,gkpw.team,2026-08-20,team,206,206,18,8.7,113,0,0
,h8cz.team,2026-08-20,team,204,204,6,2.9,76,0,0
,hlqz.team,2026-08-20,team,206,206,40,19.4,463,0,0
,hpvn.team,2026-08-20,team,199,199,25,12.6,1623,0,0
,i182.xyz,2026-08-20,xyz,199,199,0,0.0,3,0,0
,j4rd.team,2026-08-20,team,203,203,12,5.9,23,0,0
,jmbt.team,2026-08-20,team,199,199,60,30.2,988,1,0
,jmrc.team,2026-08-20,team,205,205,19,9.3,591,0,0
,k7ln.team,2026-08-20,team,204,204,18,8.8,579,0,0
,klvr.team,2026-08-20,team,199,199,52,26.1,635,0,0
,knsd.team,2026-08-20,team,205,205,17,8.3,473,0,0
,knvr7.sbs,2026-08-20,sbs,199,199,41,20.6,761,0,0
,lnwc.team,2026-08-20,team,199,199,26,13.1,1193,0,0
,lptf.team,2026-08-20,team,204,204,33,16.2,759,0,0
,m3wv.team,2026-08-20,team,204,204,3,1.5,236,0,0
,mqvb.team,2026-08-20,team,205,205,17,8.3,277,0,0
,n6qf.team,2026-08-20,team,203,203,5,2.5,16,0,0
,nrwg.team,2026-08-20,team,205,205,33,16.1,556,0,0
,p3zv.team,2026-08-20,team,199,199,42,21.1,738,0,0
,p9td.team,2026-08-20,team,203,203,3,1.5,254,0,0
,pszk.team,2026-08-20,team,204,204,44,21.6,1137,0,0
,qtbm.team,2026-08-20,team,202,202,47,23.3,1743,0,0
,r2km.team,2026-08-20,team,203,203,16,7.9,106,0,0
,rvcn.team,2026-08-20,team,203,203,26,12.8,167,0,0
,s5bg.team,2026-08-20,team,203,203,33,16.3,978,0,0
,swdp.team,2026-08-20,team,204,204,28,13.7,890,0,0
,tzfl.team,2026-08-20,team,189,189,22,11.6,706,1,0
,v5d.team,2026-08-20,team,199,199,61,30.7,1806,1,0
,vbgq.team,2026-08-20,team,202,202,29,14.4,924,0,0
,w4rz.team,2026-08-20,team,202,202,9,4.5,931,1,0
,wcht.team,2026-08-20,team,197,197,58,29.4,5243,0,0
,xdkr.team,2026-08-20,team,195,195,19,9.7,1989,2,0
,1305.team,2026-08-21,team,206,206,48,23.3,3014,1,0
,1947.team,2026-08-21,team,206,206,112,54.4,44217,6,0
,2108ee.buzz,2026-08-21,buzz,206,206,19,9.2,297,0,0
,2108io.buzz,2026-08-21,buzz,206,206,25,12.1,2346,0,0
,2108jd.buzz,2026-08-21,buzz,206,206,13,6.3,69,0,0
,2214.team,2026-08-21,team,206,206,45,21.8,748,1,0
,2568.team,2026-08-21,team,206,206,90,43.7,22858,2,0
,3982.team,2026-08-21,team,206,206,76,36.9,6142,1,0
,5297-4.casino,2026-08-21,casino,206,206,57,27.7,1561,1,0
,6829.lol,2026-08-21,lol,206,206,36,17.5,2942,0,0
,b4kr.team,2026-08-21,team,206,206,12,5.8,3866,0,0
,blsr.team,2026-08-21,team,206,206,108,52.4,12461,2,0
,bnkd.shop,2026-08-21,shop,206,206,23,11.2,1146,1,0
,bnwk.casino,2026-08-21,casino,206,206,109,52.9,10539,2,0
,c7mt.team,2026-08-21,team,206,206,13,6.3,128,0,0
,d2wq.team,2026-08-21,team,206,206,17,8.3,534,0,0
,gnxb.team,2026-08-21,team,206,206,73,35.4,12001,3,0
,h2x.online,2026-08-21,online,206,206,55,26.7,1542,0,0
,h3rb.team,2026-08-21,team,206,206,40,19.4,2750,0,0
,hprl.team,2026-08-21,team,206,206,60,29.1,5668,0,0
,j6td.team,2026-08-21,team,206,206,7,3.4,29,0,0
,k8n.lol,2026-08-21,lol,206,206,45,21.8,2942,0,0
,k9ml.team,2026-08-21,team,206,206,36,17.5,549,0,0
,m2vc.team,2026-08-21,team,206,206,25,12.1,2113,1,0
,m5tv.store,2026-08-21,store,206,206,42,20.4,5113,1,0
,n5wk.team,2026-08-21,team,206,206,26,12.6,1535,0,0
,qbnv.lol,2026-08-21,lol,206,206,28,13.6,905,0,0
,rdwt.lol,2026-08-21,lol,206,206,33,16.0,1436,0,0
,smzk.lol,2026-08-21,lol,206,206,64,31.1,3245,2,0
,trqm.casino,2026-08-21,casino,206,206,26,12.6,759,0,0
,v2ld.lol,2026-08-21,lol,205,205,22,10.7,890,0,0
,vfkd.team,2026-08-21,team,205,205,51,24.9,3214,0,0
