ключ;бренд;тир;частотность;съёмов_с_позицией;всего_позиций;лучшая_позиция;попаданий_ТОП10;попаданий_ТОП3;доменов;групп
leon casino;leon;ВЧ;9509957;5;5;5;2;0;4;4
аркада казино официальный сайт;arkada;ВЧ;9360080;7;7;19;0;0;6;6
аркада казино официальный;arkada;ВЧ;9360080;9;9;24;0;0;5;5
пин ап официальный сайт;pin up;ВЧ;8681880;10;11;7;2;0;9;8
пин ап официальный;pin up;ВЧ;8681880;15;16;16;0;0;11;10
кент казино;kent;ВЧ;8014954;7;8;3;3;1;5;4
kent casino официальный сайт;kent;ВЧ;8014954;8;10;4;5;0;7;5
kent casino;kent;ВЧ;8014954;8;12;5;5;0;8;5
кент казино зеркало;kent;ВЧ;8014954;6;6;5;4;0;4;4
кент казино официальный сайт;kent;ВЧ;8014954;5;7;5;3;0;4;3
kent casino официальный;kent;ВЧ;8014954;6;11;6;4;0;6;4
kent казино;kent;ВЧ;8014954;5;8;7;1;0;5;3
казино кент;kent;ВЧ;8014954;6;7;7;1;0;4;3
casino mellstroy;mellstroy;ВЧ;6584223;13;15;7;2;0;8;6
mellstroy казино;mellstroy;ВЧ;6584223;8;9;8;3;0;6;5
mellstroy casino;mellstroy;ВЧ;6584223;8;9;9;1;0;7;5
казино меллстрой;mellstroy;ВЧ;6584223;10;13;9;1;0;7;5
меллстрой казино официальный сайт;mellstroy;ВЧ;6584223;12;16;9;2;0;7;4
меллстрой казино;mellstroy;ВЧ;6584223;9;10;13;0;0;5;4
pokerdom зеркало;pokerdom;ВЧ;5967595;13;13;5;2;0;7;7
зеркало покердом;pokerdom;ВЧ;5967595;7;7;6;1;0;5;5
покердом вход;pokerdom;ВЧ;5967595;12;16;20;0;0;13;8
покердом зеркало;pokerdom;ВЧ;5967595;6;6;28;0;0;6;6
покердом официальный сайт;pokerdom;ВЧ;5967595;7;14;51;0;0;14;7
казино покердом;pokerdom;ВЧ;5967595;7;7;68;0;0;6;6
покердом казино;pokerdom;ВЧ;5967595;6;6;75;0;0;5;5
казино зума играть;zooma;ВЧ;4581141;9;9;4;3;0;7;7
зума казино играть;zooma;ВЧ;4581141;10;10;5;3;0;7;7
зума casino;zooma;ВЧ;4581141;8;8;7;1;0;6;6
зума казино;zooma;ВЧ;4581141;5;5;7;1;0;4;4
зума казино регистрация;zooma;ВЧ;4581141;7;7;7;2;0;4;4
zooma казино;zooma;ВЧ;4581141;5;5;8;2;0;4;4
казино зума;zooma;ВЧ;4581141;5;6;8;1;0;5;4
zooma casino;zooma;ВЧ;4581141;5;5;11;0;0;4;4
зума казино официальный сайт;zooma;ВЧ;4581141;7;8;14;0;0;5;4
atom casino официальный сайт;atom;ВЧ;4158849;14;18;4;3;0;10;8
atom casino;atom;ВЧ;4158849;6;8;6;1;0;5;4
атом казино официальный сайт;atom;ВЧ;4158849;13;18;6;4;0;10;6
atom казино;atom;ВЧ;4158849;9;9;7;2;0;7;7
атом казино;atom;ВЧ;4158849;9;9;7;1;0;6;6
атом казино официальный;atom;ВЧ;4158849;12;15;7;2;0;9;6
казино atom;atom;ВЧ;4158849;9;10;7;3;0;6;5
casino atom;atom;ВЧ;4158849;9;11;10;1;0;7;6
казино атом;atom;ВЧ;4158849;11;11;12;0;0;8;7
атом казино вход;atom;ВЧ;4158849;26;35;16;0;0;23;14
