ключ;бренд;тир;частотность;съёмов_с_позицией;всего_позиций;лучшая_позиция;ТОП10;ТОП3;доменов
leon casino;leon;ВЧ;9509957;5;5;5;2;0;4
аркада казино официальный сайт;arkada;ВЧ;9360080;7;7;19;0;0;6
аркада казино официальный;arkada;ВЧ;9360080;9;9;24;0;0;5
пин ап официальный сайт;pin up;ВЧ;8681880;10;11;7;2;0;9
пин ап официальный;pin up;ВЧ;8681880;15;16;16;0;0;11
кент казино;kent;ВЧ;8014954;7;8;3;3;1;5
kent casino официальный сайт;kent;ВЧ;8014954;8;10;4;5;0;7
kent casino;kent;ВЧ;8014954;8;12;5;5;0;8
кент казино зеркало;kent;ВЧ;8014954;6;6;5;4;0;4
кент казино официальный сайт;kent;ВЧ;8014954;5;7;5;3;0;4
kent casino официальный;kent;ВЧ;8014954;6;11;6;4;0;6
kent казино;kent;ВЧ;8014954;5;8;7;1;0;5
казино кент;kent;ВЧ;8014954;6;7;7;1;0;4
casino mellstroy;mellstroy;ВЧ;6584223;13;15;7;2;0;8
mellstroy казино;mellstroy;ВЧ;6584223;8;9;8;3;0;6
mellstroy casino;mellstroy;ВЧ;6584223;8;9;9;1;0;7
казино меллстрой;mellstroy;ВЧ;6584223;10;13;9;1;0;7
меллстрой казино официальный сайт;mellstroy;ВЧ;6584223;12;16;9;2;0;7
меллстрой казино;mellstroy;ВЧ;6584223;9;10;13;0;0;5
pokerdom зеркало;pokerdom;ВЧ;5967595;13;13;5;2;0;7
зеркало покердом;pokerdom;ВЧ;5967595;7;7;6;1;0;5
покердом вход;pokerdom;ВЧ;5967595;12;16;20;0;0;13
покердом зеркало;pokerdom;ВЧ;5967595;6;6;28;0;0;6
покердом официальный сайт;pokerdom;ВЧ;5967595;7;14;51;0;0;14
казино покердом;pokerdom;ВЧ;5967595;7;7;68;0;0;6
покердом казино;pokerdom;ВЧ;5967595;6;6;75;0;0;5
казино зума играть;zooma;ВЧ;4581141;9;9;4;3;0;7
зума казино играть;zooma;ВЧ;4581141;10;10;5;3;0;7
зума casino;zooma;ВЧ;4581141;8;8;7;1;0;6
зума казино;zooma;ВЧ;4581141;5;5;7;1;0;4
зума казино регистрация;zooma;ВЧ;4581141;7;7;7;2;0;4
zooma казино;zooma;ВЧ;4581141;5;5;8;2;0;4
казино зума;zooma;ВЧ;4581141;5;6;8;1;0;5
zooma casino;zooma;ВЧ;4581141;5;5;11;0;0;4
зума казино официальный сайт;zooma;ВЧ;4581141;7;8;14;0;0;5
atom casino официальный сайт;atom;ВЧ;4158849;14;18;4;3;0;10
atom casino;atom;ВЧ;4158849;6;8;6;1;0;5
атом казино официальный сайт;atom;ВЧ;4158849;13;18;6;4;0;10
atom казино;atom;ВЧ;4158849;9;9;7;2;0;7
атом казино;atom;ВЧ;4158849;9;9;7;1;0;6
атом казино официальный;atom;ВЧ;4158849;12;15;7;2;0;9
казино atom;atom;ВЧ;4158849;9;10;7;3;0;6
casino atom;atom;ВЧ;4158849;9;11;10;1;0;7
казино атом;atom;ВЧ;4158849;11;11;12;0;0;8
атом казино вход;atom;ВЧ;4158849;26;35;16;0;0;23
казино мотор;motor;ВЧ;3776796;13;13;6;1;0;10
мотор казино зеркало;motor;ВЧ;3776796;11;12;6;2;0;6
casino motor;motor;ВЧ;3776796;7;7;8;1;0;4
мотор казино регистрация;motor;ВЧ;3776796;12;13;9;1;0;8
motor casino;motor;ВЧ;3776796;10;10;10;2;0;6
мотор казино;motor;ВЧ;3776796;14;14;10;1;0;9
мотор казино официальный;motor;ВЧ;3776796;10;11;11;0;0;8
мотор казино вход;motor;ВЧ;3776796;8;8;16;0;0;5
мотор казино официальный сайт;motor;ВЧ;3776796;5;6;24;0;0;6
казино комета;kometa;ВЧ;3467104;9;9;4;1;0;5
casino kometa;kometa;ВЧ;3467104;6;6;10;2;0;4
комета казино официальный сайт;kometa;ВЧ;3467104;9;9;10;1;0;6
kometa casino;kometa;ВЧ;3467104;9;9;11;0;0;5
комета казино официальный;kometa;ВЧ;3467104;7;8;11;0;0;6
казино kometa;kometa;ВЧ;3467104;5;6;13;0;0;4
комета казино онлайн;kometa;ВЧ;3467104;6;6;13;0;0;3
kometa казино;kometa;ВЧ;3467104;5;5;14;0;0;3
комета казино;kometa;ВЧ;3467104;5;5;16;0;0;3
куш казино;kush;ВЧ;3358528;8;10;3;3;2;7
casino куш;kush;ВЧ;3358528;8;11;4;5;0;9
куш казино официальный сайт;kush;ВЧ;3358528;19;25;5;5;0;17
casino kush;kush;ВЧ;3358528;9;9;7;4;0;7
казино куш;kush;ВЧ;3358528;9;10;9;1;0;8
kush casino;kush;ВЧ;3358528;8;9;11;0;0;7
казино kush;kush;ВЧ;3358528;7;8;12;0;0;8
kush казино;kush;ВЧ;3358528;10;12;13;0;0;10
куш казино зеркало;kush;ВЧ;3358528;9;9;13;0;0;7
