ключ;бренд;тир;частотность;ранжировался;съёмов_с_позицией;всего_позиций;лучшая_позиция;попаданий_ТОП10;попаданий_ТОП3;доменов;групп
1win;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
1win 1win-turbo.sbs;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
1win войти;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
1win вход;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
1win зеркало;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
1win зеркало сайта;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
1win официальный сайт;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
1win официальный сайт вход;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
1win рабочее зеркало;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
1вин;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
1вин казино;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
lucky jet 1win;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
лаки джет 1win;1win;ВЧ;28480430;НЕТ;0;0;;0;0;0;0
вавада;vavada;ВЧ;23019709;да;1;1;100;0;0;1;1
casino vavada;vavada;ВЧ;23019709;НЕТ;0;0;;0;0;0;0
vavada;vavada;ВЧ;23019709;НЕТ;0;0;;0;0;0;0
vavada casino;vavada;ВЧ;23019709;НЕТ;0;0;;0;0;0;0
вавада зеркало;vavada;ВЧ;23019709;НЕТ;0;0;;0;0;0;0
вавада зеркало сегодня;vavada;ВЧ;23019709;НЕТ;0;0;;0;0;0;0
вавада казино;vavada;ВЧ;23019709;НЕТ;0;0;;0;0;0;0
вавада казино официальный сайт;vavada;ВЧ;23019709;НЕТ;0;0;;0;0;0;0
зеркало вавада;vavada;ВЧ;23019709;НЕТ;0;0;;0;0;0;0
казино вавада;vavada;ВЧ;23019709;НЕТ;0;0;;0;0;0;0
казино водка;vodka;ВЧ;21327359;да;1;1;15;0;0;1;1
vodka казино;vodka;ВЧ;21327359;да;4;5;28;0;0;3;2
casino vodka;vodka;ВЧ;21327359;да;2;2;29;0;0;1;1
водка казино t_me_vodka_main_casino;vodka;ВЧ;21327359;да;1;1;62;0;0;1;1
водка казино официальный;vodka;ВЧ;21327359;да;3;3;68;0;0;3;3
vodka casino;vodka;ВЧ;21327359;да;3;3;69;0;0;3;3
водка казино официальный сайт;vodka;ВЧ;21327359;да;2;2;77;0;0;1;1
водка казино зеркало;vodka;ВЧ;21327359;да;1;1;85;0;0;1;1
водка казино вход;vodka;ВЧ;21327359;да;1;1;91;0;0;1;1
водка казино;vodka;ВЧ;21327359;НЕТ;0;0;;0;0;0;0
casino dragon money;dragon money;ВЧ;19056921;НЕТ;0;0;;0;0;0;0
dragon money;dragon money;ВЧ;19056921;НЕТ;0;0;;0;0;0;0
dragon money casino;dragon money;ВЧ;19056921;НЕТ;0;0;;0;0;0;0
dragon money t.me/dragonmaneyru?boost;dragon money;ВЧ;19056921;НЕТ;0;0;;0;0;0;0
драгон мани;dragon money;ВЧ;19056921;НЕТ;0;0;;0;0;0;0
драгон мани t_me_dragon_money_off_play;dragon money;ВЧ;19056921;НЕТ;0;0;;0;0;0;0
драгон мани зеркало;dragon money;ВЧ;19056921;НЕТ;0;0;;0;0;0;0
