══ v4-app.json → v5-app.json ══

СТАБИЛЬНО через поколение — настройка — 26 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
myth                        0        0      0%     100%     100%
compare                     0        0      0%     100%      97%
insider                     0        0      0%     100%     100%
letter                      0        0      0%     100%     100%
opener_name                 0        0      0%     100%     100%
reviews_rated               0        0      0%     100%     100%
games_named                 0        0      0%     100%     100%
speech                      1        1      0%      98%      95%
brand_in_h                  1        1      0%      98%      97%
opener_key                  0        0      0%      96%      95%
h2_quest                    0        0      0%      96%     100%
providers_named             0        0      0%      94%     100%
names_uniq                  0        0      0%      94%     100%
brand_ru                    0        0      0%      94%      92%
brand_first_third           2        2      0%      92%      92%
lists                       3        3      0%      90%      84%
h2_opens_para_pct         100      100      0%      86%      61%
emoji_inline                0        0      0%      82%      97%
lead_list                   0        0      0%      80%      84%
fact_values                 0        0      0%      72%     100%
table_uniq_pct            100      100      0%      72%      97%
h2                          2        2      0%      70%      95%
adj_pct                  10.9     11.6      6%      86%      82%
h3_per_h2                   2     2.25     11%      72%      79%
anchor_once_pct         81.65      100     18%      60%      82%
water                   32.55     25.9    -20%      98%      87%

ПРАВИЛИ между поколениями — 13 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
cta                       1.5        0   -100%      82%      89%
emoji                       1        0   -100%      76%      84%
first_person                0       10    100%      76%      24%
vy                          0        1    100%      76%      74%
h3_question_pct          33.3     5.55    -83%      30%       0%
ty                          5        1    -80%      26%      76%
faq                       1.5      0.5    -67%      62%      89%
honest                      3        1    -67%      50%      79%
imperatives                 4       10     60%      36%      26%
para_short                3.5        8     56%      48%      42%
brand_en                    2        4     50%      66%      53%
numbers_per100           1.75      3.4     49%      38%      24%
strong_lead_pct         47.75     28.6    -40%      26%      18%

ШУМ — не держится ни там, ни там — 15 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
h3_colon_pct            31.65    41.65     24%      16%       8%
terms_total                10      7.5    -25%      22%      26%
on_topic_pct             35.4     28.6    -19%      36%      24%
strong                    8.5        8     -6%      18%      42%
para_spread             11.35        8    -30%      36%      29%
faq_pairs                   9      9.5      5%      38%      39%
ordered_pct              28.6       40     28%      38%      50%
words                   640.5      504    -21%      34%      58%
table_cols                  3        3      0%      44%      53%
questions_total            11       10     -9%      58%      42%
paragraphs                 18       18      0%      40%      61%
nausea_acad             24.15    21.75    -10%      44%      61%
anchors                     5      5.5      9%      70%      50%
h2_len                      8     7.75     -3%      54%      68%
sections                    8        7    -13%      58%      89%

