══ v4-bonus.json → v5-bonus.json ══

СТАБИЛЬНО через поколение — настройка — 26 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
myth                        0        0      0%     100%     100%
compare                     0        0      0%     100%     100%
brand_in_h                  1        1      0%     100%     100%
insider                     0        0      0%     100%     100%
letter                      0        0      0%     100%     100%
opener_name                 0        0      0%     100%     100%
reviews_rated               0        0      0%     100%     100%
games_named                 0        0      0%     100%     100%
h2_quest                    0        0      0%     100%     100%
opener_key                  0        0      0%      98%      95%
providers_named             0        0      0%      90%     100%
names_uniq                  0        0      0%      90%     100%
brand_first_third           1        1      0%      90%      95%
lead_list                   0        0      0%      86%      87%
brand_ru                    0        0      0%      86%     100%
emoji_inline                0        0      0%      80%     100%
h3_per_h2                   2        2      0%      78%      74%
fact_values                 0        0      0%      72%     100%
h2                          2        2      0%      72%      97%
table_uniq_pct            100      100      0%      70%      97%
anchors                     4        4      0%      62%      89%
sections                    7      6.5     -7%      66%      89%
h2_len                   7.25        8      9%      74%      84%
water                   33.35    28.35    -15%      98%      84%
adj_pct                   9.7    11.55     16%      72%      76%
faq_pairs                   5        4    -20%      92%     100%

ПРАВИЛИ между поколениями — 15 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
speech                      0        1    100%      96%      82%
emoji                       1        0   -100%      76%      92%
cta                         1        0   -100%      70%      92%
first_person                0        7    100%      64%      11%
h3_question_pct            40        0   -100%      50%      58%
faq                         3        0   -100%      32%      95%
ty                        6.5      0.5    -92%       8%      76%
numbers_per100            1.6     4.75     66%      20%      29%
brand_en                    1      2.5     60%      84%      84%
imperatives                 2        5     60%      70%      34%
lists                       4        2    -50%      90%      95%
vy                          1        2     50%      82%      82%
para_short                  2      3.5     43%      84%      58%
strong_lead_pct          59.4     35.4    -40%      28%      13%
ordered_pct                25    41.65     40%      18%      58%

ШУМ — не держится ни там, ни там — 13 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
h3_colon_pct            36.65       25    -32%      20%      11%
terms_total                17       12    -29%      14%      39%
strong                      8        9     11%      24%      50%
on_topic_pct            55.95     35.4    -37%      54%      32%
words                   628.5    441.5    -30%      24%      66%
paragraphs                 11       12      8%      42%      63%
nausea_acad              25.7    21.55    -16%      40%      66%
table_cols                  3        3      0%      44%      63%
para_spread              13.3     10.5    -21%      52%      63%
words_per_para           28.8       21    -27%      56%      68%
questions_total           6.5        5    -23%      44%      84%
anchor_once_pct         81.65      100     18%      58%      84%
h2_opens_para_pct         100      100      0%      96%      53%

