══ v4-main.json → v5-main.json ══

СТАБИЛЬНО через поколение — настройка — 21 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
letter                      0        0      0%     100%     100%
insider                     0        0      0%     100%     100%
myth                        0        0      0%     100%     100%
on_topic_pct                0        0      0%     100%     100%
lead_list                   1        1      0%      98%      92%
opener_name                 0        0      0%      90%      84%
h2_quest                    0        0      0%      84%      92%
providers_named             0        0      0%      78%      63%
games_named                 0        0      0%      74%      82%
reviews_rated               0        0      0%      74%      95%
table_uniq_pct            100      100      0%      72%     100%
emoji_inline                0        0      0%      66%      82%
opener_key                  1        1      0%      66%      89%
nausea_acad              39.6     37.9     -4%      96%      92%
table_cols               2.75        3      8%      68%      92%
h2_len                      8      7.3     -9%      68%      89%
adj_pct                  10.9     12.1     10%      80%      89%
h2_opens_para_pct       82.55    72.05    -13%     100%      66%
anchor_once_pct          69.4    81.15     14%      74%      97%
speech                    2.5        3     17%      60%      61%
water                   30.55    24.65    -19%      98%      79%

ПРАВИЛИ между поколениями — 12 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
compare                     2        0   -100%      84%      84%
cta                         2        0   -100%      76%      76%
names_uniq                  0      1.5    100%      66%      71%
first_person                2     37.5     95%      66%      11%
ty                       28.5      4.5    -84%      26%      18%
brand_ru                    6        1    -83%      48%      87%
faq                        11        2    -82%      22%      68%
honest                     23        8    -65%      28%      37%
numbers_per100              3      7.2     58%      46%      34%
emoji                      41       20    -51%      40%      47%
fact_values                 2        1    -50%      70%      87%
words                  3737.5   2198.5    -41%      38%      42%

ШУМ — не держится ни там, ни там — 21 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
lists                      17       11    -35%      20%      11%
vy                          9      7.5    -17%      14%      26%
imperatives                18       20     10%      12%      32%
brand_first_third           9       10     10%      32%      24%
para_short                  7       10     30%      28%      32%
faq_pairs                  10      7.5    -25%      38%      29%
h3_colon_pct               38     37.8     -1%      38%      34%
strong_lead_pct         52.25     43.2    -17%      60%      21%
h3_question_pct          21.5     20.2     -6%      38%      45%
terms_total              86.5     67.5    -22%      52%      32%
strong                   59.5       54     -9%      46%      39%
questions_total            16     11.5    -28%      60%      26%
paragraphs                 57       53     -7%      44%      45%
brand_en                   24       22     -8%      38%      53%
ordered_pct             22.05       25     12%      44%      58%
sections                   42       35    -17%      72%      37%
brand_in_h                  7      4.5    -36%      52%      58%
anchors                  21.5       17    -21%      52%      58%
h2                         11       10     -9%      78%      55%
h3_per_h2                 2.8     2.95      5%      90%      47%
para_spread             18.65     18.2     -2%      82%      55%

