══ v4-registracia.json → v5-registracia.json ══

СТАБИЛЬНО через поколение — настройка — 27 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
myth                        0        0      0%     100%     100%
brand_in_h                  1        1      0%     100%      97%
insider                     0        0      0%     100%     100%
letter                      0        0      0%     100%     100%
opener_name                 0        0      0%     100%     100%
reviews_rated               0        0      0%     100%     100%
games_named                 0        0      0%     100%     100%
providers_named             0        0      0%     100%     100%
names_uniq                  0        0      0%     100%     100%
h2_quest                    0        0      0%      96%     100%
brand_ru                    0        0      0%      96%      95%
opener_key                  0        0      0%      94%      97%
compare                     0        0      0%      92%      97%
h2_opens_para_pct         100      100      0%      86%      63%
emoji_inline                0        0      0%      84%      97%
lead_list                   0        0      0%      80%      79%
fact_values                 0        0      0%      72%     100%
h2                          2        2      0%      72%      92%
table_uniq_pct            100      100      0%      70%      92%
anchor_once_pct           100      100      0%      66%      89%
sections                    7        7      0%      64%      82%
adj_pct                  10.2    10.55      3%      84%      79%
h2_len                    7.5     7.75      3%      66%      68%
questions_total            13       12     -8%      68%      66%
lists                       3      2.5    -17%      86%      79%
anchors                     6        5    -17%      64%      66%
water                   32.65     26.5    -19%      98%      84%

ПРАВИЛИ между поколениями — 11 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
speech                      0        1    100%      92%      82%
cta                         1        0   -100%      80%      89%
emoji                       1        0   -100%      70%      97%
faq                       3.5        0   -100%      30%      89%
first_person                1      9.5     89%      78%      16%
ty                          8        1    -88%      20%      76%
brand_en                    1        3     67%      72%      82%
brand_first_third           1        2     50%      92%      92%
honest                      2        1    -50%      66%      82%
para_short                  4        8     50%      26%      34%
h3_question_pct          33.3     16.7    -50%      26%      26%

ШУМ — не держится ни там, ни там — 16 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
h3_colon_pct             22.2    36.65     39%      20%      21%
strong                    9.5        8    -16%      24%      29%
imperatives                 4      6.5     38%      34%      24%
numbers_per100            1.8     2.65     32%      40%      21%
strong_lead_pct          53.8     33.3    -38%      32%      29%
on_topic_pct             46.9     33.3    -29%      40%      26%
terms_total                13       12     -8%      12%      55%
ordered_pct             41.65     33.3    -20%      46%      32%
table_cols                  2        3     33%      28%      55%
faq_pairs                   9       10     10%      32%      53%
para_spread             13.85      8.7    -37%      50%      39%
words                   670.5    551.5    -18%      22%      68%
nausea_acad              23.1     22.8     -1%      36%      66%
paragraphs                 18       20     10%      48%      76%
words_per_para          22.95    17.35    -24%      54%      71%
h3_per_h2                   2      2.5     20%      82%      47%

