══ v4-slots.json → v5-slots.json ══

СТАБИЛЬНО через поколение — настройка — 21 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
myth                        0        0      0%     100%     100%
insider                     0        0      0%     100%     100%
letter                      0        0      0%     100%     100%
opener_name                 0        0      0%     100%     100%
opener_key                  0        0      0%     100%     100%
reviews_rated               0        0      0%     100%     100%
h2_quest                    0        0      0%      98%     100%
brand_ru                    0        0      0%      98%     100%
compare                     0        0      0%      96%      97%
h2_opens_para_pct         100      100      0%      88%      63%
emoji_inline                0        0      0%      78%      95%
lead_list                   0        0      0%      78%      82%
cta                         0        0      0%      74%      92%
fact_values                 0        0      0%      72%      92%
h2                          2        2      0%      72%      87%
table_uniq_pct            100      100      0%      70%      97%
sections                    7        7      0%      66%      89%
anchor_once_pct          90.2      100     10%      60%      95%
adj_pct                 10.15    11.45     11%      70%      87%
anchors                     6        5    -17%      74%      79%
water                    30.8     25.4    -18%      96%      76%

ПРАВИЛИ между поколениями — 13 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
brand_in_h                  0        1    100%     100%     100%
speech                      0        1    100%      92%      95%
brand_first_third           0        1    100%      88%      97%
vy                          0        1    100%      82%      82%
providers_named             0      0.5    100%      78%      82%
first_person                0      8.5    100%      76%       8%
h3_question_pct         27.95        0   -100%      28%      68%
ty                        6.5        0   -100%      18%      79%
emoji                     6.5        0   -100%       8%      82%
imperatives                 1      5.5     82%      68%      21%
para_short                  2        6     67%      64%      32%
brand_en                    1        2     50%      80%      87%
numbers_per100           2.65     4.65     43%      14%      32%

ШУМ — не держится ни там, ни там — 17 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
h3_colon_pct               40     33.3    -17%      28%      13%
strong_lead_pct            50    33.85    -32%      36%       8%
ordered_pct              22.5    36.65     39%      12%      32%
terms_total              26.5       19    -28%      18%      42%
strong                   15.5       11    -29%      26%      37%
faq_pairs                 8.5        8     -6%      32%      58%
words                   812.5      543    -33%      30%      61%
para_spread              13.3     9.85    -26%      54%      39%
on_topic_pct            43.65     42.9     -2%      54%      42%
questions_total          11.5       10    -13%      60%      42%
paragraphs                 19       18     -5%      46%      58%
words_per_para          25.85     20.5    -21%      50%      61%
h2_len                   7.75      8.3      7%      58%      66%
names_uniq                  3        3      0%      54%      79%
nausea_acad             26.25    22.75    -13%      54%      79%
table_cols                  3        4     25%      42%      92%
h3_per_h2                   2        2      0%      80%      58%

