══ v4-vhod.json → v5-vhod.json ══

СТАБИЛЬНО через поколение — настройка — 25 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
letter                      0        0      0%     100%     100%
myth                        0        0      0%     100%     100%
brand_in_h                  1        1      0%     100%      95%
insider                     0        0      0%     100%     100%
opener_name                 0        0      0%     100%     100%
opener_key                  0        0      0%     100%      89%
reviews_rated               0        0      0%     100%     100%
games_named                 0        0      0%     100%     100%
providers_named             0        0      0%     100%     100%
names_uniq                  0        0      0%     100%     100%
h2_quest                    0        0      0%     100%      97%
compare                     0        0      0%      96%     100%
brand_first_third           2        2      0%      96%      97%
brand_ru                    0        0      0%      94%      97%
emoji_inline                0        0      0%      80%      97%
lead_list                   0        0      0%      78%      82%
fact_values                 0        0      0%      72%      97%
h2                          2        2      0%      72%      89%
table_uniq_pct            100      100      0%      70%      95%
h2_opens_para_pct       94.45      100      6%      78%      63%
anchor_once_pct         94.45      100      6%      66%      95%
sections                    8        7    -13%      64%      92%
water                   31.85    27.45    -14%      96%      82%
adj_pct                    10    11.85     16%      80%      84%
h2_len                      7      8.5     18%      72%      76%

ПРАВИЛИ между поколениями — 13 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
speech                      0        1    100%      90%      95%
vy                          0        2    100%      74%      76%
cta                       0.5        0   -100%      62%      97%
emoji                       5        0   -100%      32%      92%
ty                          6        0   -100%       8%      79%
h3_question_pct         30.95        0   -100%       8%      66%
first_person              0.5        7     93%      76%      11%
para_short                2.5        8     69%      56%      34%
brand_en                    1        3     67%      82%      79%
faq                       2.5        1    -60%      42%      84%
lists                       4        2    -50%      92%      97%
strong_lead_pct            50     26.8    -46%      38%       5%
honest                    3.5        2    -43%      34%      82%

ШУМ — не держится ни там, ни там — 17 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
h3_colon_pct            26.15       20    -24%      16%      21%
imperatives                 7        9     22%      28%      16%
on_topic_pct            46.45     33.3    -28%      12%      32%
terms_total                11        9    -18%      22%      37%
strong                    9.5        6    -37%      12%      47%
numbers_per100            2.2      2.7     19%      36%      26%
para_spread              12.1      7.6    -37%      36%      29%
faq_pairs                   8      9.5     16%      40%      34%
ordered_pct              33.3       50     33%      34%      50%
table_cols               2.15        3     28%      24%      61%
questions_total          12.5       11    -12%      58%      37%
paragraphs                 19       18     -5%      34%      74%
h3_per_h2                2.25        2    -11%      54%      55%
words                   664.5    454.5    -32%      38%      71%
anchors                   5.5        5     -9%      40%      71%
nausea_acad                26     19.7    -24%      52%      63%
words_per_para           23.9     16.9    -29%      52%      71%

