══ v4-zerkalo.json → v5-zerkalo.json ══

СТАБИЛЬНО через поколение — настройка — 26 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
games_named                 0        0      0%     100%     100%
brand_in_h                  1        1      0%     100%     100%
myth                        0        0      0%     100%     100%
insider                     0        0      0%     100%     100%
letter                      0        0      0%     100%     100%
opener_name                 0        0      0%     100%     100%
reviews_rated               0        0      0%     100%     100%
h2_quest                    0        0      0%      98%     100%
brand_first_third           2        2      0%      98%      87%
compare                     0        0      0%      96%      97%
providers_named             0        0      0%      94%      97%
names_uniq                  0        0      0%      94%     100%
lead_list                   0        0      0%      86%      79%
emoji_inline                0        0      0%      82%      97%
opener_key                  0        0      0%      82%      74%
anchors                     4        4      0%      74%      79%
fact_values                 0        0      0%      72%     100%
h2                          2        2      0%      72%      97%
table_uniq_pct            100      100      0%      70%     100%
water                   32.25    28.55    -11%      96%      92%
adj_pct                  10.8    12.35     13%      80%      82%
sections                    8        7    -13%      64%      92%
anchor_once_pct          84.5      100     16%      60%      92%
questions_total             6        5    -17%      64%      76%
faq_pairs                   5        4    -20%      86%     100%
h3_per_h2                   2      2.5     20%      74%      68%

ПРАВИЛИ между поколениями — 12 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
speech                      0        1    100%      94%      95%
vy                          0        1    100%      90%      79%
cta                         1        0   -100%      88%      92%
brand_ru                  0.5        0   -100%      74%      92%
emoji                       1        0   -100%      72%      82%
faq                       2.5        0   -100%      48%      89%
ty                        4.5      0.5    -89%      20%      76%
first_person                1        7     86%      72%       5%
para_short                  1        4     75%      80%      58%
numbers_per100            1.2      3.4     65%      32%      21%
brand_en                  1.5        4     63%      74%      58%
h3_question_pct            40     16.7    -58%      34%      16%

ШУМ — не держится ни там, ни там — 16 полей
поле                   старая    новая   сдвиг  держ.ст держ.нов
────────────────────────────────────────────────────────────────
h3_colon_pct            27.95    36.65     24%      18%      13%
strong_lead_pct         47.85     33.3    -30%      24%      16%
strong                      8      7.5     -6%      22%      32%
terms_total                19       15    -21%      24%      37%
ordered_pct              33.3       50     33%      16%      47%
imperatives               4.5        5     10%      36%      37%
para_spread              15.5      9.4    -39%      46%      37%
words                   617.5      460    -26%      24%      66%
paragraphs               11.5     13.5     15%      44%      50%
on_topic_pct             65.7       50    -24%      54%      50%
nausea_acad             25.15     20.2    -20%      40%      71%
table_cols                2.5        3     17%      60%      58%
h2_len                   7.25      7.5      3%      56%      63%
words_per_para          29.55       20    -32%      54%      68%
h2_opens_para_pct         100      100      0%      86%      55%
honest                      3        2    -33%      54%      97%

